perf_id,supplier_id,evaluation_period,otd_rating_pct,quality_pass_rate_pct,defect_ppm,overall_risk_score
PERF_00061,SUP_013,2027-M02,89.88,89.86,585,10.13
PERF_00062,SUP_023,2026-M04,90.95,92.44,842,8.31
PERF_00063,SUP_008,2026-M02,93.02,94.22,390,6.38
PERF_00064,SUP_007,2026-M01,84.66,91.68,891,11.83
PERF_00065,SUP_024,2026-M08,90.44,90.09,714,9.74
PERF_00066,SUP_012,2027-M01,95.76,94.19,390,5.03
PERF_00067,SUP_005,2027-M09,94.77,93.54,431,5.84
PERF_00068,SUP_006,2026-M03,91.78,96.11,870,6.06
PERF_00069,SUP_007,2026-M11,85.07,90.46,823,12.24
PERF_00070,SUP_001,2027-M01,96.74,98.09,1090,2.59
PERF_00071,SUP_009,2027-M04,94.81,98.24,650,3.47
PERF_00072,SUP_005,2027-M10,96.55,95.61,511,3.92
PERF_00073,SUP_001,2027-M10,92.88,96.21,222,5.46
PERF_00074,SUP_021,2027-M07,93.35,99.9,86,3.38
PERF_00075,SUP_012,2027-M06,96.66,92.37,265,5.48
PERF_00076,SUP_016,2027-M01,93.67,93.76,424,6.28
PERF_00077,SUP_001,2027-M10,93.05,98.5,173,4.22
PERF_00078,SUP_003,2027-M11,90.15,93.11,569,8.37
PERF_00079,SUP_021,2026-M06,99.5,96.98,54,1.76
PERF_00080,SUP_024,2027-M12,90.36,91.55,850,9.05
PERF_00081,SUP_003,2026-M08,87.12,92.71,800,10.09
PERF_00082,SUP_023,2026-M08,92.1,90.0,633,8.95
PERF_00083,SUP_002,2027-M12,91.98,93.97,793,7.03
PERF_00084,SUP_011,2027-M03,95.21,92.85,583,5.97
PERF_00085,SUP_022,2026-M03,99.5,98.58,96,0.96
PERF_00086,SUP_012,2026-M04,93.15,99.57,218,3.64
PERF_00087,SUP_020,2026-M12,89.03,93.74,634,8.62
PERF_00088,SUP_020,2026-M08,87.52,83.7,615,14.39
PERF_00089,SUP_007,2027-M04,88.44,89.68,1046,10.94
PERF_00090,SUP_005,2026-M12,90.31,95.3,386,7.19
PERF_00091,SUP_003,2026-M07,93.82,89.41,932,8.39
PERF_00092,SUP_008,2027-M06,91.63,91.95,652,8.21
PERF_00093,SUP_014,2026-M07,88.9,90.7,793,10.2
PERF_00094,SUP_019,2027-M08,88.34,93.28,832,9.19
PERF_00095,SUP_015,2026-M12,95.46,90.71,1046,6.92
PERF_00096,SUP_010,2027-M02,83.34,92.42,837,12.12
PERF_00097,SUP_018,2026-M05,94.54,94.24,378,5.61
PERF_00098,SUP_023,2026-M07,88.02,91.53,869,10.22
PERF_00099,SUP_017,2026-M11,88.47,89.87,1019,10.83
PERF_00100,SUP_016,2026-M07,91.32,95.63,765,6.53
PERF_00101,SUP_004,2026-M05,87.61,92.0,809,10.19
PERF_00102,SUP_012,2027-M03,96.43,96.35,383,3.61
PERF_00103,SUP_007,2026-M08,93.03,91.32,829,7.83
PERF_00104,SUP_009,2026-M02,92.49,94.86,679,6.33
PERF_00105,SUP_011,2026-M07,96.48,98.03,661,2.75
PERF_00106,SUP_008,2027-M07,91.66,96.1,497,6.12
PERF_00107,SUP_019,2027-M09,90.47,92.67,719,8.43
PERF_00108,SUP_001,2027-M10,96.99,94.75,738,4.13
PERF_00109,SUP_006,2027-M02,87.08,90.36,891,11.28
PERF_00110,SUP_011,2027-M08,96.37,97.56,525,3.03
PERF_00111,SUP_005,2027-M02,94.56,94.16,375,5.64
PERF_00112,SUP_013,2026-M11,85.97,94.44,770,9.8
PERF_00113,SUP_001,2027-M07,92.72,96.0,402,5.64
PERF_00114,SUP_008,2027-M04,89.91,92.34,608,8.88
PERF_00115,SUP_007,2026-M02,89.93,91.53,625,9.27
PERF_00116,SUP_002,2026-M04,94.1,91.98,158,6.96
PERF_00117,SUP_014,2026-M07,86.14,91.67,842,11.1
PERF_00118,SUP_018,2027-M06,98.13,97.94,388,1.97
PERF_00119,SUP_003,2027-M04,89.44,90.49,696,10.03
PERF_00120,SUP_016,2026-M05,89.53,94.41,474,8.03
PERF_00121,SUP_022,2026-M05,95.56,99.83,378,2.31
PERF_00122,SUP_001,2026-M03,96.41,98.53,239,2.53
PERF_00123,SUP_001,2027-M09,95.87,96.83,339,3.65
PERF_00124,SUP_024,2026-M07,87.48,93.26,779,9.63
PERF_00125,SUP_006,2027-M05,94.45,95.8,1090,4.88
PERF_00126,SUP_008,2026-M03,89.3,96.58,596,7.06
PERF_00127,SUP_003,2026-M03,96.07,90.98,532,6.47
PERF_00128,SUP_001,2026-M07,93.4,91.49,214,7.56
PERF_00129,SUP_020,2027-M03,85.42,92.18,888,11.2
PERF_00130,SUP_010,2027-M04,94.83,95.18,604,5.0
PERF_00131,SUP_005,2027-M11,91.9,97.63,95,5.24
PERF_00132,SUP_025,2027-M08,99.49,98.95,306,0.78
PERF_00133,SUP_012,2027-M02,89.46,99.78,337,5.38
PERF_00134,SUP_023,2026-M10,93.21,89.01,580,8.89
PERF_00135,SUP_014,2027-M09,88.32,92.32,689,9.68
PERF_00136,SUP_019,2027-M09,91.37,90.33,671,9.15
PERF_00137,SUP_010,2027-M04,89.56,94.09,862,8.17
PERF_00138,SUP_023,2026-M03,86.13,89.16,955,12.36
PERF_00139,SUP_008,2027-M11,92.6,92.53,870,7.44
PERF_00140,SUP_002,2027-M03,93.75,98.55,453,3.85
PERF_00141,SUP_005,2026-M01,99.5,99.9,310,0.3
PERF_00142,SUP_014,2026-M04,91.21,93.81,1053,7.49
PERF_00143,SUP_001,2026-M06,92.31,98.52,531,4.59
PERF_00144,SUP_017,2026-M08,82.12,88.64,432,14.62
PERF_00145,SUP_009,2027-M07,92.29,97.19,760,5.26
PERF_00146,SUP_014,2027-M09,88.52,96.27,503,7.61
PERF_00147,SUP_001,2027-M01,90.09,96.66,396,6.62
PERF_00148,SUP_021,2027-M10,93.0,90.23,442,8.38
PERF_00149,SUP_004,2027-M01,86.19,95.07,733,9.37
PERF_00150,SUP_024,2026-M09,86.98,91.92,468,10.55
PERF_00151,SUP_023,2027-M06,89.31,95.39,502,7.65
PERF_00152,SUP_007,2026-M04,90.71,91.47,561,8.91
PERF_00153,SUP_006,2026-M07,89.78,90.81,549,9.7
PERF_00154,SUP_002,2027-M01,89.81,99.9,447,5.14
PERF_00155,SUP_017,2026-M03,85.3,92.13,817,11.28
PERF_00156,SUP_006,2026-M11,89.44,94.94,811,7.81
PERF_00157,SUP_024,2027-M05,88.21,91.76,624,10.02
PERF_00158,SUP_016,2027-M05,83.49,89.81,913,13.35
PERF_00159,SUP_004,2027-M09,95.03,92.78,775,6.09
PERF_00160,SUP_021,2026-M03,94.03,99.9,683,3.03
PERF_00161,SUP_022,2026-M02,93.62,93.61,78,6.38
PERF_00162,SUP_005,2026-M11,95.21,94.51,75,5.14
PERF_00163,SUP_006,2027-M04,88.16,90.7,997,10.57
PERF_00164,SUP_002,2027-M02,96.04,95.58,735,4.19
PERF_00165,SUP_021,2026-M04,93.33,93.25,764,6.71
PERF_00166,SUP_005,2026-M05,96.22,93.81,321,4.98
PERF_00167,SUP_013,2026-M02,85.37,88.54,985,13.04
PERF_00168,SUP_022,2027-M02,99.5,92.5,512,4.0
PERF_00169,SUP_023,2026-M04,87.55,91.78,581,10.34
PERF_00170,SUP_010,2027-M12,86.61,92.92,553,10.24
PERF_00171,SUP_006,2026-M09,90.91,93.27,612,7.91
PERF_00172,SUP_011,2027-M06,91.28,94.56,551,7.08
PERF_00173,SUP_014,2026-M09,89.8,89.76,799,10.22
PERF_00174,SUP_003,2026-M10,91.75,88.83,808,9.71
PERF_00175,SUP_011,2027-M12,92.01,97.43,247,5.28
PERF_00176,SUP_017,2026-M06,81.99,87.53,849,15.24
PERF_00177,SUP_008,2026-M03,92.38,92.14,687,7.74
PERF_00178,SUP_007,2027-M11,84.22,92.63,477,11.58
PERF_00179,SUP_018,2026-M10,91.74,95.92,247,6.17
PERF_00180,SUP_006,2027-M06,88.95,95.92,544,7.56
PERF_00181,SUP_015,2026-M07,93.21,90.98,725,7.91
PERF_00182,SUP_008,2026-M07,95.92,88.22,400,7.93
PERF_00183,SUP_001,2027-M03,96.93,96.29,394,3.39
PERF_00184,SUP_015,2026-M07,88.89,94.02,588,8.55
PERF_00185,SUP_015,2026-M12,94.2,94.44,687,5.68
PERF_00186,SUP_007,2026-M10,87.96,91.58,633,10.23
PERF_00187,SUP_016,2026-M09,91.58,92.55,697,7.94
PERF_00188,SUP_015,2026-M09,96.93,95.98,554,3.54
PERF_00189,SUP_013,2026-M10,91.6,90.98,392,8.71
PERF_00190,SUP_001,2026-M05,92.18,92.12,249,7.85
PERF_00191,SUP_007,2026-M01,89.26,96.99,785,6.88
PERF_00192,SUP_012,2026-M12,93.94,98.47,50,3.8
PERF_00193,SUP_021,2026-M10,93.81,97.33,164,4.43
PERF_00194,SUP_023,2026-M03,92.93,93.85,616,6.61
PERF_00195,SUP_005,2026-M04,96.5,99.9,396,1.8
PERF_00196,SUP_006,2026-M10,90.84,92.25,490,8.45
PERF_00197,SUP_005,2027-M05,97.09,94.26,374,4.32
PERF_00198,SUP_007,2026-M11,87.77,94.0,786,9.12
PERF_00199,SUP_025,2027-M09,97.11,94.72,346,4.09
PERF_00200,SUP_020,2027-M09,84.76,90.69,895,12.28
PERF_00201,SUP_009,2027-M01,95.37,93.09,633,5.77
PERF_00202,SUP_003,2026-M02,93.57,94.03,1075,6.2
PERF_00203,SUP_022,2027-M02,91.68,92.89,50,7.72
PERF_00204,SUP_001,2027-M09,99.5,98.44,308,1.03
PERF_00205,SUP_004,2026-M09,90.94,90.59,1149,9.24
PERF_00206,SUP_002,2026-M08,93.79,95.87,585,5.17
PERF_00207,SUP_008,2027-M01,93.04,94.96,401,6.0
PERF_00208,SUP_016,2027-M02,91.81,98.31,909,4.94
PERF_00209,SUP_019,2027-M11,94.28,91.72,502,7.0
PERF_00210,SUP_004,2026-M05,89.72,93.54,878,8.37
PERF_00211,SUP_008,2026-M12,86.52,98.22,528,7.63
PERF_00212,SUP_022,2027-M03,92.72,93.47,69,6.91
PERF_00213,SUP_019,2026-M04,91.97,93.18,442,7.42
PERF_00214,SUP_001,2026-M01,91.31,95.96,653,6.37
PERF_00215,SUP_021,2026-M07,92.32,91.64,410,8.02
PERF_00216,SUP_007,2026-M04,88.38,86.06,709,12.78
PERF_00217,SUP_013,2027-M03,87.31,93.74,1169,9.47
PERF_00218,SUP_023,2026-M12,92.88,92.33,478,7.4
PERF_00219,SUP_023,2027-M12,97.22,93.15,702,4.81
PERF_00220,SUP_020,2026-M01,87.63,92.3,791,10.03
PERF_00221,SUP_013,2026-M06,86.28,90.63,793,11.55
PERF_00222,SUP_002,2027-M04,91.77,93.82,461,7.21
PERF_00223,SUP_001,2027-M07,94.44,99.9,50,2.83
PERF_00224,SUP_024,2027-M05,93.07,96.32,265,5.31
PERF_00225,SUP_013,2027-M03,86.97,91.07,518,10.98
PERF_00226,SUP_022,2027-M07,91.67,93.22,750,7.56
PERF_00227,SUP_011,2026-M03,96.81,99.18,544,2.0
PERF_00228,SUP_010,2026-M07,85.81,91.49,817,11.35
PERF_00229,SUP_023,2026-M03,85.83,94.78,651,9.69
PERF_00230,SUP_013,2026-M12,86.88,93.78,888,9.67
PERF_00231,SUP_023,2027-M05,88.42,95.9,483,7.84
PERF_00232,SUP_012,2026-M11,96.45,97.88,298,2.84
PERF_00233,SUP_024,2027-M04,90.78,90.07,864,9.58
PERF_00234,SUP_022,2027-M03,93.45,94.69,609,5.93
PERF_00235,SUP_012,2026-M10,92.49,92.88,50,7.31
PERF_00236,SUP_009,2027-M06,94.92,92.2,810,6.44
PERF_00237,SUP_004,2027-M09,83.85,97.64,702,9.25
PERF_00238,SUP_024,2027-M01,89.51,91.84,759,9.32
PERF_00239,SUP_002,2027-M10,93.29,98.36,462,4.17
PERF_00240,SUP_015,2026-M03,91.15,92.89,608,7.98
PERF_00241,SUP_016,2026-M06,91.32,89.32,370,9.68
PERF_00242,SUP_024,2026-M03,92.03,93.63,643,7.17
PERF_00243,SUP_012,2027-M02,94.66,97.27,252,4.03
PERF_00244,SUP_014,2026-M07,85.97,92.69,584,10.67
PERF_00245,SUP_019,2027-M02,90.72,88.74,905,10.27
PERF_00246,SUP_006,2027-M03,91.52,94.04,856,7.22
PERF_00247,SUP_020,2026-M12,92.7,94.34,451,6.48
PERF_00248,SUP_009,2027-M09,89.26,93.84,465,8.45
PERF_00249,SUP_020,2026-M07,89.25,89.99,857,10.38
PERF_00250,SUP_002,2026-M10,91.13,94.07,158,7.4
PERF_00251,SUP_002,2027-M10,90.63,92.22,244,8.58
PERF_00252,SUP_014,2027-M12,91.46,89.83,1306,9.36
PERF_00253,SUP_010,2027-M06,90.68,93.26,548,8.03
PERF_00254,SUP_015,2026-M03,92.8,92.36,644,7.42
PERF_00255,SUP_001,2026-M05,99.5,96.56,549,1.97
PERF_00256,SUP_016,2027-M12,88.29,93.51,994,9.1
PERF_00257,SUP_001,2026-M09,93.32,99.9,461,3.39
PERF_00258,SUP_020,2026-M07,86.01,93.38,1014,10.31
PERF_00259,SUP_022,2027-M12,95.87,92.07,254,6.03
PERF_00260,SUP_019,2027-M01,88.76,92.81,824,9.22
PERF_00261,SUP_022,2026-M09,94.53,92.66,476,6.41
PERF_00262,SUP_004,2026-M04,91.93,94.8,876,6.63
PERF_00263,SUP_016,2027-M04,92.9,94.75,625,6.17
PERF_00264,SUP_021,2026-M09,88.12,96.47,501,7.7
PERF_00265,SUP_010,2027-M08,90.01,89.61,503,10.19
PERF_00266,SUP_009,2026-M02,96.26,95.3,596,4.22
PERF_00267,SUP_004,2026-M08,90.18,93.47,847,8.17
PERF_00268,SUP_013,2026-M03,86.45,92.24,707,10.66
PERF_00269,SUP_014,2026-M02,87.0,91.43,824,10.78
PERF_00270,SUP_015,2026-M11,89.26,96.94,441,6.9
PERF_00271,SUP_019,2027-M08,88.94,91.9,989,9.58
PERF_00272,SUP_004,2026-M04,90.69,95.98,362,6.66
PERF_00273,SUP_001,2026-M02,96.0,99.02,336,2.49
PERF_00274,SUP_023,2027-M11,92.7,91.71,981,7.8
PERF_00275,SUP_001,2026-M03,99.5,95.89,230,2.31
PERF_00276,SUP_005,2027-M12,98.96,99.9,255,0.57
PERF_00277,SUP_018,2026-M07,92.44,95.1,151,6.23
PERF_00278,SUP_021,2027-M03,90.34,92.89,306,8.38
PERF_00279,SUP_002,2026-M05,93.3,96.19,750,5.25
PERF_00280,SUP_012,2027-M12,91.6,98.86,317,4.77
PERF_00281,SUP_014,2026-M06,88.15,93.89,555,8.98
PERF_00282,SUP_002,2026-M05,94.55,96.02,538,4.72
PERF_00283,SUP_023,2027-M06,90.37,99.14,572,5.25
PERF_00284,SUP_008,2026-M12,90.01,92.84,448,8.57
PERF_00285,SUP_013,2026-M05,86.09,94.97,1084,9.47
PERF_00286,SUP_021,2026-M02,91.39,93.32,554,7.65
PERF_00287,SUP_010,2026-M08,87.54,94.38,760,9.04
PERF_00288,SUP_023,2027-M05,84.95,96.87,1059,9.09
PERF_00289,SUP_019,2027-M09,87.66,92.03,757,10.16
PERF_00290,SUP_012,2026-M02,95.6,98.05,762,3.18
PERF_00291,SUP_002,2026-M11,92.87,93.6,164,6.76
PERF_00292,SUP_009,2026-M03,90.91,95.32,818,6.89
PERF_00293,SUP_008,2026-M03,90.05,94.96,556,7.5
PERF_00294,SUP_013,2026-M11,91.57,98.32,693,5.06
PERF_00295,SUP_017,2027-M11,85.93,94.21,976,9.93
PERF_00296,SUP_015,2026-M04,96.24,95.26,548,4.25
PERF_00297,SUP_005,2026-M02,96.37,99.17,524,2.23
PERF_00298,SUP_012,2026-M02,96.12,99.07,593,2.41
PERF_00299,SUP_004,2026-M05,94.25,95.02,626,5.37
PERF_00300,SUP_005,2027-M10,95.04,99.42,196,2.77
PERF_00301,SUP_007,2026-M05,90.31,91.82,725,8.94
PERF_00302,SUP_016,2026-M03,94.24,94.08,649,5.84
PERF_00303,SUP_024,2026-M08,85.72,95.07,809,9.61
PERF_00304,SUP_005,2026-M01,99.5,95.63,403,2.44
PERF_00305,SUP_020,2026-M02,88.45,95.74,800,7.91
PERF_00306,SUP_025,2026-M10,94.84,97.52,437,3.82
PERF_00307,SUP_013,2027-M01,86.66,92.49,1014,10.43
PERF_00308,SUP_023,2026-M04,86.42,93.33,559,10.12
PERF_00309,SUP_005,2027-M08,98.19,92.59,248,4.61
PERF_00310,SUP_013,2026-M08,89.13,95.91,786,7.48
PERF_00311,SUP_003,2026-M03,87.83,97.7,410,7.24
PERF_00312,SUP_012,2027-M01,88.0,97.5,259,7.25
PERF_00313,SUP_019,2027-M04,86.44,94.77,748,9.4
PERF_00314,SUP_004,2027-M11,88.41,90.2,834,10.69
PERF_00315,SUP_016,2027-M11,92.35,93.35,1009,7.15
PERF_00316,SUP_003,2027-M02,86.29,89.19,561,12.26
PERF_00317,SUP_005,2027-M02,94.46,97.01,311,4.27
PERF_00318,SUP_016,2027-M06,91.46,90.47,928,9.03
PERF_00319,SUP_005,2026-M03,94.35,99.19,428,3.23
PERF_00320,SUP_009,2026-M12,94.47,96.82,549,4.36
PERF_00321,SUP_021,2027-M01,95.03,98.72,499,3.12
PERF_00322,SUP_015,2027-M12,92.83,93.58,908,6.8
PERF_00323,SUP_010,2027-M11,87.17,97.3,711,7.76
PERF_00324,SUP_015,2026-M11,86.41,94.12,483,9.74
PERF_00325,SUP_002,2026-M06,95.92,93.97,350,5.06
PERF_00326,SUP_013,2026-M04,82.33,90.87,315,13.4
PERF_00327,SUP_022,2026-M12,89.25,97.9,557,6.42
PERF_00328,SUP_017,2027-M02,88.68,89.18,830,11.07
PERF_00329,SUP_004,2027-M06,90.09,90.5,960,9.7
PERF_00330,SUP_021,2027-M01,95.73,94.85,465,4.71
PERF_00331,SUP_003,2027-M12,90.13,87.9,650,10.98
PERF_00332,SUP_008,2026-M10,89.55,91.9,503,9.28
PERF_00333,SUP_015,2026-M03,96.09,95.4,505,4.25
PERF_00334,SUP_016,2027-M01,92.12,97.1,824,5.39
PERF_00335,SUP_021,2026-M03,93.28,93.78,599,6.47
PERF_00336,SUP_022,2026-M07,95.18,98.24,527,3.29
PERF_00337,SUP_015,2027-M07,93.85,92.46,883,6.84
PERF_00338,SUP_018,2027-M06,94.29,99.9,282,2.91
PERF_00339,SUP_025,2027-M12,99.21,96.49,269,2.15
PERF_00340,SUP_014,2027-M03,86.85,91.4,864,10.88
PERF_00341,SUP_010,2026-M09,90.77,91.37,715,8.93
PERF_00342,SUP_019,2026-M12,95.93,97.32,787,3.38
PERF_00343,SUP_020,2027-M04,87.81,92.1,942,10.05
PERF_00344,SUP_007,2027-M03,86.13,92.16,386,10.86
PERF_00345,SUP_018,2027-M02,94.9,97.42,323,3.84
PERF_00346,SUP_022,2026-M06,98.72,92.94,107,4.17
PERF_00347,SUP_013,2026-M12,88.67,94.62,1136,8.35
PERF_00348,SUP_023,2027-M07,88.12,95.7,692,8.09
PERF_00349,SUP_004,2026-M04,89.58,95.61,790,7.41
PERF_00350,SUP_016,2027-M08,85.67,97.29,916,8.52
PERF_00351,SUP_020,2027-M01,85.82,92.79,918,10.69
PERF_00352,SUP_007,2027-M07,89.98,91.42,585,9.3
PERF_00353,SUP_003,2026-M03,89.42,95.93,808,7.32
PERF_00354,SUP_016,2027-M08,89.29,95.53,70,7.59
PERF_00355,SUP_006,2027-M09,93.55,89.05,587,8.7
PERF_00356,SUP_007,2027-M11,85.84,89.56,952,12.3
PERF_00357,SUP_018,2027-M05,92.3,96.67,410,5.52
PERF_00358,SUP_017,2026-M08,88.83,91.79,583,9.69
PERF_00359,SUP_009,2026-M01,96.09,94.17,148,4.87
PERF_00360,SUP_022,2026-M06,92.72,99.75,570,3.77
PERF_00361,SUP_022,2027-M09,92.95,95.13,335,5.96
PERF_00362,SUP_012,2027-M05,99.5,97.35,446,1.58
PERF_00363,SUP_013,2026-M06,91.09,92.6,748,8.16
PERF_00364,SUP_014,2026-M07,87.71,92.02,772,10.14
PERF_00365,SUP_018,2026-M01,95.88,95.93,566,4.09
PERF_00366,SUP_017,2027-M01,87.16,91.8,440,10.52
PERF_00367,SUP_020,2026-M06,90.45,92.67,1019,8.44
PERF_00368,SUP_015,2026-M08,82.01,99.02,592,9.48
PERF_00369,SUP_005,2026-M04,97.92,93.8,482,4.14
PERF_00370,SUP_001,2027-M10,92.04,95.24,702,6.36
PERF_00371,SUP_025,2027-M05,93.43,96.54,574,5.01
PERF_00372,SUP_015,2026-M08,92.19,94.18,692,6.81
PERF_00373,SUP_016,2027-M03,97.61,93.46,680,4.47
PERF_00374,SUP_010,2026-M06,92.35,95.56,957,6.05
PERF_00375,SUP_021,2026-M10,95.02,92.54,786,6.22
PERF_00376,SUP_010,2026-M08,85.76,93.56,569,10.34
PERF_00377,SUP_011,2027-M02,93.81,96.82,464,4.69
PERF_00378,SUP_010,2027-M05,90.47,96.83,810,6.35
PERF_00379,SUP_001,2027-M04,94.47,99.21,557,3.16
PERF_00380,SUP_017,2027-M07,83.72,93.09,980,11.6
PERF_00381,SUP_009,2026-M02,92.21,98.84,429,4.47
PERF_00382,SUP_013,2026-M05,88.38,91.57,803,10.03
PERF_00383,SUP_015,2027-M07,87.41,90.2,938,11.19
PERF_00384,SUP_008,2026-M02,89.06,91.92,129,9.51
PERF_00385,SUP_011,2027-M03,92.08,92.69,728,7.62
PERF_00386,SUP_020,2027-M01,90.73,90.08,1270,9.59
PERF_00387,SUP_010,2026-M08,92.15,91.99,220,7.93
PERF_00388,SUP_018,2027-M06,99.5,92.33,90,4.09
PERF_00389,SUP_015,2026-M07,93.77,99.9,896,3.16
PERF_00390,SUP_007,2026-M10,90.89,94.29,890,7.41
PERF_00391,SUP_023,2027-M01,91.78,93.7,720,7.26
PERF_00392,SUP_006,2026-M06,89.91,91.52,603,9.28
PERF_00393,SUP_010,2027-M11,84.12,92.55,522,11.66
PERF_00394,SUP_013,2026-M09,84.69,92.45,1078,11.43
PERF_00395,SUP_009,2026-M05,95.85,91.47,262,6.34
PERF_00396,SUP_018,2027-M03,96.52,93.34,375,5.07
PERF_00397,SUP_025,2026-M06,95.65,93.58,421,5.38
PERF_00398,SUP_006,2026-M08,86.1,91.9,723,11.0
PERF_00399,SUP_004,2027-M12,85.32,94.5,656,10.09
PERF_00400,SUP_021,2026-M07,94.76,95.96,732,4.64
PERF_00401,SUP_001,2026-M09,95.58,95.73,344,4.34
PERF_00402,SUP_001,2026-M01,96.83,96.92,328,3.12
PERF_00403,SUP_021,2026-M11,90.99,93.74,179,7.64
PERF_00404,SUP_003,2026-M06,94.75,89.89,561,7.68
PERF_00405,SUP_024,2027-M08,87.64,95.44,621,8.46
PERF_00406,SUP_009,2027-M05,96.84,93.72,515,4.72
PERF_00407,SUP_014,2027-M08,85.79,97.56,542,8.32
PERF_00408,SUP_007,2026-M11,90.13,94.38,802,7.75
PERF_00409,SUP_001,2026-M10,94.64,96.48,328,4.44
PERF_00410,SUP_020,2026-M12,87.26,94.21,1262,9.26
PERF_00411,SUP_007,2027-M02,87.53,89.38,702,11.55
PERF_00412,SUP_021,2026-M10,99.5,93.39,787,3.56
PERF_00413,SUP_002,2026-M08,98.43,94.22,553,3.67
PERF_00414,SUP_025,2026-M12,98.89,95.05,359,3.03
PERF_00415,SUP_006,2027-M03,88.35,90.86,530,10.4
PERF_00416,SUP_002,2026-M07,89.73,95.69,286,7.29
PERF_00417,SUP_022,2027-M09,94.7,92.11,466,6.59
PERF_00418,SUP_006,2026-M01,92.6,88.42,734,9.49
PERF_00419,SUP_007,2027-M02,92.88,89.78,1054,8.67
PERF_00420,SUP_021,2027-M12,94.36,93.64,448,6.0
