po_id,supplier_id,fabric_id,order_quantity_meters,unit_price,total_po_value,order_date,promised_delivery_date,actual_delivery_date,contracted_lead_time_days,actual_lead_time_days,delayed_days,is_on_time,quality_pass_rate_pct,risk_category
PO_000051,SUP_025,FAB_024,9898,5.42,53647.16,2024-12-17,2025-01-06,2025-01-07,20,21,1,0,97.32,Medium
PO_000052,SUP_001,FAB_004,13214,7.06,93290.84,2024-06-16,2024-07-09,2024-07-09,23,23,0,1,95.48,Low
PO_000053,SUP_005,FAB_021,12962,11.74,152173.88,2024-03-08,2024-03-29,2024-03-29,21,21,0,1,98.01,Low
PO_000054,SUP_016,FAB_025,3736,19.48,72777.28,2024-10-23,2024-11-08,2024-11-17,16,25,9,0,94.7,High
PO_000055,SUP_005,FAB_026,2866,13.45,38547.7,2024-03-20,2024-04-27,2024-04-27,38,38,0,1,99.9,Low
PO_000056,SUP_005,FAB_021,15296,11.74,179575.04,2025-08-23,2025-09-13,2025-09-18,21,26,5,0,100.0,Medium
PO_000057,SUP_006,FAB_008,2445,16.35,39975.75,2025-11-07,2025-12-16,2025-12-16,39,39,0,1,91.94,Low
PO_000058,SUP_023,FAB_025,14745,20.24,298438.8,2024-03-27,2024-04-12,2024-04-12,16,16,0,1,96.47,Low
PO_000059,SUP_004,FAB_019,3242,15.3,49602.6,2024-01-11,2024-02-06,2024-02-06,26,26,0,1,95.65,Low
PO_000060,SUP_017,FAB_013,3632,11.71,42530.72,2025-06-16,2025-07-23,2025-07-26,37,40,3,0,90.94,Medium
PO_000061,SUP_007,FAB_016,10452,4.91,51319.32,2024-12-28,2025-01-23,2025-01-28,26,31,5,0,92.56,Medium
PO_000062,SUP_025,FAB_009,7520,8.15,61288.0,2024-09-06,2024-10-03,2024-10-03,27,27,0,1,96.83,Low
PO_000063,SUP_010,FAB_016,2611,4.77,12454.47,2025-07-27,2025-08-16,2025-08-16,20,20,0,1,93.19,Low
PO_000064,SUP_012,FAB_026,19504,11.82,230537.28,2025-03-26,2025-04-12,2025-04-12,17,17,0,1,100.0,Low
PO_000065,SUP_006,FAB_015,3123,13.95,43565.85,2025-10-29,2025-11-15,2025-11-24,17,26,9,0,92.05,High
PO_000066,SUP_025,FAB_024,10483,5.42,56817.86,2024-12-12,2025-01-01,2025-01-01,20,20,0,1,96.23,Low
PO_000067,SUP_018,FAB_024,11206,5.25,58831.5,2024-09-07,2024-09-23,2024-09-23,16,16,0,1,96.09,Low
PO_000068,SUP_024,FAB_028,5394,18.15,97901.1,2024-08-22,2024-09-06,2024-09-06,15,15,0,1,93.13,Low
PO_000069,SUP_023,FAB_028,6884,15.73,108285.32,2024-05-03,2024-05-27,2024-05-27,24,24,0,1,100.0,Low
PO_000070,SUP_012,FAB_023,17891,7.53,134719.23,2024-07-05,2024-07-30,2024-07-30,25,25,0,1,95.73,Low
PO_000071,SUP_015,FAB_018,11730,12.21,143223.3,2025-10-06,2025-11-05,2025-11-10,30,35,5,0,99.32,Medium
PO_000072,SUP_010,FAB_022,4795,5.48,26276.6,2024-06-06,2024-06-23,2024-06-30,17,24,7,0,93.2,Medium
PO_000073,SUP_025,FAB_016,14520,5.26,76375.2,2024-05-24,2024-06-08,2024-06-08,15,15,0,1,100.0,Low
PO_000074,SUP_011,FAB_001,18189,9.83,178797.87,2024-06-23,2024-07-31,2024-07-31,38,38,0,1,100.0,Low
PO_000075,SUP_001,FAB_017,13689,11.59,158655.51,2025-07-13,2025-08-17,2025-08-17,35,35,0,1,96.91,Low
PO_000076,SUP_003,FAB_014,3865,19.82,76604.3,2024-05-01,2024-05-24,2024-05-24,23,23,0,1,93.13,Low
PO_000077,SUP_018,FAB_004,5560,7.39,41088.4,2024-09-18,2024-10-18,2024-10-19,30,31,1,0,99.49,Medium
PO_000078,SUP_023,FAB_007,7634,8.16,62293.44,2025-10-07,2025-10-29,2025-10-29,22,22,0,1,94.85,Low
PO_000079,SUP_004,FAB_015,9113,13.72,125030.36,2025-10-17,2025-11-10,2025-11-13,24,27,3,0,95.38,Medium
PO_000080,SUP_006,FAB_014,13019,16.46,214292.74,2025-03-18,2025-04-07,2025-04-11,20,24,4,0,93.54,Medium
PO_000081,SUP_010,FAB_024,10242,4.93,50493.06,2025-11-17,2025-12-16,2025-12-23,29,36,7,0,99.22,Medium
PO_000082,SUP_017,FAB_013,3285,11.71,38467.35,2024-05-13,2024-06-19,2024-06-23,37,41,4,0,94.69,Medium
PO_000083,SUP_001,FAB_006,6196,18.61,115307.56,2024-02-28,2024-04-08,2024-04-08,40,40,0,1,99.37,Low
PO_000084,SUP_020,FAB_006,16315,15.75,256961.25,2025-07-09,2025-07-24,2025-07-24,15,15,0,1,87.43,Low
PO_000085,SUP_005,FAB_030,8797,15.73,138376.81,2025-01-24,2025-02-15,2025-02-15,22,22,0,1,94.39,Low
PO_000086,SUP_025,FAB_005,12214,6.69,81711.66,2024-06-07,2024-06-28,2024-06-28,21,21,0,1,90.96,Low
PO_000087,SUP_010,FAB_005,18312,6.79,124338.48,2025-05-29,2025-06-17,2025-06-17,19,19,0,1,95.77,Low
PO_000088,SUP_008,FAB_025,17516,16.9,296020.4,2024-12-27,2025-01-27,2025-01-30,31,34,3,0,100.0,Medium
PO_000089,SUP_010,FAB_011,2507,6.57,16470.99,2024-03-05,2024-03-20,2024-03-25,15,20,5,0,100.0,Medium
PO_000090,SUP_023,FAB_019,19463,15.67,304985.21,2024-06-07,2024-06-23,2024-06-23,16,16,0,1,90.53,Low
PO_000091,SUP_009,FAB_010,6159,5.01,30856.59,2024-09-21,2024-10-15,2024-10-15,24,24,0,1,91.97,Low
PO_000092,SUP_009,FAB_010,5899,5.01,29553.99,2025-06-15,2025-07-09,2025-07-09,24,24,0,1,96.56,Low
PO_000093,SUP_008,FAB_005,9545,6.91,65955.95,2025-03-04,2025-04-10,2025-04-11,37,38,1,0,86.28,Medium
PO_000094,SUP_016,FAB_012,9064,13.37,121185.68,2024-08-29,2024-09-25,2024-09-25,27,27,0,1,94.37,Low
PO_000095,SUP_009,FAB_026,3118,14.0,43652.0,2024-04-09,2024-04-25,2024-04-26,16,17,1,0,96.5,Medium
PO_000096,SUP_007,FAB_018,2460,10.76,26469.6,2025-06-23,2025-07-10,2025-07-14,17,21,4,0,90.19,Medium
PO_000097,SUP_009,FAB_010,16387,5.01,82098.87,2024-11-09,2024-12-03,2024-12-03,24,24,0,1,95.15,Low
PO_000098,SUP_023,FAB_017,13755,9.24,127096.2,2025-07-20,2025-08-26,2025-09-04,37,46,9,0,98.45,High
PO_000099,SUP_016,FAB_014,17168,20.14,345763.52,2024-07-06,2024-08-02,2024-08-02,27,27,0,1,91.2,Low
PO_000100,SUP_012,FAB_022,8737,4.72,41238.64,2025-11-30,2025-12-27,2025-12-27,27,27,0,1,93.17,Low
PO_000101,SUP_008,FAB_001,10833,9.4,101830.2,2024-10-31,2024-11-19,2024-11-20,19,20,1,0,96.56,Medium
PO_000102,SUP_023,FAB_020,7979,8.76,69896.04,2025-02-14,2025-03-20,2025-03-25,34,39,5,0,86.28,Medium
PO_000103,SUP_008,FAB_027,17219,12.68,218336.92,2025-05-15,2025-05-29,2025-05-29,14,14,0,1,90.48,Low
PO_000104,SUP_013,FAB_010,2303,5.1,11745.3,2025-07-06,2025-08-02,2025-08-13,27,38,11,0,90.43,High
PO_000105,SUP_008,FAB_025,15650,16.9,264485.0,2025-08-16,2025-09-16,2025-09-20,31,35,4,0,90.83,Medium
PO_000106,SUP_018,FAB_012,15893,13.73,218210.89,2024-02-09,2024-03-13,2024-03-15,33,35,2,0,99.35,Medium
PO_000107,SUP_019,FAB_015,9440,14.82,139900.8,2025-07-10,2025-08-07,2025-08-14,28,35,7,0,93.16,Medium
PO_000108,SUP_003,FAB_016,11415,4.92,56161.8,2024-04-27,2024-05-31,2024-05-31,34,34,0,1,92.59,Low
PO_000109,SUP_009,FAB_020,16101,8.32,133960.32,2025-01-01,2025-01-16,2025-01-16,15,15,0,1,97.83,Low
PO_000110,SUP_011,FAB_020,2783,8.32,23154.56,2025-02-17,2025-03-28,2025-03-28,39,39,0,1,96.61,Low
PO_000111,SUP_025,FAB_012,12610,13.62,171748.2,2024-01-14,2024-02-01,2024-02-01,18,18,0,1,99.74,Low
PO_000112,SUP_023,FAB_017,16754,9.24,154806.96,2025-06-29,2025-08-05,2025-08-05,37,37,0,1,93.86,Low
PO_000113,SUP_015,FAB_024,5203,5.13,26691.39,2025-10-14,2025-11-01,2025-11-01,18,18,0,1,90.38,Low
PO_000114,SUP_022,FAB_021,10046,13.91,139739.86,2025-04-01,2025-04-23,2025-04-23,22,22,0,1,97.3,Low
PO_000115,SUP_013,FAB_020,14765,8.4,124026.0,2024-04-25,2024-06-01,2024-06-01,37,37,0,1,88.52,Low
PO_000116,SUP_023,FAB_007,2249,8.16,18351.84,2024-07-09,2024-07-31,2024-07-31,22,22,0,1,97.14,Low
PO_000117,SUP_004,FAB_002,12130,12.42,150654.6,2024-10-30,2024-11-16,2024-11-16,17,17,0,1,94.02,Low
PO_000118,SUP_022,FAB_023,13752,7.57,104102.64,2024-10-31,2024-11-22,2024-11-22,22,22,0,1,96.07,Low
PO_000119,SUP_004,FAB_017,3347,11.49,38457.03,2024-06-20,2024-07-22,2024-07-22,32,32,0,1,86.4,Low
PO_000120,SUP_017,FAB_029,14439,9.81,141646.59,2025-10-20,2025-11-23,2025-12-02,34,43,9,0,87.48,High
PO_000121,SUP_018,FAB_015,2550,13.28,33864.0,2025-11-04,2025-11-19,2025-11-19,15,15,0,1,95.88,Low
PO_000122,SUP_007,FAB_019,8195,16.0,131120.0,2025-07-05,2025-08-14,2025-08-14,40,40,0,1,89.5,Low
PO_000123,SUP_018,FAB_019,12577,15.93,200351.61,2024-10-06,2024-11-05,2024-11-05,30,30,0,1,98.16,Low
PO_000124,SUP_021,FAB_017,6394,10.83,69247.02,2024-03-09,2024-04-15,2024-04-15,37,37,0,1,88.76,Low
PO_000125,SUP_023,FAB_018,11240,12.17,136790.8,2025-04-03,2025-04-30,2025-05-09,27,36,9,0,90.29,High
PO_000126,SUP_009,FAB_026,1688,14.0,23632.0,2025-10-29,2025-11-14,2025-11-14,16,16,0,1,94.05,Low
PO_000127,SUP_023,FAB_006,8409,14.79,124369.11,2024-10-28,2024-12-02,2024-12-08,35,41,6,0,89.43,Medium
PO_000128,SUP_012,FAB_022,7703,4.72,36358.16,2025-02-19,2025-03-18,2025-03-18,27,27,0,1,93.09,Low
PO_000129,SUP_023,FAB_007,10900,8.16,88944.0,2024-05-09,2024-05-31,2024-05-31,22,22,0,1,88.26,Low
PO_000130,SUP_009,FAB_010,4609,5.01,23091.09,2025-04-04,2025-04-28,2025-04-28,24,24,0,1,96.04,Low
PO_000131,SUP_003,FAB_028,7236,18.9,136760.4,2025-06-24,2025-07-09,2025-07-09,15,15,0,1,94.96,Low
PO_000132,SUP_013,FAB_024,16319,5.18,84532.42,2025-02-13,2025-03-14,2025-03-14,29,29,0,1,91.68,Low
PO_000133,SUP_014,FAB_014,5033,17.09,86013.97,2024-05-16,2024-06-14,2024-06-14,29,29,0,1,88.63,Low
PO_000134,SUP_012,FAB_008,16815,13.43,225825.45,2024-09-07,2024-10-12,2024-10-14,35,37,2,0,96.74,Medium
PO_000135,SUP_020,FAB_010,18236,5.04,91909.44,2025-01-05,2025-02-04,2025-02-04,30,30,0,1,90.82,Low
PO_000136,SUP_007,FAB_019,11522,16.0,184352.0,2024-12-08,2025-01-17,2025-01-17,40,40,0,1,92.17,Low
PO_000137,SUP_008,FAB_028,10646,16.49,175552.54,2024-04-11,2024-05-07,2024-05-07,26,26,0,1,96.68,Low
PO_000138,SUP_017,FAB_005,16820,6.39,107479.8,2025-02-12,2025-03-14,2025-03-15,30,31,1,0,90.02,Medium
PO_000139,SUP_012,FAB_022,3554,4.72,16774.88,2024-06-09,2024-07-06,2024-07-07,27,28,1,0,94.37,Medium
PO_000140,SUP_005,FAB_012,6468,13.26,85765.68,2025-09-05,2025-10-02,2025-10-02,27,27,0,1,100.0,Low
PO_000141,SUP_012,FAB_017,16950,9.86,167127.0,2025-05-17,2025-06-14,2025-06-16,28,30,2,0,99.7,Medium
PO_000142,SUP_008,FAB_015,7774,13.41,104249.34,2024-06-04,2024-07-02,2024-07-02,28,28,0,1,96.82,Low
PO_000143,SUP_004,FAB_018,5308,12.22,64863.76,2025-04-12,2025-04-26,2025-04-30,14,18,4,0,95.22,Medium
PO_000144,SUP_015,FAB_010,1131,5.34,6039.54,2024-09-15,2024-09-30,2024-09-30,15,15,0,1,93.48,Low
PO_000145,SUP_006,FAB_010,6200,5.13,31806.0,2024-06-07,2024-07-03,2024-07-03,26,26,0,1,94.88,Low
PO_000146,SUP_003,FAB_028,14548,18.9,274957.2,2024-10-15,2024-10-30,2024-11-15,15,31,16,0,92.33,High
PO_000147,SUP_011,FAB_027,12909,11.21,144709.89,2025-05-15,2025-06-11,2025-06-13,27,29,2,0,89.96,Medium
PO_000148,SUP_002,FAB_004,1237,7.87,9735.19,2025-06-14,2025-07-13,2025-07-15,29,31,2,0,90.04,Medium
PO_000149,SUP_014,FAB_018,11283,11.55,130318.65,2024-10-31,2024-12-09,2024-12-09,39,39,0,1,92.97,Low
PO_000150,SUP_008,FAB_005,3132,6.91,21642.12,2024-02-09,2024-03-17,2024-03-17,37,37,0,1,90.52,Low
PO_000151,SUP_006,FAB_016,7862,4.91,38602.42,2024-11-25,2025-01-02,2025-01-02,38,38,0,1,88.89,Low
PO_000152,SUP_021,FAB_015,7328,15.16,111092.48,2024-04-23,2024-05-15,2024-05-15,22,22,0,1,94.31,Low
PO_000153,SUP_015,FAB_010,12866,5.34,68704.44,2024-09-03,2024-09-18,2024-09-18,15,15,0,1,97.43,Low
PO_000154,SUP_003,FAB_010,19114,4.41,84292.74,2025-06-15,2025-06-30,2025-07-02,15,17,2,0,92.32,Medium
PO_000155,SUP_002,FAB_003,7120,16.83,119829.6,2024-06-15,2024-07-07,2024-07-07,22,22,0,1,100.0,Low
PO_000156,SUP_005,FAB_017,5772,10.84,62568.48,2025-05-05,2025-06-06,2025-06-06,32,32,0,1,100.0,Low
PO_000157,SUP_004,FAB_015,13922,13.72,191009.84,2024-07-26,2024-08-19,2024-08-19,24,24,0,1,93.87,Low
PO_000158,SUP_002,FAB_027,3528,11.4,40219.2,2025-08-23,2025-09-23,2025-09-23,31,31,0,1,94.28,Low
PO_000159,SUP_022,FAB_007,4643,8.25,38304.75,2025-04-05,2025-05-04,2025-05-04,29,29,0,1,92.43,Low
PO_000160,SUP_021,FAB_003,4177,17.73,74058.21,2024-02-18,2024-03-09,2024-03-09,20,20,0,1,88.62,Low
PO_000161,SUP_024,FAB_021,7672,11.96,91757.12,2025-06-11,2025-06-28,2025-06-28,17,17,0,1,91.84,Low
PO_000162,SUP_008,FAB_021,719,12.27,8822.13,2025-08-17,2025-09-04,2025-09-04,18,18,0,1,96.73,Low
PO_000163,SUP_018,FAB_011,19932,5.86,116801.52,2025-09-27,2025-10-25,2025-10-25,28,28,0,1,92.55,Low
PO_000164,SUP_003,FAB_010,13516,4.41,59605.56,2024-03-01,2024-03-16,2024-03-24,15,23,8,0,91.92,High
PO_000165,SUP_002,FAB_027,16196,11.4,184634.4,2024-03-17,2024-04-17,2024-04-17,31,31,0,1,100.0,Low
PO_000166,SUP_017,FAB_013,10959,11.71,128329.89,2024-01-24,2024-03-01,2024-03-09,37,45,8,0,88.39,High
PO_000167,SUP_024,FAB_025,10530,19.85,209020.5,2025-11-01,2025-11-17,2025-11-21,16,20,4,0,92.93,Medium
PO_000168,SUP_002,FAB_027,7682,11.4,87574.8,2024-07-04,2024-08-04,2024-08-04,31,31,0,1,100.0,Low
PO_000169,SUP_010,FAB_006,17519,16.62,291165.78,2024-03-30,2024-05-05,2024-05-16,36,47,11,0,91.41,High
PO_000170,SUP_015,FAB_021,9198,13.5,124173.0,2024-08-01,2024-08-25,2024-08-25,24,24,0,1,93.04,Low
PO_000171,SUP_006,FAB_007,4921,7.38,36316.98,2025-05-10,2025-05-30,2025-06-03,20,24,4,0,99.53,Medium
PO_000172,SUP_022,FAB_020,1329,10.02,13316.58,2025-09-04,2025-10-02,2025-10-02,28,28,0,1,97.23,Low
PO_000173,SUP_021,FAB_014,3898,20.05,78154.9,2025-07-21,2025-08-13,2025-08-13,23,23,0,1,94.74,Low
PO_000174,SUP_003,FAB_010,6645,4.41,29304.45,2024-07-11,2024-07-26,2024-07-26,15,15,0,1,91.51,Low
PO_000175,SUP_023,FAB_007,4751,8.16,38768.16,2024-04-15,2024-05-07,2024-05-07,22,22,0,1,96.23,Low
PO_000176,SUP_001,FAB_017,4514,11.59,52317.26,2024-07-29,2024-09-02,2024-09-02,35,35,0,1,94.0,Low
PO_000177,SUP_008,FAB_021,17193,12.27,210958.11,2025-06-30,2025-07-18,2025-07-19,18,19,1,0,92.43,Medium
PO_000178,SUP_015,FAB_009,18742,8.22,154059.24,2024-07-04,2024-08-09,2024-08-16,36,43,7,0,92.23,Medium
PO_000179,SUP_008,FAB_015,19248,13.41,258115.68,2025-02-02,2025-03-02,2025-03-05,28,31,3,0,96.91,Medium
PO_000180,SUP_016,FAB_012,10806,13.37,144476.22,2024-07-26,2024-08-22,2024-08-23,27,28,1,0,93.54,Medium
PO_000181,SUP_008,FAB_023,12464,6.73,83882.72,2024-06-04,2024-07-06,2024-07-06,32,32,0,1,88.42,Low
PO_000182,SUP_006,FAB_014,19499,16.46,320953.54,2024-03-13,2024-04-02,2024-04-02,20,20,0,1,94.5,Low
PO_000183,SUP_013,FAB_021,6502,12.18,79194.36,2024-07-13,2024-08-14,2024-08-18,32,36,4,0,94.43,Medium
PO_000184,SUP_007,FAB_011,14352,5.74,82380.48,2025-08-28,2025-10-03,2025-10-04,36,37,1,0,98.84,Medium
PO_000185,SUP_006,FAB_015,6491,13.95,90549.45,2025-10-26,2025-11-12,2025-11-21,17,26,9,0,88.45,High
PO_000186,SUP_022,FAB_015,11467,14.68,168335.56,2025-08-21,2025-09-24,2025-09-30,34,40,6,0,96.38,Medium
PO_000187,SUP_002,FAB_005,17439,6.1,106377.9,2024-10-18,2024-11-16,2024-11-16,29,29,0,1,92.22,Low
PO_000188,SUP_008,FAB_001,16461,9.4,154733.4,2025-10-13,2025-11-01,2025-11-03,19,21,2,0,94.31,Medium
PO_000189,SUP_005,FAB_030,9742,15.73,153241.66,2024-09-17,2024-10-09,2024-10-09,22,22,0,1,100.0,Low
PO_000190,SUP_025,FAB_020,14836,9.52,141238.72,2025-02-04,2025-03-12,2025-03-12,36,36,0,1,92.77,Low
PO_000191,SUP_017,FAB_015,19150,14.49,277483.5,2024-09-12,2024-10-04,2024-10-20,22,38,16,0,91.43,High
PO_000192,SUP_015,FAB_001,15505,11.17,173190.85,2025-02-10,2025-03-21,2025-03-25,39,43,4,0,93.85,Medium
PO_000193,SUP_005,FAB_017,1295,10.84,14037.8,2025-09-20,2025-10-22,2025-10-22,32,32,0,1,94.38,Low
PO_000194,SUP_002,FAB_025,10520,18.91,198933.2,2024-08-18,2024-09-13,2024-09-13,26,26,0,1,98.66,Low
PO_000195,SUP_010,FAB_011,7405,6.57,48650.85,2024-01-16,2024-01-31,2024-02-19,15,34,19,0,97.16,High
PO_000196,SUP_019,FAB_024,9274,5.38,49894.12,2024-01-02,2024-01-16,2024-01-19,14,17,3,0,94.44,Medium
PO_000197,SUP_005,FAB_017,15157,10.84,164301.88,2024-05-27,2024-06-28,2024-06-28,32,32,0,1,94.51,Low
PO_000198,SUP_002,FAB_004,7348,7.87,57828.76,2024-05-30,2024-06-28,2024-06-28,29,29,0,1,100.0,Low
PO_000199,SUP_018,FAB_008,5510,14.6,80446.0,2025-01-27,2025-02-12,2025-02-12,16,16,0,1,96.31,Low
PO_000200,SUP_014,FAB_017,18776,11.32,212544.32,2024-04-02,2024-05-01,2024-05-01,29,29,0,1,90.36,Low
PO_000201,SUP_007,FAB_028,5115,17.07,87313.05,2025-10-22,2025-11-12,2025-11-13,21,22,1,0,97.23,Medium
PO_000202,SUP_015,FAB_018,8822,12.21,107716.62,2025-11-25,2025-12-25,2025-12-27,30,32,2,0,93.01,Medium
PO_000203,SUP_014,FAB_014,5712,17.09,97618.08,2024-09-06,2024-10-05,2024-10-05,29,29,0,1,96.65,Low
PO_000204,SUP_013,FAB_010,10393,5.1,53004.3,2024-03-06,2024-04-02,2024-04-02,27,27,0,1,89.39,Low
PO_000205,SUP_003,FAB_010,6528,4.41,28788.48,2025-03-09,2025-03-24,2025-03-24,15,15,0,1,90.38,Low
PO_000206,SUP_015,FAB_018,19668,12.21,240146.28,2024-03-02,2024-04-01,2024-04-01,30,30,0,1,100.0,Low
PO_000207,SUP_025,FAB_002,15608,14.8,230998.4,2025-08-17,2025-09-06,2025-09-06,20,20,0,1,97.38,Low
PO_000208,SUP_005,FAB_016,13287,5.84,77596.08,2025-10-25,2025-11-22,2025-11-30,28,36,8,0,93.23,High
