markdown_id,sku_id,period,original_price,discount_percentage,discounted_price,units_sold_post_markdown,remaining_unallocated_stock
MKD_00061,SKU_0002,2026-W28,98.56,35,64.06,2280,1083
MKD_00062,SKU_0043,2026-W41,135.18,25,101.39,729,484
MKD_00063,SKU_0028,2026-W03,44.72,15,38.01,2501,659
MKD_00064,SKU_0047,2026-W35,63.15,25,47.36,440,149
MKD_00065,SKU_0047,2026-W16,63.15,50,31.57,2794,1334
MKD_00066,SKU_0015,2026-W34,25.27,50,12.63,865,599
MKD_00067,SKU_0028,2026-W01,44.72,15,38.01,2771,1491
MKD_00068,SKU_0040,2026-W43,51.26,50,25.63,2459,1027
MKD_00069,SKU_0011,2026-W37,47.94,15,40.75,707,885
MKD_00070,SKU_0013,2026-W45,146.12,15,124.2,2813,325
MKD_00071,SKU_0028,2026-W06,44.72,35,29.07,2016,1213
MKD_00072,SKU_0003,2026-W18,53.62,15,45.58,2272,477
MKD_00073,SKU_0007,2026-W13,107.37,35,69.79,1653,1066
MKD_00074,SKU_0043,2026-W02,135.18,15,114.9,2810,525
MKD_00075,SKU_0022,2026-W06,102.42,50,51.21,2285,220
MKD_00076,SKU_0012,2026-W04,126.0,15,107.1,1739,770
MKD_00077,SKU_0043,2026-W01,135.18,35,87.87,2973,322
MKD_00078,SKU_0048,2026-W34,74.81,50,37.41,2671,124
MKD_00079,SKU_0004,2026-W12,89.27,35,58.03,2714,1340
MKD_00080,SKU_0050,2026-W10,142.4,35,92.56,1221,368
MKD_00081,SKU_0023,2026-W43,141.84,35,92.2,1384,513
MKD_00082,SKU_0042,2026-W17,140.72,25,105.54,2795,450
MKD_00083,SKU_0044,2026-W12,122.8,25,92.1,2941,271
MKD_00084,SKU_0012,2026-W13,126.0,35,81.9,329,388
MKD_00085,SKU_0022,2026-W16,102.42,25,76.81,367,546
MKD_00086,SKU_0026,2026-W16,34.16,15,29.04,853,386
MKD_00087,SKU_0032,2026-W47,114.7,50,57.35,2674,130
MKD_00088,SKU_0017,2026-W42,44.35,50,22.18,1379,710
MKD_00089,SKU_0032,2026-W01,114.7,25,86.03,2778,1396
MKD_00090,SKU_0047,2026-W08,63.15,15,53.68,425,1011
MKD_00091,SKU_0041,2026-W52,122.51,15,104.13,2587,1099
MKD_00092,SKU_0027,2026-W31,141.66,50,70.83,2461,724
MKD_00093,SKU_0022,2026-W13,102.42,25,76.81,1488,1406
MKD_00094,SKU_0042,2026-W47,140.72,25,105.54,1292,818
MKD_00095,SKU_0044,2026-W33,122.8,50,61.4,1517,548
MKD_00096,SKU_0030,2026-W50,142.37,15,121.01,585,1490
MKD_00097,SKU_0005,2026-W13,92.4,15,78.54,1110,916
MKD_00098,SKU_0006,2026-W26,123.08,25,92.31,1170,1084
MKD_00099,SKU_0046,2026-W02,132.32,35,86.01,2026,144
MKD_00100,SKU_0021,2026-W15,75.47,15,64.15,1296,866
MKD_00101,SKU_0007,2026-W26,107.37,15,91.26,1267,1452
MKD_00102,SKU_0050,2026-W36,142.4,50,71.2,1478,824
MKD_00103,SKU_0044,2026-W41,122.8,50,61.4,1262,944
MKD_00104,SKU_0011,2026-W16,47.94,35,31.16,352,601
MKD_00105,SKU_0018,2026-W52,118.5,25,88.88,2073,107
MKD_00106,SKU_0011,2026-W16,47.94,50,23.97,1064,362
MKD_00107,SKU_0026,2026-W29,34.16,25,25.62,852,1403
MKD_00108,SKU_0034,2026-W02,104.29,50,52.15,832,477
MKD_00109,SKU_0039,2026-W48,40.93,35,26.6,357,133
MKD_00110,SKU_0038,2026-W22,129.32,50,64.66,632,242
MKD_00111,SKU_0001,2026-W37,53.09,25,39.82,1271,1339
MKD_00112,SKU_0041,2026-W01,122.51,35,79.63,2654,1278
MKD_00113,SKU_0027,2026-W27,141.66,35,92.08,2216,1241
MKD_00114,SKU_0037,2026-W41,34.41,35,22.37,1855,662
MKD_00115,SKU_0048,2026-W39,74.81,35,48.63,2446,1450
MKD_00116,SKU_0006,2026-W05,123.08,50,61.54,1163,177
MKD_00117,SKU_0015,2026-W38,25.27,25,18.95,894,1248
MKD_00118,SKU_0019,2026-W12,87.86,35,57.11,982,319
MKD_00119,SKU_0014,2026-W48,85.17,35,55.36,1135,545
MKD_00120,SKU_0009,2026-W50,32.58,15,27.69,1294,571
MKD_00121,SKU_0049,2026-W04,105.19,15,89.41,2948,203
MKD_00122,SKU_0019,2026-W40,87.86,25,65.89,1655,868
MKD_00123,SKU_0001,2026-W02,53.09,25,39.82,828,1321
MKD_00124,SKU_0013,2026-W38,146.12,15,124.2,1685,1131
MKD_00125,SKU_0032,2026-W02,114.7,25,86.03,995,148
MKD_00126,SKU_0050,2026-W23,142.4,50,71.2,927,202
MKD_00127,SKU_0002,2026-W21,98.56,25,73.92,1763,904
MKD_00128,SKU_0039,2026-W06,40.93,25,30.7,2394,985
MKD_00129,SKU_0001,2026-W46,53.09,50,26.55,963,556
MKD_00130,SKU_0041,2026-W18,122.51,15,104.13,1290,1178
MKD_00131,SKU_0031,2026-W20,117.8,35,76.57,1246,1110
MKD_00132,SKU_0016,2026-W23,77.88,15,66.2,1233,821
MKD_00133,SKU_0040,2026-W09,51.26,50,25.63,2298,947
MKD_00134,SKU_0016,2026-W03,77.88,15,66.2,2703,1103
MKD_00135,SKU_0025,2026-W50,82.15,25,61.61,2899,481
MKD_00136,SKU_0021,2026-W30,75.47,25,56.6,2990,600
MKD_00137,SKU_0039,2026-W25,40.93,50,20.46,2289,629
MKD_00138,SKU_0036,2026-W15,93.96,15,79.87,2668,293
MKD_00139,SKU_0018,2026-W01,118.5,25,88.88,1246,1121
MKD_00140,SKU_0024,2026-W40,58.2,50,29.1,1570,228
MKD_00141,SKU_0020,2026-W05,131.42,25,98.56,1517,159
MKD_00142,SKU_0007,2026-W38,107.37,25,80.53,2463,1248
MKD_00143,SKU_0031,2026-W11,117.8,35,76.57,2807,853
MKD_00144,SKU_0016,2026-W47,77.88,25,58.41,2192,311
MKD_00145,SKU_0033,2026-W49,88.18,35,57.32,1067,1197
MKD_00146,SKU_0019,2026-W51,87.86,15,74.68,2498,1385
MKD_00147,SKU_0035,2026-W27,121.39,35,78.9,1208,1127
MKD_00148,SKU_0001,2026-W43,53.09,25,39.82,2532,787
MKD_00149,SKU_0010,2026-W10,48.95,15,41.61,509,200
MKD_00150,SKU_0019,2026-W26,87.86,15,74.68,1393,1235
MKD_00151,SKU_0045,2026-W46,58.35,35,37.93,680,853
MKD_00152,SKU_0023,2026-W17,141.84,50,70.92,2513,1076
MKD_00153,SKU_0003,2026-W09,53.62,25,40.21,795,1160
MKD_00154,SKU_0030,2026-W16,142.37,15,121.01,2813,851
MKD_00155,SKU_0047,2026-W47,63.15,15,53.68,2544,1227
MKD_00156,SKU_0036,2026-W11,93.96,35,61.07,1249,1466
MKD_00157,SKU_0024,2026-W01,58.2,35,37.83,853,241
MKD_00158,SKU_0027,2026-W28,141.66,15,120.41,2560,242
MKD_00159,SKU_0015,2026-W41,25.27,35,16.43,1895,517
MKD_00160,SKU_0044,2026-W10,122.8,50,61.4,885,653
MKD_00161,SKU_0044,2026-W28,122.8,35,79.82,1052,978
MKD_00162,SKU_0022,2026-W27,102.42,35,66.57,798,847
MKD_00163,SKU_0043,2026-W43,135.18,50,67.59,2145,362
MKD_00164,SKU_0015,2026-W43,25.27,35,16.43,1710,272
MKD_00165,SKU_0031,2026-W30,117.8,25,88.35,1449,1225
MKD_00166,SKU_0019,2026-W39,87.86,50,43.93,1060,1056
MKD_00167,SKU_0003,2026-W38,53.62,35,34.85,2752,643
MKD_00168,SKU_0018,2026-W07,118.5,50,59.25,2142,558
MKD_00169,SKU_0021,2026-W26,75.47,25,56.6,529,958
MKD_00170,SKU_0046,2026-W19,132.32,35,86.01,2341,1494
MKD_00171,SKU_0001,2026-W47,53.09,50,26.55,2304,729
MKD_00172,SKU_0001,2026-W44,53.09,15,45.13,942,889
MKD_00173,SKU_0002,2026-W41,98.56,25,73.92,2377,1032
MKD_00174,SKU_0041,2026-W02,122.51,15,104.13,2132,233
MKD_00175,SKU_0007,2026-W28,107.37,15,91.26,1513,1141
MKD_00176,SKU_0004,2026-W50,89.27,25,66.95,1096,396
MKD_00177,SKU_0023,2026-W37,141.84,50,70.92,2845,1384
MKD_00178,SKU_0033,2026-W04,88.18,15,74.95,2521,1196
MKD_00179,SKU_0007,2026-W34,107.37,35,69.79,1531,1208
MKD_00180,SKU_0041,2026-W25,122.51,35,79.63,1647,636
MKD_00181,SKU_0005,2026-W12,92.4,15,78.54,1435,457
MKD_00182,SKU_0010,2026-W04,48.95,50,24.48,2038,1370
MKD_00183,SKU_0006,2026-W51,123.08,25,92.31,2578,471
MKD_00184,SKU_0047,2026-W31,63.15,15,53.68,949,1378
MKD_00185,SKU_0021,2026-W45,75.47,25,56.6,617,1243
MKD_00186,SKU_0027,2026-W29,141.66,50,70.83,2418,393
MKD_00187,SKU_0014,2026-W31,85.17,50,42.59,1623,980
MKD_00188,SKU_0047,2026-W27,63.15,50,31.57,1819,1297
MKD_00189,SKU_0019,2026-W15,87.86,50,43.93,2142,1240
MKD_00190,SKU_0031,2026-W22,117.8,35,76.57,2715,1010
MKD_00191,SKU_0008,2026-W50,132.98,15,113.03,2436,1370
MKD_00192,SKU_0031,2026-W19,117.8,25,88.35,2424,332
MKD_00193,SKU_0034,2026-W02,104.29,50,52.15,2075,507
MKD_00194,SKU_0014,2026-W41,85.17,50,42.59,2500,1033
MKD_00195,SKU_0017,2026-W10,44.35,50,22.18,1986,1006
MKD_00196,SKU_0047,2026-W11,63.15,25,47.36,1878,1162
MKD_00197,SKU_0008,2026-W27,132.98,25,99.73,568,789
MKD_00198,SKU_0043,2026-W26,135.18,25,101.39,1563,197
MKD_00199,SKU_0031,2026-W09,117.8,50,58.9,488,1390
MKD_00200,SKU_0012,2026-W46,126.0,25,94.5,418,1086
MKD_00201,SKU_0020,2026-W46,131.42,35,85.42,2827,936
MKD_00202,SKU_0012,2026-W06,126.0,35,81.9,2924,603
MKD_00203,SKU_0050,2026-W18,142.4,25,106.8,1707,1328
MKD_00204,SKU_0047,2026-W47,63.15,15,53.68,828,591
MKD_00205,SKU_0044,2026-W19,122.8,15,104.38,643,652
MKD_00206,SKU_0011,2026-W52,47.94,15,40.75,1739,1166
MKD_00207,SKU_0010,2026-W17,48.95,35,31.82,1700,340
MKD_00208,SKU_0017,2026-W20,44.35,25,33.26,1192,1209
MKD_00209,SKU_0010,2026-W04,48.95,35,31.82,531,1179
MKD_00210,SKU_0047,2026-W44,63.15,50,31.57,2774,1304
MKD_00211,SKU_0009,2026-W23,32.58,15,27.69,583,222
MKD_00212,SKU_0013,2026-W45,146.12,35,94.98,606,836
MKD_00213,SKU_0038,2026-W49,129.32,35,84.06,2843,1446
MKD_00214,SKU_0049,2026-W46,105.19,25,78.89,2525,484
MKD_00215,SKU_0019,2026-W10,87.86,35,57.11,2418,605
MKD_00216,SKU_0023,2026-W29,141.84,25,106.38,548,958
MKD_00217,SKU_0001,2026-W31,53.09,50,26.55,2950,1429
MKD_00218,SKU_0005,2026-W39,92.4,35,60.06,2260,911
MKD_00219,SKU_0019,2026-W15,87.86,25,65.89,1920,1355
MKD_00220,SKU_0007,2026-W42,107.37,50,53.69,490,580
MKD_00221,SKU_0050,2026-W20,142.4,25,106.8,1009,473
MKD_00222,SKU_0015,2026-W05,25.27,35,16.43,2182,1439
MKD_00223,SKU_0030,2026-W49,142.37,25,106.78,626,1483
MKD_00224,SKU_0007,2026-W04,107.37,50,53.69,447,847
MKD_00225,SKU_0011,2026-W21,47.94,35,31.16,2846,905
MKD_00226,SKU_0001,2026-W07,53.09,15,45.13,952,1066
MKD_00227,SKU_0008,2026-W11,132.98,50,66.49,455,1253
MKD_00228,SKU_0044,2026-W02,122.8,35,79.82,940,1010
MKD_00229,SKU_0050,2026-W42,142.4,15,121.04,2655,655
MKD_00230,SKU_0013,2026-W23,146.12,15,124.2,996,339
MKD_00231,SKU_0006,2026-W08,123.08,50,61.54,2234,1170
MKD_00232,SKU_0027,2026-W23,141.66,25,106.25,2972,923
MKD_00233,SKU_0045,2026-W24,58.35,15,49.6,1969,593
MKD_00234,SKU_0028,2026-W18,44.72,50,22.36,1880,1401
MKD_00235,SKU_0043,2026-W42,135.18,35,87.87,372,682
MKD_00236,SKU_0049,2026-W25,105.19,35,68.37,2654,892
MKD_00237,SKU_0001,2026-W11,53.09,50,26.55,2420,817
MKD_00238,SKU_0015,2026-W49,25.27,50,12.63,2887,1451
MKD_00239,SKU_0047,2026-W20,63.15,50,31.57,2776,448
MKD_00240,SKU_0036,2026-W34,93.96,15,79.87,2225,256
MKD_00241,SKU_0049,2026-W45,105.19,15,89.41,1126,941
MKD_00242,SKU_0015,2026-W50,25.27,35,16.43,1483,491
MKD_00243,SKU_0008,2026-W16,132.98,25,99.73,781,288
MKD_00244,SKU_0045,2026-W44,58.35,25,43.76,2303,206
MKD_00245,SKU_0028,2026-W21,44.72,35,29.07,1568,1083
MKD_00246,SKU_0034,2026-W52,104.29,25,78.22,2639,1442
MKD_00247,SKU_0037,2026-W18,34.41,15,29.25,2670,1070
MKD_00248,SKU_0039,2026-W02,40.93,15,34.79,1279,181
MKD_00249,SKU_0047,2026-W15,63.15,25,47.36,2244,1303
MKD_00250,SKU_0039,2026-W26,40.93,15,34.79,590,1151
MKD_00251,SKU_0022,2026-W11,102.42,15,87.06,2823,1047
MKD_00252,SKU_0026,2026-W04,34.16,50,17.08,2055,627
MKD_00253,SKU_0019,2026-W39,87.86,15,74.68,1159,160
MKD_00254,SKU_0045,2026-W31,58.35,35,37.93,2102,971
MKD_00255,SKU_0046,2026-W19,132.32,15,112.47,350,884
MKD_00256,SKU_0038,2026-W26,129.32,25,96.99,390,189
MKD_00257,SKU_0023,2026-W10,141.84,35,92.2,2585,948
MKD_00258,SKU_0014,2026-W32,85.17,35,55.36,1450,178
MKD_00259,SKU_0036,2026-W07,93.96,35,61.07,2115,729
MKD_00260,SKU_0017,2026-W19,44.35,35,28.83,606,598
MKD_00261,SKU_0049,2026-W21,105.19,25,78.89,2515,1428
MKD_00262,SKU_0012,2026-W50,126.0,25,94.5,1739,803
MKD_00263,SKU_0010,2026-W15,48.95,50,24.48,2183,521
MKD_00264,SKU_0016,2026-W25,77.88,15,66.2,710,1114
MKD_00265,SKU_0031,2026-W19,117.8,15,100.13,1155,1194
MKD_00266,SKU_0045,2026-W04,58.35,15,49.6,342,912
MKD_00267,SKU_0014,2026-W01,85.17,15,72.39,1590,1320
MKD_00268,SKU_0041,2026-W02,122.51,35,79.63,2190,925
MKD_00269,SKU_0008,2026-W01,132.98,35,86.44,1376,1153
MKD_00270,SKU_0028,2026-W08,44.72,50,22.36,2076,1320
MKD_00271,SKU_0004,2026-W51,89.27,50,44.63,1288,561
MKD_00272,SKU_0036,2026-W52,93.96,25,70.47,737,216
MKD_00273,SKU_0039,2026-W04,40.93,25,30.7,488,1372
MKD_00274,SKU_0007,2026-W18,107.37,15,91.26,2769,1176
MKD_00275,SKU_0039,2026-W08,40.93,25,30.7,1864,1236
MKD_00276,SKU_0023,2026-W37,141.84,15,120.56,2395,1333
MKD_00277,SKU_0018,2026-W40,118.5,50,59.25,1090,1357
MKD_00278,SKU_0034,2026-W43,104.29,25,78.22,1876,626
MKD_00279,SKU_0026,2026-W41,34.16,15,29.04,2026,1399
MKD_00280,SKU_0008,2026-W40,132.98,15,113.03,2050,172
MKD_00281,SKU_0015,2026-W34,25.27,25,18.95,935,402
MKD_00282,SKU_0044,2026-W36,122.8,25,92.1,2884,439
MKD_00283,SKU_0012,2026-W24,126.0,25,94.5,1167,1038
MKD_00284,SKU_0021,2026-W44,75.47,35,49.06,2334,378
MKD_00285,SKU_0030,2026-W22,142.37,15,121.01,2807,370
MKD_00286,SKU_0049,2026-W02,105.19,35,68.37,2965,232
MKD_00287,SKU_0035,2026-W10,121.39,50,60.7,489,938
MKD_00288,SKU_0040,2026-W24,51.26,50,25.63,2107,1116
MKD_00289,SKU_0026,2026-W47,34.16,50,17.08,2205,1219
MKD_00290,SKU_0033,2026-W08,88.18,50,44.09,1077,120
MKD_00291,SKU_0033,2026-W33,88.18,35,57.32,1163,1334
MKD_00292,SKU_0032,2026-W01,114.7,25,86.03,461,902
MKD_00293,SKU_0046,2026-W14,132.32,50,66.16,832,1364
MKD_00294,SKU_0022,2026-W33,102.42,50,51.21,2607,1207
MKD_00295,SKU_0025,2026-W29,82.15,35,53.4,1570,1126
MKD_00296,SKU_0050,2026-W26,142.4,25,106.8,2206,1408
MKD_00297,SKU_0002,2026-W48,98.56,50,49.28,568,1261
MKD_00298,SKU_0045,2026-W23,58.35,50,29.18,333,104
MKD_00299,SKU_0014,2026-W52,85.17,15,72.39,1523,1427
MKD_00300,SKU_0004,2026-W14,89.27,35,58.03,2586,1207
MKD_00301,SKU_0001,2026-W23,53.09,15,45.13,1137,243
MKD_00302,SKU_0023,2026-W01,141.84,15,120.56,1776,1191
MKD_00303,SKU_0014,2026-W43,85.17,35,55.36,1079,719
MKD_00304,SKU_0045,2026-W42,58.35,35,37.93,2572,700
MKD_00305,SKU_0012,2026-W22,126.0,35,81.9,1928,240
MKD_00306,SKU_0018,2026-W48,118.5,15,100.72,2108,1166
MKD_00307,SKU_0020,2026-W52,131.42,25,98.56,2148,898
MKD_00308,SKU_0002,2026-W50,98.56,15,83.78,2436,505
MKD_00309,SKU_0012,2026-W31,126.0,35,81.9,2637,1147
MKD_00310,SKU_0008,2026-W39,132.98,50,66.49,1754,1466
MKD_00311,SKU_0049,2026-W42,105.19,25,78.89,1799,406
MKD_00312,SKU_0017,2026-W49,44.35,50,22.18,2729,489
MKD_00313,SKU_0049,2026-W04,105.19,50,52.59,1366,476
MKD_00314,SKU_0021,2026-W17,75.47,15,64.15,329,241
MKD_00315,SKU_0040,2026-W37,51.26,25,38.45,1581,1247
MKD_00316,SKU_0037,2026-W46,34.41,15,29.25,2384,695
MKD_00317,SKU_0016,2026-W18,77.88,25,58.41,1559,841
MKD_00318,SKU_0032,2026-W15,114.7,35,74.56,1577,1429
MKD_00319,SKU_0012,2026-W38,126.0,35,81.9,1753,1390
MKD_00320,SKU_0005,2026-W10,92.4,25,69.3,2581,925
MKD_00321,SKU_0049,2026-W10,105.19,35,68.37,2693,554
MKD_00322,SKU_0048,2026-W07,74.81,25,56.11,501,991
MKD_00323,SKU_0010,2026-W36,48.95,50,24.48,1718,377
MKD_00324,SKU_0007,2026-W03,107.37,15,91.26,2172,558
MKD_00325,SKU_0022,2026-W05,102.42,15,87.06,1128,475
MKD_00326,SKU_0047,2026-W30,63.15,35,41.05,393,1423
MKD_00327,SKU_0049,2026-W19,105.19,35,68.37,646,631
MKD_00328,SKU_0033,2026-W10,88.18,25,66.14,1443,528
MKD_00329,SKU_0002,2026-W22,98.56,25,73.92,2816,764
MKD_00330,SKU_0033,2026-W21,88.18,35,57.32,2117,527
MKD_00331,SKU_0039,2026-W39,40.93,25,30.7,2300,647
MKD_00332,SKU_0011,2026-W01,47.94,50,23.97,2526,835
MKD_00333,SKU_0023,2026-W09,141.84,15,120.56,1910,422
MKD_00334,SKU_0049,2026-W51,105.19,35,68.37,2703,1352
MKD_00335,SKU_0008,2026-W49,132.98,35,86.44,1273,748
MKD_00336,SKU_0014,2026-W39,85.17,35,55.36,1604,934
MKD_00337,SKU_0039,2026-W30,40.93,15,34.79,962,129
MKD_00338,SKU_0031,2026-W16,117.8,15,100.13,2083,1095
MKD_00339,SKU_0040,2026-W31,51.26,25,38.45,1093,896
MKD_00340,SKU_0015,2026-W07,25.27,15,21.48,1713,1435
MKD_00341,SKU_0012,2026-W31,126.0,50,63.0,1122,1058
MKD_00342,SKU_0019,2026-W08,87.86,15,74.68,2477,716
MKD_00343,SKU_0018,2026-W35,118.5,50,59.25,2674,134
MKD_00344,SKU_0023,2026-W37,141.84,25,106.38,712,1211
MKD_00345,SKU_0019,2026-W04,87.86,35,57.11,2631,146
MKD_00346,SKU_0004,2026-W22,89.27,25,66.95,1616,1156
MKD_00347,SKU_0030,2026-W21,142.37,25,106.78,2198,507
MKD_00348,SKU_0008,2026-W02,132.98,25,99.73,1034,420
MKD_00349,SKU_0002,2026-W29,98.56,25,73.92,1307,1389
MKD_00350,SKU_0023,2026-W03,141.84,35,92.2,1796,1410
MKD_00351,SKU_0015,2026-W44,25.27,25,18.95,1335,100
MKD_00352,SKU_0007,2026-W18,107.37,50,53.69,2184,1212
MKD_00353,SKU_0047,2026-W43,63.15,35,41.05,549,952
MKD_00354,SKU_0003,2026-W13,53.62,25,40.21,2345,241
MKD_00355,SKU_0040,2026-W23,51.26,50,25.63,2371,754
MKD_00356,SKU_0005,2026-W09,92.4,15,78.54,585,691
MKD_00357,SKU_0026,2026-W17,34.16,35,22.2,2502,315
MKD_00358,SKU_0037,2026-W12,34.41,25,25.81,983,145
MKD_00359,SKU_0026,2026-W23,34.16,15,29.04,998,748
MKD_00360,SKU_0002,2026-W39,98.56,15,83.78,623,996
MKD_00361,SKU_0031,2026-W37,117.8,50,58.9,1584,142
MKD_00362,SKU_0020,2026-W41,131.42,50,65.71,429,123
MKD_00363,SKU_0026,2026-W09,34.16,25,25.62,1620,190
MKD_00364,SKU_0005,2026-W32,92.4,50,46.2,1664,1351
MKD_00365,SKU_0005,2026-W44,92.4,50,46.2,1454,1219
MKD_00366,SKU_0042,2026-W39,140.72,15,119.61,1028,507
MKD_00367,SKU_0037,2026-W27,34.41,25,25.81,370,731
MKD_00368,SKU_0042,2026-W32,140.72,35,91.47,373,1050
MKD_00369,SKU_0047,2026-W27,63.15,15,53.68,2074,204
MKD_00370,SKU_0047,2026-W32,63.15,35,41.05,2826,878
MKD_00371,SKU_0021,2026-W31,75.47,25,56.6,1142,1282
MKD_00372,SKU_0036,2026-W05,93.96,25,70.47,691,426
MKD_00373,SKU_0047,2026-W38,63.15,35,41.05,2362,425
MKD_00374,SKU_0009,2026-W33,32.58,15,27.69,2748,1197
MKD_00375,SKU_0029,2026-W08,108.48,15,92.21,2068,419
MKD_00376,SKU_0044,2026-W44,122.8,35,79.82,1343,650
MKD_00377,SKU_0023,2026-W26,141.84,15,120.56,2791,942
MKD_00378,SKU_0006,2026-W32,123.08,25,92.31,359,599
MKD_00379,SKU_0017,2026-W35,44.35,15,37.7,1453,1340
MKD_00380,SKU_0031,2026-W15,117.8,35,76.57,799,750
MKD_00381,SKU_0046,2026-W52,132.32,15,112.47,868,1380
MKD_00382,SKU_0030,2026-W16,142.37,35,92.54,2606,599
MKD_00383,SKU_0039,2026-W37,40.93,15,34.79,714,1500
MKD_00384,SKU_0048,2026-W23,74.81,50,37.41,1436,745
MKD_00385,SKU_0038,2026-W35,129.32,35,84.06,397,940
MKD_00386,SKU_0009,2026-W37,32.58,15,27.69,1595,368
MKD_00387,SKU_0048,2026-W40,74.81,50,37.41,1669,1124
MKD_00388,SKU_0041,2026-W04,122.51,50,61.26,2139,421
MKD_00389,SKU_0023,2026-W39,141.84,15,120.56,1078,489
MKD_00390,SKU_0041,2026-W51,122.51,25,91.88,388,403
MKD_00391,SKU_0004,2026-W50,89.27,50,44.63,2540,480
MKD_00392,SKU_0010,2026-W21,48.95,15,41.61,1179,1144
MKD_00393,SKU_0019,2026-W51,87.86,35,57.11,962,1238
MKD_00394,SKU_0008,2026-W17,132.98,25,99.73,2646,1059
MKD_00395,SKU_0033,2026-W29,88.18,35,57.32,1605,406
