route_id,dc_id,store_id,transit_lead_time_days,transportation_cost_per_unit,expedited_cost_per_unit
ROUTE_00063,DC_03,STORE_0098,4,3.29,9.06
ROUTE_00064,DC_04,STORE_0090,4,3.28,11.75
ROUTE_00065,DC_04,STORE_0090,4,0.84,9.65
ROUTE_00066,DC_04,STORE_0055,6,1.32,10.59
ROUTE_00067,DC_03,STORE_0011,2,3.5,9.07
ROUTE_00068,DC_01,STORE_0097,2,2.5,6.58
ROUTE_00069,DC_05,STORE_0043,7,2.58,9.19
ROUTE_00070,DC_03,STORE_0080,3,1.08,8.9
ROUTE_00071,DC_03,STORE_0022,4,1.99,6.94
ROUTE_00072,DC_03,STORE_0029,4,4.26,7.58
ROUTE_00073,DC_03,STORE_0035,5,1.89,7.31
ROUTE_00074,DC_04,STORE_0040,3,3.01,7.39
ROUTE_00075,DC_01,STORE_0023,2,1.38,9.17
ROUTE_00076,DC_01,STORE_0095,5,3.53,9.64
ROUTE_00077,DC_05,STORE_0077,4,4.27,8.6
ROUTE_00078,DC_01,STORE_0049,6,1.97,5.04
ROUTE_00079,DC_05,STORE_0078,1,1.95,5.43
ROUTE_00080,DC_05,STORE_0057,4,3.04,5.82
ROUTE_00081,DC_03,STORE_0060,3,2.85,11.59
ROUTE_00082,DC_01,STORE_0039,6,2.67,11.83
ROUTE_00083,DC_05,STORE_0006,5,3.26,11.05
ROUTE_00084,DC_02,STORE_0049,7,2.64,8.6
ROUTE_00085,DC_02,STORE_0033,5,0.86,10.57
ROUTE_00086,DC_02,STORE_0040,2,3.68,8.5
ROUTE_00087,DC_05,STORE_0058,5,1.89,7.25
ROUTE_00088,DC_02,STORE_0065,7,1.04,7.36
ROUTE_00089,DC_03,STORE_0052,2,3.89,7.09
ROUTE_00090,DC_05,STORE_0030,6,2.61,9.15
ROUTE_00091,DC_03,STORE_0093,6,3.91,9.91
ROUTE_00092,DC_01,STORE_0035,2,0.93,7.83
ROUTE_00093,DC_03,STORE_0018,7,2.33,6.61
ROUTE_00094,DC_04,STORE_0048,5,3.02,10.36
ROUTE_00095,DC_04,STORE_0089,6,1.48,9.0
ROUTE_00096,DC_05,STORE_0040,4,3.12,11.36
ROUTE_00097,DC_05,STORE_0044,4,2.32,5.21
ROUTE_00098,DC_01,STORE_0085,7,3.72,8.29
ROUTE_00099,DC_05,STORE_0098,5,2.54,9.98
ROUTE_00100,DC_05,STORE_0021,7,2.91,11.9
ROUTE_00101,DC_05,STORE_0068,7,3.11,9.56
ROUTE_00102,DC_01,STORE_0080,3,0.95,6.96
ROUTE_00103,DC_03,STORE_0053,6,2.12,6.21
ROUTE_00104,DC_01,STORE_0090,7,2.78,11.93
ROUTE_00105,DC_03,STORE_0067,1,2.15,11.29
ROUTE_00106,DC_01,STORE_0057,4,3.81,5.96
ROUTE_00107,DC_01,STORE_0041,3,3.99,7.79
ROUTE_00108,DC_02,STORE_0097,3,1.82,9.94
ROUTE_00109,DC_01,STORE_0062,6,1.65,11.17
ROUTE_00110,DC_03,STORE_0079,4,1.37,8.15
ROUTE_00111,DC_02,STORE_0092,7,3.36,8.92
ROUTE_00112,DC_03,STORE_0070,3,0.93,5.15
ROUTE_00113,DC_02,STORE_0090,3,1.31,6.22
ROUTE_00114,DC_03,STORE_0093,3,3.56,6.94
ROUTE_00115,DC_01,STORE_0048,4,3.47,5.78
ROUTE_00116,DC_01,STORE_0085,4,1.28,8.57
ROUTE_00117,DC_01,STORE_0020,1,1.22,5.72
ROUTE_00118,DC_01,STORE_0033,1,1.33,7.53
ROUTE_00119,DC_05,STORE_0053,6,0.96,9.18
ROUTE_00120,DC_04,STORE_0001,2,3.18,7.19
ROUTE_00121,DC_05,STORE_0022,6,0.92,5.74
ROUTE_00122,DC_05,STORE_0065,3,2.04,7.76
ROUTE_00123,DC_04,STORE_0018,5,3.67,5.95
ROUTE_00124,DC_01,STORE_0017,6,2.19,5.84
ROUTE_00125,DC_03,STORE_0073,2,3.64,9.06
ROUTE_00126,DC_04,STORE_0001,3,0.97,8.16
ROUTE_00127,DC_05,STORE_0089,2,3.68,10.55
ROUTE_00128,DC_01,STORE_0007,5,3.28,6.9
ROUTE_00129,DC_05,STORE_0045,2,2.07,6.83
ROUTE_00130,DC_01,STORE_0096,6,1.58,9.68
ROUTE_00131,DC_01,STORE_0099,6,3.5,8.57
ROUTE_00132,DC_05,STORE_0028,3,3.56,8.45
ROUTE_00133,DC_03,STORE_0073,3,2.44,9.63
ROUTE_00134,DC_04,STORE_0080,2,2.23,10.26
ROUTE_00135,DC_05,STORE_0081,1,1.11,9.56
ROUTE_00136,DC_01,STORE_0053,6,3.27,7.72
ROUTE_00137,DC_04,STORE_0086,6,1.6,8.05
ROUTE_00138,DC_02,STORE_0086,6,3.52,8.59
ROUTE_00139,DC_02,STORE_0077,4,2.66,9.49
ROUTE_00140,DC_04,STORE_0049,5,3.38,6.05
ROUTE_00141,DC_03,STORE_0067,6,1.92,10.91
ROUTE_00142,DC_01,STORE_0051,4,4.09,11.55
ROUTE_00143,DC_04,STORE_0029,3,2.43,7.27
ROUTE_00144,DC_05,STORE_0098,3,2.02,7.1
ROUTE_00145,DC_03,STORE_0035,7,1.22,11.91
ROUTE_00146,DC_02,STORE_0099,2,1.24,6.86
ROUTE_00147,DC_01,STORE_0086,6,3.65,8.27
ROUTE_00148,DC_02,STORE_0067,1,4.0,6.1
ROUTE_00149,DC_01,STORE_0042,3,1.91,5.06
ROUTE_00150,DC_04,STORE_0038,1,4.15,10.35
ROUTE_00151,DC_03,STORE_0029,2,4.48,11.71
ROUTE_00152,DC_03,STORE_0068,5,3.13,5.21
ROUTE_00153,DC_04,STORE_0079,7,0.86,6.83
ROUTE_00154,DC_02,STORE_0050,7,3.95,8.05
ROUTE_00155,DC_02,STORE_0049,6,2.53,11.97
ROUTE_00156,DC_03,STORE_0081,5,2.14,11.2
ROUTE_00157,DC_03,STORE_0088,2,3.05,7.2
ROUTE_00158,DC_05,STORE_0001,2,3.38,5.67
ROUTE_00159,DC_02,STORE_0004,1,1.64,11.38
ROUTE_00160,DC_04,STORE_0095,5,2.27,7.37
ROUTE_00161,DC_05,STORE_0052,3,3.14,5.54
ROUTE_00162,DC_01,STORE_0061,4,4.03,8.86
ROUTE_00163,DC_01,STORE_0002,2,2.65,11.06
ROUTE_00164,DC_03,STORE_0073,2,3.04,10.63
ROUTE_00165,DC_01,STORE_0049,3,3.77,5.86
ROUTE_00166,DC_04,STORE_0086,7,0.88,10.23
ROUTE_00167,DC_03,STORE_0073,2,3.78,9.38
ROUTE_00168,DC_05,STORE_0008,7,2.53,11.27
ROUTE_00169,DC_03,STORE_0001,1,0.87,8.21
ROUTE_00170,DC_02,STORE_0045,6,0.85,5.85
ROUTE_00171,DC_01,STORE_0075,5,4.25,9.09
ROUTE_00172,DC_01,STORE_0082,4,3.35,11.04
ROUTE_00173,DC_03,STORE_0026,5,3.15,10.81
ROUTE_00174,DC_01,STORE_0032,3,4.12,10.48
ROUTE_00175,DC_03,STORE_0012,6,3.2,5.82
ROUTE_00176,DC_04,STORE_0019,4,1.8,11.97
ROUTE_00177,DC_05,STORE_0025,2,3.75,8.26
ROUTE_00178,DC_04,STORE_0009,2,2.4,6.39
ROUTE_00179,DC_01,STORE_0015,3,2.99,7.67
ROUTE_00180,DC_05,STORE_0045,6,2.13,7.13
ROUTE_00181,DC_05,STORE_0088,1,3.52,8.21
ROUTE_00182,DC_01,STORE_0070,5,2.07,7.39
ROUTE_00183,DC_04,STORE_0031,3,1.26,9.94
ROUTE_00184,DC_02,STORE_0048,2,1.21,7.99
ROUTE_00185,DC_01,STORE_0083,2,3.38,8.16
ROUTE_00186,DC_05,STORE_0028,1,3.46,7.58
ROUTE_00187,DC_04,STORE_0036,1,3.29,9.31
ROUTE_00188,DC_05,STORE_0055,1,3.51,9.94
ROUTE_00189,DC_04,STORE_0062,5,3.6,10.99
ROUTE_00190,DC_03,STORE_0020,3,3.7,11.61
ROUTE_00191,DC_04,STORE_0082,1,4.33,8.45
ROUTE_00192,DC_04,STORE_0023,1,4.27,9.41
ROUTE_00193,DC_04,STORE_0086,5,2.88,11.31
ROUTE_00194,DC_04,STORE_0093,2,2.8,8.18
ROUTE_00195,DC_02,STORE_0099,4,2.06,5.33
ROUTE_00196,DC_02,STORE_0011,6,1.43,6.46
ROUTE_00197,DC_03,STORE_0066,6,4.34,8.04
ROUTE_00198,DC_02,STORE_0041,2,3.09,8.43
ROUTE_00199,DC_05,STORE_0027,2,3.68,9.12
ROUTE_00200,DC_02,STORE_0001,2,1.06,7.36
ROUTE_00201,DC_03,STORE_0024,2,1.59,11.84
ROUTE_00202,DC_05,STORE_0081,7,1.67,5.74
ROUTE_00203,DC_05,STORE_0091,6,3.34,11.73
ROUTE_00204,DC_03,STORE_0090,1,2.81,11.87
ROUTE_00205,DC_01,STORE_0084,4,4.36,8.97
ROUTE_00206,DC_02,STORE_0021,5,4.29,5.35
ROUTE_00207,DC_05,STORE_0075,1,2.86,8.53
ROUTE_00208,DC_01,STORE_0067,5,2.87,5.34
ROUTE_00209,DC_01,STORE_0029,5,2.82,9.41
ROUTE_00210,DC_01,STORE_0013,6,4.47,5.9
ROUTE_00211,DC_01,STORE_0030,4,0.88,7.77
ROUTE_00212,DC_02,STORE_0030,4,1.82,11.7
ROUTE_00213,DC_01,STORE_0022,4,2.95,5.01
ROUTE_00214,DC_02,STORE_0093,5,1.02,8.29
ROUTE_00215,DC_02,STORE_0089,3,3.9,10.55
ROUTE_00216,DC_04,STORE_0078,4,3.05,9.47
ROUTE_00217,DC_01,STORE_0007,2,1.6,9.04
ROUTE_00218,DC_02,STORE_0057,5,3.51,9.46
ROUTE_00219,DC_05,STORE_0008,3,1.79,7.82
ROUTE_00220,DC_01,STORE_0064,5,4.1,11.16
ROUTE_00221,DC_03,STORE_0076,2,1.6,9.33
ROUTE_00222,DC_02,STORE_0008,2,2.6,6.47
ROUTE_00223,DC_01,STORE_0040,7,4.49,10.27
ROUTE_00224,DC_04,STORE_0068,7,0.93,7.26
ROUTE_00225,DC_01,STORE_0014,3,4.22,6.95
ROUTE_00226,DC_01,STORE_0013,1,4.12,9.38
ROUTE_00227,DC_04,STORE_0063,1,3.72,11.19
ROUTE_00228,DC_02,STORE_0088,1,1.01,7.19
ROUTE_00229,DC_03,STORE_0026,3,3.61,11.72
ROUTE_00230,DC_02,STORE_0096,2,2.38,9.69
ROUTE_00231,DC_04,STORE_0045,3,2.77,9.25
ROUTE_00232,DC_02,STORE_0082,5,1.46,10.55
ROUTE_00233,DC_03,STORE_0024,3,2.9,6.88
ROUTE_00234,DC_05,STORE_0043,7,3.09,5.8
ROUTE_00235,DC_05,STORE_0038,7,2.3,9.58
ROUTE_00236,DC_05,STORE_0044,3,3.51,11.86
ROUTE_00237,DC_05,STORE_0071,5,1.7,5.11
ROUTE_00238,DC_04,STORE_0016,2,4.33,11.53
ROUTE_00239,DC_02,STORE_0039,2,2.2,11.39
ROUTE_00240,DC_01,STORE_0009,7,1.99,10.92
ROUTE_00241,DC_04,STORE_0016,4,2.77,10.77
ROUTE_00242,DC_02,STORE_0019,7,3.61,11.26
ROUTE_00243,DC_01,STORE_0011,3,2.2,8.25
ROUTE_00244,DC_03,STORE_0027,1,1.14,7.2
ROUTE_00245,DC_04,STORE_0008,3,2.11,10.16
ROUTE_00246,DC_01,STORE_0036,2,3.85,11.06
ROUTE_00247,DC_02,STORE_0099,4,3.89,7.74
ROUTE_00248,DC_05,STORE_0085,5,1.26,8.58
ROUTE_00249,DC_03,STORE_0099,3,0.83,11.75
ROUTE_00250,DC_02,STORE_0093,5,1.63,6.77
ROUTE_00251,DC_01,STORE_0006,5,2.02,5.57
ROUTE_00252,DC_05,STORE_0038,2,3.7,9.19
ROUTE_00253,DC_05,STORE_0089,4,2.55,7.07
ROUTE_00254,DC_04,STORE_0032,6,1.65,6.47
ROUTE_00255,DC_01,STORE_0026,2,2.12,10.77
ROUTE_00256,DC_01,STORE_0023,6,2.52,5.58
ROUTE_00257,DC_03,STORE_0002,6,2.03,5.71
ROUTE_00258,DC_02,STORE_0096,5,2.53,11.4
ROUTE_00259,DC_02,STORE_0079,1,2.3,9.71
ROUTE_00260,DC_04,STORE_0076,2,4.24,6.95
ROUTE_00261,DC_04,STORE_0012,4,4.05,7.77
ROUTE_00262,DC_05,STORE_0058,6,3.44,8.52
ROUTE_00263,DC_01,STORE_0061,7,3.24,10.99
ROUTE_00264,DC_02,STORE_0008,4,2.05,5.13
ROUTE_00265,DC_04,STORE_0036,5,3.31,11.18
ROUTE_00266,DC_04,STORE_0011,3,1.58,5.42
ROUTE_00267,DC_04,STORE_0054,2,3.31,8.41
ROUTE_00268,DC_03,STORE_0065,1,4.42,11.73
ROUTE_00269,DC_04,STORE_0033,2,1.18,11.03
ROUTE_00270,DC_02,STORE_0016,6,2.8,8.22
ROUTE_00271,DC_03,STORE_0073,7,2.35,6.56
ROUTE_00272,DC_03,STORE_0086,4,1.97,6.34
ROUTE_00273,DC_01,STORE_0062,7,2.88,11.98
ROUTE_00274,DC_01,STORE_0055,6,4.46,8.23
ROUTE_00275,DC_03,STORE_0095,4,0.89,11.74
ROUTE_00276,DC_01,STORE_0043,4,3.5,7.57
ROUTE_00277,DC_01,STORE_0048,4,3.07,5.84
ROUTE_00278,DC_03,STORE_0097,2,2.87,6.29
ROUTE_00279,DC_03,STORE_0018,6,2.82,5.42
ROUTE_00280,DC_04,STORE_0068,5,2.36,5.88
ROUTE_00281,DC_02,STORE_0032,6,2.01,6.61
ROUTE_00282,DC_03,STORE_0093,2,1.35,6.56
ROUTE_00283,DC_02,STORE_0091,5,2.35,8.75
ROUTE_00284,DC_05,STORE_0085,4,1.61,7.29
ROUTE_00285,DC_05,STORE_0082,5,4.45,5.36
ROUTE_00286,DC_05,STORE_0091,2,4.01,9.18
ROUTE_00287,DC_04,STORE_0046,5,2.18,8.55
ROUTE_00288,DC_05,STORE_0032,3,1.76,6.07
ROUTE_00289,DC_05,STORE_0006,7,4.07,5.7
ROUTE_00290,DC_03,STORE_0087,1,3.09,7.56
ROUTE_00291,DC_04,STORE_0059,5,0.89,5.76
ROUTE_00292,DC_01,STORE_0045,7,1.85,8.52
ROUTE_00293,DC_03,STORE_0073,7,3.51,5.38
ROUTE_00294,DC_02,STORE_0088,7,2.23,11.46
ROUTE_00295,DC_04,STORE_0086,1,2.43,7.92
ROUTE_00296,DC_02,STORE_0056,2,2.45,11.61
ROUTE_00297,DC_01,STORE_0049,5,3.91,11.01
ROUTE_00298,DC_05,STORE_0056,3,2.33,10.59
ROUTE_00299,DC_01,STORE_0043,7,2.59,6.03
ROUTE_00300,DC_05,STORE_0079,3,2.21,7.75
ROUTE_00301,DC_03,STORE_0055,3,1.59,11.35
ROUTE_00302,DC_05,STORE_0075,4,3.34,6.52
ROUTE_00303,DC_04,STORE_0001,7,0.8,7.78
ROUTE_00304,DC_04,STORE_0008,6,3.98,11.36
ROUTE_00305,DC_03,STORE_0088,2,1.29,11.46
ROUTE_00306,DC_01,STORE_0018,7,1.91,5.78
ROUTE_00307,DC_01,STORE_0043,2,0.81,6.87
ROUTE_00308,DC_01,STORE_0093,5,4.45,9.34
ROUTE_00309,DC_01,STORE_0093,7,3.85,10.17
ROUTE_00310,DC_01,STORE_0051,4,2.88,7.22
ROUTE_00311,DC_05,STORE_0078,1,3.41,5.16
ROUTE_00312,DC_02,STORE_0092,1,3.94,6.86
ROUTE_00313,DC_01,STORE_0076,1,1.96,10.55
ROUTE_00314,DC_01,STORE_0052,4,4.14,8.66
ROUTE_00315,DC_02,STORE_0077,6,2.97,8.19
ROUTE_00316,DC_03,STORE_0079,7,2.71,7.24
ROUTE_00317,DC_02,STORE_0024,4,2.54,6.5
ROUTE_00318,DC_01,STORE_0075,2,1.35,8.54
ROUTE_00319,DC_04,STORE_0044,2,1.97,7.99
ROUTE_00320,DC_05,STORE_0061,3,4.25,6.27
ROUTE_00321,DC_03,STORE_0032,4,4.22,9.76
ROUTE_00322,DC_05,STORE_0063,6,2.05,7.35
ROUTE_00323,DC_02,STORE_0013,4,1.13,10.76
ROUTE_00324,DC_01,STORE_0054,5,1.79,9.24
ROUTE_00325,DC_03,STORE_0073,5,4.21,10.98
ROUTE_00326,DC_04,STORE_0028,7,1.95,9.09
ROUTE_00327,DC_03,STORE_0079,1,2.01,6.48
ROUTE_00328,DC_04,STORE_0047,7,3.68,11.82
ROUTE_00329,DC_03,STORE_0073,5,1.0,9.24
ROUTE_00330,DC_03,STORE_0091,1,3.62,9.97
ROUTE_00331,DC_01,STORE_0002,1,0.83,9.31
ROUTE_00332,DC_05,STORE_0060,7,3.18,7.63
ROUTE_00333,DC_01,STORE_0045,5,3.71,8.15
ROUTE_00334,DC_02,STORE_0064,2,2.99,11.09
ROUTE_00335,DC_04,STORE_0055,5,2.18,11.71
ROUTE_00336,DC_05,STORE_0066,1,3.2,6.4
ROUTE_00337,DC_04,STORE_0092,1,1.51,6.87
ROUTE_00338,DC_02,STORE_0091,1,3.67,6.3
ROUTE_00339,DC_03,STORE_0036,5,4.45,5.32
ROUTE_00340,DC_03,STORE_0013,3,2.89,10.58
ROUTE_00341,DC_04,STORE_0064,3,1.02,11.64
ROUTE_00342,DC_05,STORE_0052,4,1.73,5.67
ROUTE_00343,DC_01,STORE_0059,2,3.62,9.09
ROUTE_00344,DC_05,STORE_0047,1,3.89,11.28
ROUTE_00345,DC_04,STORE_0069,5,1.32,7.37
ROUTE_00346,DC_04,STORE_0088,4,1.19,11.16
ROUTE_00347,DC_02,STORE_0098,3,0.98,8.64
ROUTE_00348,DC_05,STORE_0086,4,3.51,10.28
ROUTE_00349,DC_04,STORE_0082,7,1.87,11.74
ROUTE_00350,DC_04,STORE_0040,4,3.8,5.32
ROUTE_00351,DC_05,STORE_0058,1,1.74,7.04
ROUTE_00352,DC_01,STORE_0083,4,3.26,8.37
ROUTE_00353,DC_02,STORE_0003,7,1.36,9.87
ROUTE_00354,DC_03,STORE_0083,5,2.64,6.8
ROUTE_00355,DC_02,STORE_0019,6,0.84,5.32
ROUTE_00356,DC_01,STORE_0100,7,3.0,9.66
ROUTE_00357,DC_02,STORE_0050,3,3.01,10.21
ROUTE_00358,DC_04,STORE_0044,3,3.7,10.44
ROUTE_00359,DC_03,STORE_0092,6,1.49,6.48
ROUTE_00360,DC_04,STORE_0002,4,4.47,9.9
ROUTE_00361,DC_03,STORE_0025,7,1.9,5.94
ROUTE_00362,DC_04,STORE_0075,6,3.25,6.1
ROUTE_00363,DC_01,STORE_0043,2,2.92,9.05
ROUTE_00364,DC_05,STORE_0051,1,3.55,8.16
ROUTE_00365,DC_01,STORE_0066,5,2.13,6.88
ROUTE_00366,DC_01,STORE_0072,5,1.31,6.87
ROUTE_00367,DC_01,STORE_0087,5,1.73,9.92
ROUTE_00368,DC_03,STORE_0040,4,1.31,7.98
ROUTE_00369,DC_02,STORE_0005,7,1.53,7.38
ROUTE_00370,DC_03,STORE_0001,5,3.23,11.5
ROUTE_00371,DC_02,STORE_0006,5,2.91,7.08
ROUTE_00372,DC_04,STORE_0053,4,3.43,8.45
ROUTE_00373,DC_01,STORE_0043,3,3.34,5.68
ROUTE_00374,DC_05,STORE_0074,4,1.24,10.25
ROUTE_00375,DC_01,STORE_0056,5,2.13,9.85
ROUTE_00376,DC_04,STORE_0016,2,0.87,8.52
ROUTE_00377,DC_02,STORE_0085,6,2.68,8.72
ROUTE_00378,DC_02,STORE_0064,6,1.29,6.87
ROUTE_00379,DC_01,STORE_0054,5,2.05,11.13
ROUTE_00380,DC_01,STORE_0064,1,2.52,11.06
ROUTE_00381,DC_05,STORE_0066,2,1.33,11.54
ROUTE_00382,DC_01,STORE_0057,2,1.66,10.06
ROUTE_00383,DC_02,STORE_0017,7,3.2,10.28
ROUTE_00384,DC_01,STORE_0003,1,3.63,9.2
ROUTE_00385,DC_05,STORE_0039,1,2.73,9.84
ROUTE_00386,DC_04,STORE_0033,5,2.11,6.53
ROUTE_00387,DC_03,STORE_0053,4,0.91,8.21
ROUTE_00388,DC_04,STORE_0026,4,3.28,5.79
ROUTE_00389,DC_03,STORE_0008,2,1.48,9.23
ROUTE_00390,DC_04,STORE_0023,6,0.82,6.9
ROUTE_00391,DC_05,STORE_0037,6,3.17,5.56
ROUTE_00392,DC_05,STORE_0008,2,2.75,6.04
ROUTE_00393,DC_02,STORE_0073,5,2.79,7.04
ROUTE_00394,DC_04,STORE_0061,7,1.26,5.73
ROUTE_00395,DC_05,STORE_0027,6,4.21,5.49
ROUTE_00396,DC_03,STORE_0011,6,2.58,9.58
ROUTE_00397,DC_01,STORE_0080,6,2.57,11.57
ROUTE_00398,DC_01,STORE_0034,5,3.42,7.84
ROUTE_00399,DC_05,STORE_0013,5,1.35,10.37
ROUTE_00400,DC_01,STORE_0017,7,3.01,10.79
ROUTE_00401,DC_03,STORE_0006,4,3.94,9.11
ROUTE_00402,DC_02,STORE_0023,1,4.22,10.67
ROUTE_00403,DC_03,STORE_0047,6,3.13,10.97
ROUTE_00404,DC_05,STORE_0083,7,2.36,6.51
ROUTE_00405,DC_03,STORE_0053,5,3.95,11.98
ROUTE_00406,DC_01,STORE_0036,6,4.03,5.55
ROUTE_00407,DC_01,STORE_0047,1,2.35,7.93
ROUTE_00408,DC_03,STORE_0041,2,3.06,10.38
ROUTE_00409,DC_05,STORE_0013,7,3.36,9.75
ROUTE_00410,DC_03,STORE_0051,3,3.23,11.66
ROUTE_00411,DC_05,STORE_0007,4,4.49,11.09
ROUTE_00412,DC_05,STORE_0080,1,2.65,10.56
ROUTE_00413,DC_04,STORE_0031,1,2.94,11.55
ROUTE_00414,DC_05,STORE_0022,2,1.47,6.02
ROUTE_00415,DC_01,STORE_0018,1,3.99,7.45
ROUTE_00416,DC_02,STORE_0026,3,3.34,8.68
ROUTE_00417,DC_01,STORE_0059,6,3.4,5.76
ROUTE_00418,DC_02,STORE_0017,7,1.4,8.13
ROUTE_00419,DC_01,STORE_0057,4,3.02,8.6
ROUTE_00420,DC_01,STORE_0052,3,1.2,11.96
ROUTE_00421,DC_04,STORE_0029,2,0.89,7.77
ROUTE_00422,DC_04,STORE_0015,7,1.88,9.96
ROUTE_00423,DC_05,STORE_0059,1,3.88,8.17
ROUTE_00424,DC_05,STORE_0092,3,3.68,7.61
ROUTE_00425,DC_04,STORE_0086,4,4.34,8.04
ROUTE_00426,DC_02,STORE_0016,6,1.84,9.92
ROUTE_00427,DC_01,STORE_0092,5,4.29,9.32
ROUTE_00428,DC_02,STORE_0024,2,3.51,9.1
ROUTE_00429,DC_04,STORE_0100,6,2.77,10.77
ROUTE_00430,DC_01,STORE_0007,3,0.91,10.36
ROUTE_00431,DC_04,STORE_0015,3,3.88,9.61
ROUTE_00432,DC_02,STORE_0050,5,3.38,8.01
ROUTE_00433,DC_05,STORE_0086,1,3.74,5.25
ROUTE_00434,DC_05,STORE_0077,4,3.67,6.84
ROUTE_00435,DC_02,STORE_0080,1,4.42,7.52
ROUTE_00436,DC_03,STORE_0064,2,1.27,7.86
ROUTE_00437,DC_04,STORE_0026,1,2.13,6.06
ROUTE_00438,DC_03,STORE_0096,5,2.44,5.91
ROUTE_00439,DC_02,STORE_0062,1,2.95,5.66
ROUTE_00440,DC_03,STORE_0040,2,3.26,8.76
ROUTE_00441,DC_03,STORE_0044,7,2.8,6.48
ROUTE_00442,DC_04,STORE_0001,3,3.02,10.32
ROUTE_00443,DC_01,STORE_0080,1,1.49,5.06
ROUTE_00444,DC_04,STORE_0060,2,4.04,10.14
ROUTE_00445,DC_05,STORE_0019,5,2.49,5.38
ROUTE_00446,DC_03,STORE_0046,2,3.75,9.93
ROUTE_00447,DC_02,STORE_0089,5,1.32,10.8
ROUTE_00448,DC_05,STORE_0048,7,3.3,8.58
