sell_through_id,sku_id,selling_week,units_available,units_sold,sell_through_rate
ST_000154,SKU_0022,2026-W37,2056,1386,0.6741
ST_000155,SKU_0042,2026-W48,4754,1183,0.2488
ST_000156,SKU_0049,2026-W28,6934,6150,0.8869
ST_000157,SKU_0029,2026-W35,6511,437,0.0671
ST_000158,SKU_0021,2026-W38,6804,2763,0.4061
ST_000159,SKU_0026,2026-W23,6886,5270,0.7653
ST_000160,SKU_0028,2026-W19,8330,8303,0.9968
ST_000161,SKU_0041,2026-W40,2500,1667,0.6668
ST_000162,SKU_0033,2026-W09,5081,344,0.0677
ST_000163,SKU_0008,2026-W21,8987,3725,0.4145
ST_000164,SKU_0025,2026-W48,8729,2299,0.2634
ST_000165,SKU_0024,2026-W23,5192,3524,0.6787
ST_000166,SKU_0018,2026-W13,8260,6951,0.8415
ST_000167,SKU_0028,2026-W13,3097,3044,0.9829
ST_000168,SKU_0011,2026-W27,4786,996,0.2081
ST_000169,SKU_0017,2026-W48,2448,1153,0.471
ST_000170,SKU_0042,2026-W34,2794,1691,0.6052
ST_000171,SKU_0004,2026-W10,8985,4264,0.4746
ST_000172,SKU_0039,2026-W52,2206,1242,0.563
ST_000173,SKU_0014,2026-W44,5834,474,0.0812
ST_000174,SKU_0041,2026-W27,3956,1129,0.2854
ST_000175,SKU_0025,2026-W07,2006,1937,0.9656
ST_000176,SKU_0031,2026-W52,9774,2857,0.2923
ST_000177,SKU_0026,2026-W32,4263,1880,0.441
ST_000178,SKU_0001,2026-W41,5965,4135,0.6932
ST_000179,SKU_0003,2026-W22,5431,5314,0.9785
ST_000180,SKU_0045,2026-W15,8107,3640,0.449
ST_000181,SKU_0013,2026-W43,6535,5546,0.8487
ST_000182,SKU_0005,2026-W16,6546,3851,0.5883
ST_000183,SKU_0043,2026-W06,7994,243,0.0304
ST_000184,SKU_0039,2026-W15,5480,2606,0.4755
ST_000185,SKU_0007,2026-W29,2735,431,0.1576
ST_000186,SKU_0004,2026-W30,6161,637,0.1034
ST_000187,SKU_0024,2026-W32,7101,5615,0.7907
ST_000188,SKU_0020,2026-W05,9764,1287,0.1318
ST_000189,SKU_0013,2026-W35,2062,1162,0.5635
ST_000190,SKU_0004,2026-W51,7372,1478,0.2005
ST_000191,SKU_0045,2026-W48,9347,7308,0.7819
ST_000192,SKU_0030,2026-W48,6058,1601,0.2643
ST_000193,SKU_0022,2026-W22,3441,1362,0.3958
ST_000194,SKU_0042,2026-W08,8306,8305,0.9999
ST_000195,SKU_0021,2026-W16,6318,2974,0.4707
ST_000196,SKU_0019,2026-W21,4877,1145,0.2348
ST_000197,SKU_0012,2026-W40,4795,3870,0.8071
ST_000198,SKU_0043,2026-W46,2294,1030,0.449
ST_000199,SKU_0026,2026-W42,4115,1031,0.2505
ST_000200,SKU_0050,2026-W02,4319,959,0.222
ST_000201,SKU_0050,2026-W25,5596,828,0.148
ST_000202,SKU_0045,2026-W34,7439,609,0.0819
ST_000203,SKU_0025,2026-W08,2432,1155,0.4749
ST_000204,SKU_0039,2026-W34,7347,5333,0.7259
ST_000205,SKU_0030,2026-W07,9788,5815,0.5941
ST_000206,SKU_0024,2026-W42,8690,8266,0.9512
ST_000207,SKU_0041,2026-W21,9902,868,0.0877
ST_000208,SKU_0036,2026-W43,4740,4574,0.965
ST_000209,SKU_0017,2026-W08,3859,2872,0.7442
ST_000210,SKU_0015,2026-W24,3796,2853,0.7516
ST_000211,SKU_0037,2026-W02,8518,5247,0.616
ST_000212,SKU_0021,2026-W44,8861,4801,0.5418
ST_000213,SKU_0012,2026-W27,4001,2763,0.6906
ST_000214,SKU_0043,2026-W10,5995,2529,0.4219
ST_000215,SKU_0016,2026-W50,6019,3270,0.5433
ST_000216,SKU_0023,2026-W24,2482,1959,0.7893
ST_000217,SKU_0038,2026-W15,3704,1847,0.4987
ST_000218,SKU_0029,2026-W33,9370,9350,0.9979
ST_000219,SKU_0009,2026-W02,9846,5723,0.5813
ST_000220,SKU_0045,2026-W08,3709,2509,0.6765
ST_000221,SKU_0043,2026-W51,7107,5842,0.822
ST_000222,SKU_0030,2026-W08,9694,3215,0.3316
ST_000223,SKU_0038,2026-W48,6155,3468,0.5634
ST_000224,SKU_0016,2026-W45,7911,1879,0.2375
ST_000225,SKU_0047,2026-W33,5078,4970,0.9787
ST_000226,SKU_0002,2026-W24,7343,5810,0.7912
ST_000227,SKU_0003,2026-W49,9500,4008,0.4219
ST_000228,SKU_0050,2026-W52,4062,2961,0.729
ST_000229,SKU_0016,2026-W11,2655,461,0.1736
ST_000230,SKU_0012,2026-W21,8614,6161,0.7152
ST_000231,SKU_0049,2026-W13,3121,1658,0.5312
ST_000232,SKU_0038,2026-W34,5428,2403,0.4427
ST_000233,SKU_0022,2026-W49,8478,1860,0.2194
ST_000234,SKU_0037,2026-W52,7323,3471,0.474
ST_000235,SKU_0033,2026-W18,4897,603,0.1231
ST_000236,SKU_0001,2026-W46,5534,2631,0.4754
ST_000237,SKU_0048,2026-W37,3732,3091,0.8282
ST_000238,SKU_0005,2026-W29,3863,3607,0.9337
ST_000239,SKU_0016,2026-W38,9866,622,0.063
ST_000240,SKU_0013,2026-W33,4828,2616,0.5418
ST_000241,SKU_0034,2026-W31,2499,1855,0.7423
ST_000242,SKU_0039,2026-W28,6669,3687,0.5529
ST_000243,SKU_0037,2026-W15,5029,1018,0.2024
ST_000244,SKU_0009,2026-W52,4260,2294,0.5385
ST_000245,SKU_0031,2026-W28,3153,1777,0.5636
ST_000246,SKU_0018,2026-W26,9003,3090,0.3432
ST_000247,SKU_0029,2026-W09,5736,1357,0.2366
ST_000248,SKU_0038,2026-W08,4777,3529,0.7387
ST_000249,SKU_0010,2026-W43,8246,8242,0.9995
ST_000250,SKU_0006,2026-W35,8905,4238,0.4759
ST_000251,SKU_0034,2026-W37,9510,4258,0.4477
ST_000252,SKU_0001,2026-W26,2302,455,0.1977
ST_000253,SKU_0009,2026-W15,6761,5394,0.7978
ST_000254,SKU_0023,2026-W14,3211,2992,0.9318
ST_000255,SKU_0003,2026-W07,3270,1340,0.4098
ST_000256,SKU_0010,2026-W35,9056,1389,0.1534
ST_000257,SKU_0019,2026-W43,2748,2142,0.7795
ST_000258,SKU_0036,2026-W33,5880,1168,0.1986
ST_000259,SKU_0027,2026-W39,5011,3083,0.6152
ST_000260,SKU_0022,2026-W07,7763,1772,0.2283
ST_000261,SKU_0033,2026-W12,5514,4219,0.7651
ST_000262,SKU_0048,2026-W22,3983,661,0.166
ST_000263,SKU_0027,2026-W47,7797,4160,0.5335
ST_000264,SKU_0018,2026-W20,8500,4967,0.5844
ST_000265,SKU_0028,2026-W20,9748,2768,0.284
ST_000266,SKU_0043,2026-W40,8435,1281,0.1519
ST_000267,SKU_0035,2026-W47,2853,1601,0.5612
ST_000268,SKU_0013,2026-W09,3083,618,0.2005
ST_000269,SKU_0004,2026-W21,8275,5891,0.7119
ST_000270,SKU_0047,2026-W24,8491,2804,0.3302
ST_000271,SKU_0015,2026-W50,8711,7300,0.838
ST_000272,SKU_0022,2026-W01,8109,5127,0.6323
ST_000273,SKU_0014,2026-W37,9253,4090,0.442
ST_000274,SKU_0042,2026-W19,5439,258,0.0474
ST_000275,SKU_0016,2026-W44,6733,5013,0.7445
ST_000276,SKU_0003,2026-W05,6057,523,0.0863
ST_000277,SKU_0043,2026-W27,5850,1757,0.3003
ST_000278,SKU_0028,2026-W30,9089,6276,0.6905
ST_000279,SKU_0023,2026-W50,4981,1020,0.2048
ST_000280,SKU_0015,2026-W45,3905,583,0.1493
ST_000281,SKU_0026,2026-W43,2192,1833,0.8362
ST_000282,SKU_0022,2026-W05,3970,2780,0.7003
ST_000283,SKU_0040,2026-W39,8957,7218,0.8059
ST_000284,SKU_0046,2026-W52,8306,4633,0.5578
ST_000285,SKU_0018,2026-W36,6262,3719,0.5939
ST_000286,SKU_0028,2026-W36,3593,1563,0.435
ST_000287,SKU_0050,2026-W28,6874,2616,0.3806
ST_000288,SKU_0021,2026-W31,2822,776,0.275
ST_000289,SKU_0026,2026-W35,3845,239,0.0622
ST_000290,SKU_0024,2026-W43,7500,6721,0.8961
ST_000291,SKU_0015,2026-W11,5869,3114,0.5306
ST_000292,SKU_0018,2026-W03,5103,3880,0.7603
ST_000293,SKU_0042,2026-W04,4471,2761,0.6175
ST_000294,SKU_0028,2026-W03,4041,2106,0.5212
ST_000295,SKU_0023,2026-W45,9769,8219,0.8413
ST_000296,SKU_0024,2026-W35,2295,1819,0.7926
ST_000297,SKU_0046,2026-W15,4077,837,0.2053
ST_000298,SKU_0037,2026-W28,3119,1703,0.546
ST_000299,SKU_0002,2026-W50,5388,1907,0.3539
ST_000300,SKU_0006,2026-W39,6163,3180,0.516
ST_000301,SKU_0027,2026-W09,2556,1980,0.7746
ST_000302,SKU_0018,2026-W17,2233,2152,0.9637
ST_000303,SKU_0028,2026-W17,3624,648,0.1788
ST_000304,SKU_0014,2026-W22,3264,460,0.1409
ST_000305,SKU_0039,2026-W19,8355,5271,0.6309
ST_000306,SKU_0021,2026-W37,2665,1428,0.5358
ST_000307,SKU_0015,2026-W38,4169,742,0.178
ST_000308,SKU_0048,2026-W49,8045,1771,0.2201
ST_000309,SKU_0010,2026-W33,6432,845,0.1314
ST_000310,SKU_0029,2026-W14,4553,2915,0.6402
ST_000311,SKU_0020,2026-W41,8889,4719,0.5309
ST_000312,SKU_0018,2026-W23,2464,1202,0.4878
ST_000313,SKU_0002,2026-W45,3130,2153,0.6879
ST_000314,SKU_0031,2026-W19,7853,2426,0.3089
ST_000315,SKU_0036,2026-W24,2840,1603,0.5644
ST_000316,SKU_0009,2026-W28,4087,1974,0.483
ST_000317,SKU_0046,2026-W34,4057,949,0.2339
ST_000318,SKU_0023,2026-W38,3271,1690,0.5167
ST_000319,SKU_0019,2026-W33,5029,4854,0.9652
ST_000320,SKU_0001,2026-W23,3140,758,0.2414
ST_000321,SKU_0002,2026-W11,6090,806,0.1323
ST_000322,SKU_0048,2026-W02,9378,3202,0.3414
ST_000323,SKU_0048,2026-W25,9986,354,0.0354
ST_000324,SKU_0047,2026-W14,5852,2679,0.4578
ST_000325,SKU_0045,2026-W04,4251,520,0.1223
ST_000326,SKU_0039,2026-W04,7495,1064,0.142
ST_000327,SKU_0007,2026-W15,4405,3352,0.761
ST_000328,SKU_0018,2026-W32,3340,2691,0.8057
ST_000329,SKU_0028,2026-W32,8756,8177,0.9339
ST_000330,SKU_0040,2026-W09,6163,1749,0.2838
ST_000331,SKU_0049,2026-W20,3074,2811,0.9144
ST_000332,SKU_0002,2026-W38,6129,2540,0.4144
ST_000333,SKU_0025,2026-W41,4647,1776,0.3822
ST_000334,SKU_0007,2026-W48,6266,1145,0.1827
ST_000335,SKU_0021,2026-W22,8207,1555,0.1895
ST_000336,SKU_0013,2026-W14,8258,4887,0.5918
ST_000337,SKU_0017,2026-W41,8057,1222,0.1517
ST_000338,SKU_0008,2026-W24,9421,7311,0.776
ST_000339,SKU_0032,2026-W25,5554,668,0.1203
ST_000340,SKU_0006,2026-W09,9029,4615,0.5111
ST_000341,SKU_0032,2026-W02,7705,297,0.0385
ST_000342,SKU_0026,2026-W39,9350,648,0.0693
ST_000343,SKU_0007,2026-W34,8045,4947,0.6149
ST_000344,SKU_0018,2026-W42,6565,4987,0.7596
ST_000345,SKU_0034,2026-W48,9440,3888,0.4119
ST_000346,SKU_0010,2026-W09,8018,3664,0.457
ST_000347,SKU_0028,2026-W42,6440,6214,0.9649
ST_000348,SKU_0023,2026-W16,5678,543,0.0956
ST_000349,SKU_0024,2026-W39,2542,2125,0.836
ST_000350,SKU_0048,2026-W52,3186,511,0.1604
ST_000351,SKU_0015,2026-W44,9789,6222,0.6356
ST_000352,SKU_0045,2026-W41,7685,911,0.1185
ST_000353,SKU_0047,2026-W50,6367,2364,0.3713
ST_000354,SKU_0014,2026-W49,7294,6714,0.9205
ST_000355,SKU_0030,2026-W41,9263,7836,0.8459
ST_000356,SKU_0049,2026-W36,9887,4837,0.4892
ST_000357,SKU_0048,2026-W01,4121,3458,0.8391
ST_000358,SKU_0038,2026-W04,2341,454,0.1939
ST_000359,SKU_0036,2026-W14,2494,1501,0.6018
ST_000360,SKU_0034,2026-W07,4077,3014,0.7393
ST_000361,SKU_0046,2026-W28,4046,2830,0.6995
ST_000362,SKU_0050,2026-W19,2738,862,0.3148
ST_000363,SKU_0049,2026-W03,3040,869,0.2859
ST_000364,SKU_0014,2026-W02,7838,6967,0.8889
ST_000365,SKU_0014,2026-W25,5419,2650,0.489
ST_000366,SKU_0047,2026-W45,6776,1721,0.254
ST_000367,SKU_0007,2026-W08,3815,837,0.2194
ST_000368,SKU_0049,2026-W17,5622,1553,0.2762
ST_000369,SKU_0020,2026-W46,4433,2724,0.6145
ST_000370,SKU_0042,2026-W06,8376,5819,0.6947
ST_000371,SKU_0037,2026-W19,7187,5700,0.7931
ST_000372,SKU_0048,2026-W05,4940,480,0.0972
ST_000373,SKU_0019,2026-W24,9201,3833,0.4166
ST_000374,SKU_0011,2026-W24,6125,4935,0.8057
ST_000375,SKU_0027,2026-W18,9357,3620,0.3869
ST_000376,SKU_0032,2026-W52,4495,4143,0.9217
ST_000377,SKU_0016,2026-W31,5476,2493,0.4553
ST_000378,SKU_0002,2026-W44,9850,9779,0.9928
ST_000379,SKU_0049,2026-W23,4626,1701,0.3677
ST_000380,SKU_0041,2026-W24,7817,7562,0.9674
ST_000381,SKU_0032,2026-W01,3536,819,0.2316
ST_000382,SKU_0035,2026-W18,8950,5428,0.6065
ST_000383,SKU_0034,2026-W08,3632,3182,0.8761
ST_000384,SKU_0009,2026-W19,5874,4094,0.697
ST_000385,SKU_0021,2026-W49,7288,2624,0.36
ST_000386,SKU_0047,2026-W38,8353,1679,0.201
ST_000387,SKU_0037,2026-W04,3291,2823,0.8578
ST_000388,SKU_0026,2026-W09,5368,3821,0.7118
ST_000389,SKU_0020,2026-W26,2517,1757,0.6981
ST_000390,SKU_0016,2026-W37,4358,2293,0.5262
ST_000391,SKU_0025,2026-W46,3976,3312,0.833
ST_000392,SKU_0035,2026-W11,4817,1198,0.2487
ST_000393,SKU_0005,2026-W48,4348,3143,0.7229
ST_000394,SKU_0024,2026-W09,9461,4894,0.5173
ST_000395,SKU_0042,2026-W10,7947,5713,0.7189
ST_000396,SKU_0017,2026-W46,5314,1300,0.2446
ST_000397,SKU_0045,2026-W06,5193,527,0.1015
ST_000398,SKU_0014,2026-W52,4644,3008,0.6477
ST_000399,SKU_0049,2026-W32,3874,2261,0.5836
ST_000400,SKU_0039,2026-W06,9783,6151,0.6287
ST_000401,SKU_0025,2026-W10,9317,6016,0.6457
ST_000402,SKU_0014,2026-W01,4865,4635,0.9527
ST_000403,SKU_0004,2026-W33,6097,2970,0.4871
ST_000404,SKU_0044,2026-W50,6682,5029,0.7526
ST_000405,SKU_0036,2026-W45,2804,2368,0.8445
ST_000406,SKU_0005,2026-W07,6638,6412,0.966
ST_000407,SKU_0017,2026-W10,9482,1222,0.1289
ST_000408,SKU_0027,2026-W12,3800,1296,0.3411
ST_000409,SKU_0040,2026-W18,5864,3961,0.6755
ST_000410,SKU_0042,2026-W30,7603,2264,0.2978
ST_000411,SKU_0042,2026-W51,4240,3251,0.7667
ST_000412,SKU_0012,2026-W24,7052,4928,0.6988
ST_000413,SKU_0045,2026-W46,4862,4745,0.9759
ST_000414,SKU_0010,2026-W14,4739,1933,0.4079
ST_000415,SKU_0030,2026-W46,7769,5178,0.6665
ST_000416,SKU_0049,2026-W42,8216,6532,0.795
ST_000417,SKU_0025,2026-W51,8681,1918,0.2209
ST_000418,SKU_0014,2026-W05,3013,487,0.1616
ST_000419,SKU_0003,2026-W41,3827,3790,0.9903
ST_000420,SKU_0022,2026-W13,2447,2382,0.9734
ST_000421,SKU_0044,2026-W45,8719,3602,0.4131
ST_000422,SKU_0021,2026-W07,3186,535,0.1679
ST_000423,SKU_0006,2026-W18,9367,3253,0.3473
ST_000424,SKU_0019,2026-W14,2857,1948,0.6818
ST_000425,SKU_0047,2026-W16,2829,2053,0.7257
ST_000426,SKU_0017,2026-W51,5437,1341,0.2466
ST_000427,SKU_0016,2026-W22,4920,949,0.1929
ST_000428,SKU_0045,2026-W10,8223,6677,0.812
ST_000429,SKU_0048,2026-W28,6707,3932,0.5863
ST_000430,SKU_0030,2026-W10,3695,3640,0.9851
ST_000431,SKU_0022,2026-W41,7561,1018,0.1346
ST_000432,SKU_0044,2026-W11,7237,446,0.0616
ST_000433,SKU_0008,2026-W50,3212,2812,0.8755
ST_000434,SKU_0031,2026-W20,7425,5124,0.6901
ST_000435,SKU_0036,2026-W38,6237,5410,0.8674
ST_000436,SKU_0005,2026-W08,8677,4271,0.4922
ST_000437,SKU_0046,2026-W19,3789,585,0.1544
ST_000438,SKU_0038,2026-W06,3175,1990,0.6268
ST_000439,SKU_0039,2026-W30,4669,1357,0.2906
ST_000440,SKU_0045,2026-W51,7349,4300,0.5851
ST_000441,SKU_0008,2026-W45,2782,206,0.074
ST_000442,SKU_0030,2026-W51,2452,2020,0.8238
ST_000443,SKU_0040,2026-W12,4321,4125,0.9546
ST_000444,SKU_0031,2026-W30,2618,239,0.0913
ST_000445,SKU_0008,2026-W11,4918,2295,0.4667
ST_000446,SKU_0021,2026-W05,6283,2589,0.4121
ST_000447,SKU_0032,2026-W28,2303,1322,0.574
ST_000448,SKU_0038,2026-W46,8416,4229,0.5025
ST_000449,SKU_0018,2026-W43,9147,1069,0.1169
ST_000450,SKU_0035,2026-W44,2469,2419,0.9797
ST_000451,SKU_0015,2026-W31,9638,6434,0.6676
ST_000452,SKU_0028,2026-W43,5351,3563,0.6659
ST_000453,SKU_0031,2026-W36,4709,4452,0.9454
ST_000454,SKU_0006,2026-W12,9821,1465,0.1492
ST_000455,SKU_0020,2026-W40,4576,1910,0.4174
ST_000456,SKU_0046,2026-W04,7096,2232,0.3145
ST_000457,SKU_0011,2026-W50,9795,6393,0.6527
ST_000458,SKU_0018,2026-W35,3275,798,0.2437
ST_000459,SKU_0028,2026-W35,9176,4158,0.4531
ST_000460,SKU_0008,2026-W38,8312,2173,0.2614
ST_000461,SKU_0038,2026-W10,9663,3654,0.3781
ST_000462,SKU_0023,2026-W31,5153,2461,0.4776
ST_000463,SKU_0036,2026-W16,8338,3717,0.4458
ST_000464,SKU_0004,2026-W24,6694,3063,0.4576
ST_000465,SKU_0041,2026-W50,4191,2524,0.6022
ST_000466,SKU_0007,2026-W19,7569,2746,0.3628
ST_000467,SKU_0026,2026-W18,5530,3146,0.5689
ST_000468,SKU_0020,2026-W27,7696,7589,0.9861
