contract_id,supplier_id,fabric_id,unit_price,monthly_capacity_meters,contracted_lead_time_days,moq_meters,min_allocation_pct,max_allocation_pct
CNT_00098,SUP_010,FAB_018,11.86,27180,17,2500,0.1,0.6
CNT_00099,SUP_010,FAB_022,5.48,27303,17,5000,0.15,0.7
CNT_00100,SUP_010,FAB_021,13.79,8475,40,2500,0.1,0.5
CNT_00101,SUP_010,FAB_015,12.31,28190,35,5000,0.15,0.7
CNT_00102,SUP_011,FAB_020,8.32,6595,39,2500,0.15,0.5
CNT_00103,SUP_011,FAB_022,5.56,22929,33,5000,0.1,0.6
CNT_00104,SUP_011,FAB_001,9.83,12866,38,5000,0.1,0.5
CNT_00105,SUP_011,FAB_011,6.37,10339,26,5000,0.15,0.7
CNT_00106,SUP_011,FAB_002,14.61,26432,18,500,0.15,0.6
CNT_00107,SUP_011,FAB_021,13.4,29113,39,2500,0.2,0.7
CNT_00108,SUP_011,FAB_030,15.43,26807,17,2500,0.2,0.5
CNT_00109,SUP_011,FAB_015,13.68,17716,29,2500,0.2,0.7
CNT_00110,SUP_011,FAB_027,11.21,29788,27,2500,0.2,0.5
CNT_00111,SUP_011,FAB_019,15.83,18959,16,500,0.2,0.6
CNT_00112,SUP_012,FAB_022,4.72,20342,27,500,0.15,0.6
CNT_00113,SUP_012,FAB_008,13.43,9187,35,2500,0.1,0.7
CNT_00114,SUP_012,FAB_021,12.26,23629,15,500,0.1,0.7
CNT_00115,SUP_012,FAB_030,15.33,18923,27,500,0.15,0.7
CNT_00116,SUP_012,FAB_023,7.53,13302,25,2500,0.2,0.5
CNT_00117,SUP_012,FAB_005,7.19,5533,17,5000,0.1,0.5
CNT_00118,SUP_012,FAB_016,5.69,6483,16,5000,0.2,0.6
CNT_00119,SUP_012,FAB_017,9.86,28727,28,5000,0.2,0.6
CNT_00120,SUP_012,FAB_028,16.72,11133,20,1000,0.1,0.7
CNT_00121,SUP_012,FAB_027,12.77,13497,35,500,0.15,0.7
CNT_00122,SUP_012,FAB_026,11.82,17941,17,500,0.1,0.7
CNT_00123,SUP_013,FAB_015,13.25,27079,36,5000,0.15,0.5
CNT_00124,SUP_013,FAB_023,6.49,5454,20,500,0.1,0.7
CNT_00125,SUP_013,FAB_013,13.87,5878,20,5000,0.2,0.5
CNT_00126,SUP_013,FAB_022,5.44,19279,40,1000,0.1,0.6
CNT_00127,SUP_013,FAB_024,5.18,9855,29,5000,0.1,0.5
CNT_00128,SUP_013,FAB_020,8.4,9994,37,5000,0.15,0.6
CNT_00129,SUP_013,FAB_026,11.83,19729,32,1000,0.1,0.6
CNT_00130,SUP_013,FAB_016,5.34,17836,15,2500,0.1,0.5
CNT_00131,SUP_013,FAB_010,5.1,28366,27,5000,0.15,0.7
CNT_00132,SUP_013,FAB_025,18.47,28955,31,2500,0.1,0.6
CNT_00133,SUP_013,FAB_021,12.18,21821,32,5000,0.1,0.7
CNT_00134,SUP_014,FAB_017,11.32,18668,29,500,0.15,0.7
CNT_00135,SUP_014,FAB_001,11.57,16362,28,5000,0.1,0.5
CNT_00136,SUP_014,FAB_014,17.09,11298,29,2500,0.15,0.5
CNT_00137,SUP_014,FAB_019,16.12,24256,35,2500,0.2,0.7
CNT_00138,SUP_014,FAB_011,6.09,9297,23,5000,0.15,0.7
CNT_00139,SUP_014,FAB_018,11.55,16804,39,5000,0.1,0.7
CNT_00140,SUP_014,FAB_003,14.68,27632,37,500,0.2,0.6
CNT_00141,SUP_014,FAB_009,8.16,11536,19,5000,0.1,0.6
CNT_00142,SUP_015,FAB_010,5.34,21497,15,500,0.15,0.6
CNT_00143,SUP_015,FAB_008,13.31,12428,17,1000,0.15,0.6
CNT_00144,SUP_015,FAB_007,8.43,16640,38,500,0.2,0.6
CNT_00145,SUP_015,FAB_018,12.21,27614,30,500,0.2,0.5
CNT_00146,SUP_015,FAB_002,15.2,19346,39,5000,0.1,0.5
CNT_00147,SUP_015,FAB_001,11.17,24977,39,500,0.2,0.5
CNT_00148,SUP_015,FAB_012,12.48,10473,34,500,0.1,0.6
CNT_00149,SUP_015,FAB_009,8.22,14572,36,5000,0.2,0.6
CNT_00150,SUP_015,FAB_024,5.13,8253,18,2500,0.15,0.5
CNT_00151,SUP_015,FAB_006,15.2,11615,28,5000,0.1,0.5
CNT_00152,SUP_015,FAB_021,13.5,20521,24,2500,0.2,0.5
CNT_00153,SUP_016,FAB_009,8.41,29681,38,5000,0.1,0.5
CNT_00154,SUP_016,FAB_012,13.37,18546,27,5000,0.2,0.7
CNT_00155,SUP_016,FAB_023,6.9,5975,28,1000,0.1,0.7
CNT_00156,SUP_016,FAB_025,19.48,7280,16,2500,0.15,0.6
CNT_00157,SUP_016,FAB_014,20.14,10384,27,500,0.15,0.5
CNT_00158,SUP_016,FAB_029,9.89,26019,18,500,0.2,0.7
CNT_00159,SUP_016,FAB_021,13.4,22032,23,5000,0.15,0.7
CNT_00160,SUP_016,FAB_022,5.51,14972,37,2500,0.15,0.5
CNT_00161,SUP_017,FAB_029,9.81,25256,34,5000,0.2,0.6
CNT_00162,SUP_017,FAB_017,11.31,26258,26,1000,0.15,0.5
CNT_00163,SUP_017,FAB_020,8.11,15960,26,1000,0.2,0.7
CNT_00164,SUP_017,FAB_005,6.39,8041,30,2500,0.2,0.6
CNT_00165,SUP_017,FAB_023,7.59,10243,14,500,0.2,0.7
CNT_00166,SUP_017,FAB_013,11.71,14959,37,5000,0.2,0.5
CNT_00167,SUP_017,FAB_015,14.49,17221,22,2500,0.1,0.5
CNT_00168,SUP_017,FAB_021,13.27,9087,28,2500,0.2,0.7
CNT_00169,SUP_017,FAB_007,6.62,16107,21,1000,0.15,0.6
CNT_00170,SUP_017,FAB_018,10.55,28424,32,1000,0.2,0.6
CNT_00171,SUP_018,FAB_024,5.25,7685,16,500,0.15,0.5
CNT_00172,SUP_018,FAB_008,14.6,19619,16,2500,0.2,0.7
CNT_00173,SUP_018,FAB_004,7.39,23316,30,5000,0.15,0.7
CNT_00174,SUP_018,FAB_011,5.86,18874,28,5000,0.2,0.6
CNT_00175,SUP_018,FAB_017,11.15,9729,30,1000,0.15,0.7
CNT_00176,SUP_018,FAB_019,15.93,28085,30,500,0.2,0.5
CNT_00177,SUP_018,FAB_007,7.44,6068,37,1000,0.2,0.6
CNT_00178,SUP_018,FAB_012,13.73,8891,33,5000,0.1,0.5
CNT_00179,SUP_018,FAB_015,13.28,14489,15,1000,0.1,0.6
CNT_00180,SUP_018,FAB_028,16.57,17270,23,2500,0.15,0.5
CNT_00181,SUP_018,FAB_005,7.22,9657,39,5000,0.1,0.6
CNT_00182,SUP_018,FAB_014,19.73,12064,19,5000,0.1,0.5
CNT_00183,SUP_019,FAB_012,12.38,28594,40,1000,0.1,0.7
CNT_00184,SUP_019,FAB_003,16.33,29958,28,5000,0.1,0.7
CNT_00185,SUP_019,FAB_028,16.65,25472,35,5000,0.15,0.5
CNT_00186,SUP_019,FAB_002,15.11,16108,31,500,0.2,0.6
CNT_00187,SUP_019,FAB_014,19.06,26165,16,1000,0.2,0.5
CNT_00188,SUP_019,FAB_016,5.34,28180,23,500,0.2,0.7
CNT_00189,SUP_019,FAB_019,14.46,25273,31,500,0.2,0.7
CNT_00190,SUP_019,FAB_010,4.57,20592,30,500,0.1,0.7
CNT_00191,SUP_019,FAB_024,5.38,10889,14,2500,0.1,0.5
CNT_00192,SUP_019,FAB_015,14.82,23990,28,500,0.2,0.7
CNT_00193,SUP_019,FAB_011,5.61,24296,15,5000,0.1,0.6
CNT_00194,SUP_019,FAB_013,12.25,18596,14,2500,0.15,0.6
CNT_00195,SUP_020,FAB_004,8.06,10053,23,5000,0.2,0.5
CNT_00196,SUP_020,FAB_030,15.13,15659,19,500,0.2,0.5
CNT_00197,SUP_020,FAB_018,10.58,8235,24,1000,0.15,0.6
CNT_00198,SUP_020,FAB_006,15.75,8963,15,1000,0.1,0.7
CNT_00199,SUP_020,FAB_010,5.04,21153,30,5000,0.1,0.6
CNT_00200,SUP_020,FAB_005,6.02,20231,31,5000,0.1,0.6
CNT_00201,SUP_020,FAB_027,10.12,25759,21,500,0.15,0.7
CNT_00202,SUP_020,FAB_009,9.98,27121,17,1000,0.2,0.7
CNT_00203,SUP_021,FAB_010,4.79,10511,39,1000,0.2,0.6
CNT_00204,SUP_021,FAB_019,17.9,23191,28,500,0.1,0.6
CNT_00205,SUP_021,FAB_014,20.05,25340,23,1000,0.1,0.5
CNT_00206,SUP_021,FAB_015,15.16,20800,22,2500,0.2,0.6
CNT_00207,SUP_021,FAB_003,17.73,25716,20,2500,0.1,0.5
CNT_00208,SUP_021,FAB_021,13.21,23451,16,2500,0.1,0.6
CNT_00209,SUP_021,FAB_017,10.83,9576,37,2500,0.15,0.5
CNT_00210,SUP_021,FAB_007,7.73,15430,35,2500,0.2,0.6
CNT_00211,SUP_021,FAB_005,7.53,28191,28,2500,0.1,0.7
CNT_00212,SUP_022,FAB_011,6.02,5140,14,1000,0.15,0.7
CNT_00213,SUP_022,FAB_007,8.25,28045,29,5000,0.2,0.5
CNT_00214,SUP_022,FAB_015,14.68,26269,34,500,0.2,0.5
CNT_00215,SUP_022,FAB_020,10.02,27007,28,500,0.15,0.6
CNT_00216,SUP_022,FAB_030,18.31,16729,26,1000,0.2,0.5
CNT_00217,SUP_022,FAB_001,9.5,17139,20,5000,0.1,0.5
CNT_00218,SUP_022,FAB_023,7.57,29851,22,2500,0.1,0.5
CNT_00219,SUP_022,FAB_005,7.26,25487,23,1000,0.1,0.6
CNT_00220,SUP_022,FAB_021,13.91,6205,22,5000,0.2,0.7
CNT_00221,SUP_022,FAB_025,18.59,5233,20,5000,0.1,0.6
CNT_00222,SUP_023,FAB_017,9.24,9202,37,500,0.1,0.6
CNT_00223,SUP_023,FAB_016,5.8,12469,30,2500,0.1,0.7
CNT_00224,SUP_023,FAB_006,14.79,27707,35,2500,0.2,0.7
CNT_00225,SUP_023,FAB_018,12.17,5064,27,500,0.15,0.6
CNT_00226,SUP_023,FAB_007,8.16,18332,22,500,0.2,0.7
CNT_00227,SUP_023,FAB_022,5.21,16844,30,500,0.2,0.5
CNT_00228,SUP_023,FAB_024,4.32,18764,31,5000,0.15,0.5
CNT_00229,SUP_023,FAB_019,15.67,15967,16,500,0.2,0.5
CNT_00230,SUP_023,FAB_025,20.24,18887,16,1000,0.1,0.5
CNT_00231,SUP_023,FAB_020,8.76,7059,34,500,0.1,0.6
CNT_00232,SUP_023,FAB_023,7.03,5787,32,2500,0.15,0.5
CNT_00233,SUP_023,FAB_028,15.73,12810,24,500,0.15,0.7
CNT_00234,SUP_024,FAB_003,16.11,7802,15,500,0.15,0.6
CNT_00235,SUP_024,FAB_025,19.85,27720,16,1000,0.1,0.6
CNT_00236,SUP_024,FAB_020,8.15,25012,34,5000,0.1,0.5
CNT_00237,SUP_024,FAB_028,18.15,23325,15,2500,0.15,0.6
CNT_00238,SUP_024,FAB_015,12.36,29640,27,1000,0.2,0.7
CNT_00239,SUP_024,FAB_029,9.81,19857,26,5000,0.15,0.7
CNT_00240,SUP_024,FAB_004,7.78,16128,34,500,0.15,0.7
CNT_00241,SUP_024,FAB_021,11.96,11307,17,500,0.1,0.7
CNT_00242,SUP_024,FAB_026,14.09,24427,39,1000,0.2,0.5
CNT_00243,SUP_025,FAB_009,8.15,24153,27,2500,0.15,0.7
CNT_00244,SUP_025,FAB_012,13.62,9771,18,5000,0.15,0.7
CNT_00245,SUP_025,FAB_014,17.33,17085,14,1000,0.1,0.5
CNT_00246,SUP_025,FAB_016,5.26,23332,15,5000,0.15,0.5
CNT_00247,SUP_025,FAB_024,5.42,25989,20,500,0.15,0.5
CNT_00248,SUP_025,FAB_020,9.52,27766,36,5000,0.2,0.7
CNT_00249,SUP_025,FAB_015,13.15,23953,32,2500,0.2,0.6
CNT_00250,SUP_025,FAB_006,16.41,10317,17,5000,0.1,0.6
CNT_00251,SUP_025,FAB_008,13.68,5121,34,1000,0.2,0.5
CNT_00252,SUP_025,FAB_005,6.69,11984,21,5000,0.2,0.6
CNT_00253,SUP_025,FAB_002,14.8,17317,20,5000,0.1,0.5
CNT_00254,SUP_025,FAB_025,17.52,7416,25,500,0.2,0.5
