forecast_id,sku_id,region,period,forecasted_demand_units,confidence_interval_pct
FCT_000090,SKU_0046,Asia_Pacific,2026-M10,7112,0.9
FCT_000091,SKU_0005,North_America,2026-M06,5424,0.81
FCT_000092,SKU_0037,Latin_America,2026-M09,7535,0.92
FCT_000093,SKU_0034,North_America,2026-M06,2388,0.89
FCT_000094,SKU_0044,North_America,2026-M02,2402,0.95
FCT_000095,SKU_0037,North_America,2026-M08,10115,0.9
FCT_000096,SKU_0015,Europe,2026-M11,10112,0.8
FCT_000097,SKU_0040,Asia_Pacific,2027-M07,8208,0.8
FCT_000098,SKU_0038,Latin_America,2026-M12,12508,0.82
FCT_000099,SKU_0049,Latin_America,2027-M01,1019,0.9
FCT_000100,SKU_0009,North_America,2027-M11,13770,0.91
FCT_000101,SKU_0022,North_America,2026-M09,7559,0.87
FCT_000102,SKU_0045,Asia_Pacific,2026-M09,2683,0.86
FCT_000103,SKU_0044,Asia_Pacific,2027-M09,1645,0.87
FCT_000104,SKU_0023,North_America,2026-M12,11630,0.82
FCT_000105,SKU_0040,North_America,2027-M11,1898,0.87
FCT_000106,SKU_0008,Asia_Pacific,2026-M12,5673,0.81
FCT_000107,SKU_0050,Europe,2027-M01,4704,0.83
FCT_000108,SKU_0014,North_America,2026-M12,9977,0.89
FCT_000109,SKU_0002,Europe,2027-M03,12993,0.87
FCT_000110,SKU_0043,Latin_America,2027-M09,7214,0.87
FCT_000111,SKU_0048,Latin_America,2026-M01,3484,0.9
FCT_000112,SKU_0006,North_America,2026-M02,5811,0.86
FCT_000113,SKU_0003,Asia_Pacific,2027-M05,11972,0.81
FCT_000114,SKU_0019,Europe,2026-M08,2103,0.81
FCT_000115,SKU_0006,Europe,2027-M12,14577,0.89
FCT_000116,SKU_0016,Europe,2027-M10,1008,0.81
FCT_000117,SKU_0040,Europe,2026-M02,8683,0.81
FCT_000118,SKU_0035,Asia_Pacific,2026-M10,2738,0.87
FCT_000119,SKU_0035,North_America,2027-M07,13073,0.85
FCT_000120,SKU_0004,Europe,2026-M07,12903,0.83
FCT_000121,SKU_0013,Latin_America,2026-M02,7098,0.81
FCT_000122,SKU_0015,Europe,2026-M08,6701,0.9
FCT_000123,SKU_0018,Europe,2027-M08,10262,0.87
FCT_000124,SKU_0045,North_America,2027-M02,12240,0.91
FCT_000125,SKU_0025,North_America,2027-M07,11268,0.83
FCT_000126,SKU_0018,Asia_Pacific,2026-M03,12184,0.89
FCT_000127,SKU_0026,Asia_Pacific,2026-M03,1536,0.81
FCT_000128,SKU_0007,North_America,2026-M11,12052,0.83
FCT_000129,SKU_0005,Latin_America,2026-M04,8711,0.85
FCT_000130,SKU_0019,North_America,2026-M10,11229,0.92
FCT_000131,SKU_0037,North_America,2026-M01,8755,0.84
FCT_000132,SKU_0041,Europe,2026-M12,8548,0.9
FCT_000133,SKU_0036,Europe,2026-M08,11714,0.9
FCT_000134,SKU_0002,North_America,2027-M05,6468,0.9
FCT_000135,SKU_0008,Europe,2026-M08,10816,0.86
FCT_000136,SKU_0020,Asia_Pacific,2026-M07,10748,0.93
FCT_000137,SKU_0026,Latin_America,2027-M03,8394,0.91
FCT_000138,SKU_0016,Latin_America,2027-M04,5168,0.92
FCT_000139,SKU_0011,Asia_Pacific,2027-M02,3736,0.85
FCT_000140,SKU_0034,North_America,2026-M12,7284,0.9
FCT_000141,SKU_0015,North_America,2026-M10,12148,0.89
FCT_000142,SKU_0031,North_America,2027-M08,13156,0.84
FCT_000143,SKU_0018,Latin_America,2027-M03,11624,0.82
FCT_000144,SKU_0047,Latin_America,2027-M05,5608,0.81
FCT_000145,SKU_0029,Asia_Pacific,2026-M07,5656,0.82
FCT_000146,SKU_0020,Latin_America,2026-M02,13755,0.91
FCT_000147,SKU_0010,North_America,2027-M04,8222,0.84
FCT_000148,SKU_0043,North_America,2026-M09,13998,0.92
FCT_000149,SKU_0035,Latin_America,2026-M12,14939,0.85
FCT_000150,SKU_0047,Asia_Pacific,2026-M05,4074,0.84
FCT_000151,SKU_0012,Asia_Pacific,2026-M09,13795,0.95
FCT_000152,SKU_0049,Latin_America,2026-M11,13572,0.83
FCT_000153,SKU_0033,Latin_America,2026-M07,8276,0.92
FCT_000154,SKU_0049,North_America,2026-M05,14045,0.91
FCT_000155,SKU_0041,North_America,2026-M09,13149,0.89
FCT_000156,SKU_0022,North_America,2026-M10,13834,0.9
FCT_000157,SKU_0033,North_America,2026-M03,8328,0.86
FCT_000158,SKU_0004,North_America,2026-M06,2887,0.91
FCT_000159,SKU_0046,Asia_Pacific,2027-M06,7172,0.92
FCT_000160,SKU_0027,Asia_Pacific,2026-M12,1078,0.93
FCT_000161,SKU_0029,Europe,2027-M06,6246,0.85
FCT_000162,SKU_0032,Asia_Pacific,2027-M04,13563,0.81
FCT_000163,SKU_0025,North_America,2026-M01,14036,0.87
FCT_000164,SKU_0003,Latin_America,2026-M03,10809,0.9
FCT_000165,SKU_0005,Latin_America,2027-M11,14106,0.85
FCT_000166,SKU_0007,North_America,2026-M08,5886,0.89
FCT_000167,SKU_0050,Latin_America,2026-M06,7405,0.88
FCT_000168,SKU_0039,Europe,2027-M07,2291,0.84
FCT_000169,SKU_0008,Europe,2026-M01,10637,0.89
FCT_000170,SKU_0021,Latin_America,2026-M05,9446,0.81
FCT_000171,SKU_0021,North_America,2027-M03,14426,0.92
FCT_000172,SKU_0010,Asia_Pacific,2026-M01,9246,0.86
FCT_000173,SKU_0046,Europe,2026-M06,5640,0.91
FCT_000174,SKU_0006,Asia_Pacific,2026-M06,12040,0.85
FCT_000175,SKU_0009,Europe,2027-M12,5185,0.84
FCT_000176,SKU_0036,Europe,2026-M01,1439,0.88
FCT_000177,SKU_0016,Asia_Pacific,2026-M06,10462,0.88
FCT_000178,SKU_0048,Latin_America,2027-M08,4425,0.83
FCT_000179,SKU_0040,North_America,2026-M02,7125,0.91
FCT_000180,SKU_0012,North_America,2027-M02,6199,0.82
FCT_000181,SKU_0029,Asia_Pacific,2026-M02,8231,0.91
FCT_000182,SKU_0037,Europe,2026-M06,2790,0.81
FCT_000183,SKU_0001,North_America,2026-M06,2909,0.81
FCT_000184,SKU_0048,Europe,2027-M07,1929,0.94
FCT_000185,SKU_0017,Latin_America,2027-M10,9488,0.86
FCT_000186,SKU_0035,Asia_Pacific,2027-M06,12353,0.93
FCT_000187,SKU_0037,North_America,2027-M08,9752,0.84
FCT_000188,SKU_0030,Europe,2027-M03,12098,0.86
FCT_000189,SKU_0042,North_America,2027-M07,9383,0.89
FCT_000190,SKU_0042,Asia_Pacific,2027-M03,11949,0.95
FCT_000191,SKU_0043,North_America,2026-M10,6267,0.89
FCT_000192,SKU_0019,North_America,2027-M06,14410,0.82
FCT_000193,SKU_0012,Asia_Pacific,2026-M10,4977,0.85
FCT_000194,SKU_0004,North_America,2026-M12,10451,0.86
FCT_000195,SKU_0035,Europe,2026-M06,9193,0.9
FCT_000196,SKU_0015,Latin_America,2027-M05,1857,0.92
FCT_000197,SKU_0031,Asia_Pacific,2026-M05,8437,0.91
FCT_000198,SKU_0028,North_America,2027-M07,4253,0.9
FCT_000199,SKU_0014,Europe,2026-M04,12357,0.94
FCT_000200,SKU_0028,Asia_Pacific,2026-M10,9714,0.8
FCT_000201,SKU_0015,North_America,2027-M06,13441,0.81
FCT_000202,SKU_0048,Asia_Pacific,2027-M05,3559,0.82
FCT_000203,SKU_0047,North_America,2026-M07,7858,0.84
FCT_000204,SKU_0025,Europe,2026-M06,6671,0.89
FCT_000205,SKU_0009,Asia_Pacific,2027-M04,9115,0.9
FCT_000206,SKU_0033,Europe,2026-M05,3199,0.8
FCT_000207,SKU_0019,Asia_Pacific,2027-M10,14951,0.85
FCT_000208,SKU_0021,Europe,2027-M05,9956,0.92
FCT_000209,SKU_0006,Asia_Pacific,2026-M12,14478,0.89
FCT_000210,SKU_0019,Asia_Pacific,2026-M03,8934,0.94
FCT_000211,SKU_0001,Latin_America,2026-M04,9979,0.93
FCT_000212,SKU_0025,North_America,2027-M08,12767,0.89
FCT_000213,SKU_0039,North_America,2027-M07,2052,0.93
FCT_000214,SKU_0032,Asia_Pacific,2026-M12,14178,0.84
FCT_000215,SKU_0044,Europe,2027-M07,12191,0.84
FCT_000216,SKU_0037,Europe,2026-M12,12941,0.88
FCT_000217,SKU_0015,Asia_Pacific,2027-M10,8321,0.85
FCT_000218,SKU_0015,Asia_Pacific,2026-M03,1080,0.84
FCT_000219,SKU_0042,Europe,2027-M09,10566,0.84
FCT_000220,SKU_0010,Asia_Pacific,2027-M08,8465,0.94
FCT_000221,SKU_0036,Europe,2027-M08,8893,0.91
FCT_000222,SKU_0045,North_America,2026-M09,5129,0.9
FCT_000223,SKU_0018,North_America,2027-M01,14015,0.93
FCT_000224,SKU_0014,Europe,2027-M11,2320,0.84
FCT_000225,SKU_0036,Latin_America,2026-M10,2286,0.87
FCT_000226,SKU_0021,Latin_America,2027-M04,9176,0.85
FCT_000227,SKU_0030,Latin_America,2026-M05,1776,0.92
FCT_000228,SKU_0006,Europe,2026-M08,6638,0.92
FCT_000229,SKU_0011,Asia_Pacific,2026-M09,11182,0.92
FCT_000230,SKU_0030,North_America,2027-M03,3964,0.86
FCT_000231,SKU_0049,Asia_Pacific,2026-M01,14744,0.86
FCT_000232,SKU_0023,North_America,2026-M04,9248,0.88
FCT_000233,SKU_0003,North_America,2027-M12,11136,0.87
FCT_000234,SKU_0038,North_America,2026-M12,9876,0.88
FCT_000235,SKU_0034,Asia_Pacific,2026-M02,8710,0.85
FCT_000236,SKU_0036,Asia_Pacific,2026-M04,5567,0.85
FCT_000237,SKU_0033,North_America,2027-M02,5226,0.93
FCT_000238,SKU_0002,Latin_America,2026-M09,13427,0.84
FCT_000239,SKU_0029,Latin_America,2026-M05,2134,0.84
FCT_000240,SKU_0026,North_America,2027-M10,1069,0.82
FCT_000241,SKU_0017,Asia_Pacific,2027-M04,11000,0.94
FCT_000242,SKU_0026,North_America,2026-M03,3231,0.91
FCT_000243,SKU_0009,Europe,2026-M11,10523,0.95
FCT_000244,SKU_0022,Asia_Pacific,2026-M11,4490,0.86
FCT_000245,SKU_0041,Latin_America,2027-M05,1053,0.9
FCT_000246,SKU_0004,Asia_Pacific,2027-M03,10864,0.87
FCT_000247,SKU_0028,Asia_Pacific,2027-M06,12393,0.87
FCT_000248,SKU_0009,Asia_Pacific,2026-M12,11870,0.95
FCT_000249,SKU_0021,Asia_Pacific,2026-M06,12440,0.89
FCT_000250,SKU_0003,Europe,2026-M02,5115,0.86
FCT_000251,SKU_0050,North_America,2027-M09,5082,0.88
FCT_000252,SKU_0006,Europe,2026-M01,1445,0.82
FCT_000253,SKU_0023,North_America,2027-M11,14767,0.84
FCT_000254,SKU_0043,Asia_Pacific,2027-M10,9650,0.84
FCT_000255,SKU_0008,Asia_Pacific,2027-M11,5826,0.87
FCT_000256,SKU_0017,Europe,2026-M03,4971,0.86
FCT_000257,SKU_0046,Latin_America,2027-M12,13915,0.9
FCT_000258,SKU_0034,North_America,2026-M04,7670,0.82
FCT_000259,SKU_0036,Asia_Pacific,2027-M11,2145,0.95
FCT_000260,SKU_0014,North_America,2027-M11,7710,0.88
FCT_000261,SKU_0041,Asia_Pacific,2026-M03,7587,0.82
FCT_000262,SKU_0011,North_America,2027-M07,3167,0.91
FCT_000263,SKU_0032,North_America,2027-M04,4932,0.93
FCT_000264,SKU_0011,Asia_Pacific,2026-M10,2017,0.94
FCT_000265,SKU_0044,Latin_America,2027-M10,14293,0.87
FCT_000266,SKU_0006,Latin_America,2026-M09,11768,0.86
FCT_000267,SKU_0035,Latin_America,2026-M04,11048,0.84
FCT_000268,SKU_0031,Europe,2026-M03,1495,0.93
FCT_000269,SKU_0044,Latin_America,2026-M03,4802,0.82
FCT_000270,SKU_0004,Europe,2027-M09,1575,0.82
FCT_000271,SKU_0007,Europe,2026-M12,3138,0.87
FCT_000272,SKU_0009,Europe,2026-M08,5907,0.84
FCT_000273,SKU_0005,Asia_Pacific,2027-M07,1866,0.83
FCT_000274,SKU_0049,Asia_Pacific,2027-M08,8208,0.94
FCT_000275,SKU_0016,North_America,2026-M06,3887,0.92
FCT_000276,SKU_0001,Asia_Pacific,2026-M07,11658,0.91
FCT_000277,SKU_0020,Asia_Pacific,2027-M09,9061,0.81
FCT_000278,SKU_0030,Latin_America,2027-M04,7780,0.9
FCT_000279,SKU_0005,North_America,2027-M11,3653,0.84
FCT_000280,SKU_0010,Latin_America,2027-M03,8480,0.93
FCT_000281,SKU_0023,Latin_America,2027-M05,6769,0.86
FCT_000282,SKU_0037,Asia_Pacific,2027-M12,2026,0.92
FCT_000283,SKU_0034,North_America,2027-M11,2722,0.82
FCT_000284,SKU_0020,Europe,2026-M06,2253,0.83
FCT_000285,SKU_0017,Asia_Pacific,2026-M12,12444,0.8
FCT_000286,SKU_0026,Europe,2026-M05,9921,0.93
FCT_000287,SKU_0018,Europe,2026-M05,10135,0.94
FCT_000288,SKU_0001,Europe,2027-M06,9840,0.91
FCT_000289,SKU_0019,Asia_Pacific,2027-M02,1778,0.94
FCT_000290,SKU_0034,Latin_America,2027-M01,7818,0.81
FCT_000291,SKU_0035,Latin_America,2027-M11,12418,0.93
FCT_000292,SKU_0031,Latin_America,2026-M06,6680,0.89
FCT_000293,SKU_0033,Latin_America,2027-M09,9366,0.85
FCT_000294,SKU_0005,Europe,2026-M02,7575,0.86
FCT_000295,SKU_0029,Latin_America,2027-M04,6794,0.86
FCT_000296,SKU_0012,North_America,2026-M10,12610,0.93
FCT_000297,SKU_0015,Asia_Pacific,2027-M02,2309,0.88
FCT_000298,SKU_0037,Latin_America,2027-M01,1470,0.82
FCT_000299,SKU_0027,Asia_Pacific,2027-M11,15000,0.88
FCT_000300,SKU_0005,Asia_Pacific,2026-M01,9556,0.83
FCT_000301,SKU_0006,Europe,2027-M08,3285,0.81
FCT_000302,SKU_0026,Asia_Pacific,2026-M09,3807,0.94
FCT_000303,SKU_0017,North_America,2026-M03,9573,0.91
FCT_000304,SKU_0048,North_America,2027-M12,7246,0.86
FCT_000305,SKU_0018,Asia_Pacific,2026-M09,1679,0.94
FCT_000306,SKU_0024,Europe,2026-M06,6178,0.93
FCT_000307,SKU_0001,Asia_Pacific,2026-M02,11050,0.84
FCT_000308,SKU_0002,Europe,2026-M06,10655,0.94
FCT_000309,SKU_0016,Latin_America,2026-M04,10924,0.88
FCT_000310,SKU_0006,Latin_America,2026-M10,6081,0.83
FCT_000311,SKU_0004,North_America,2026-M04,9216,0.93
FCT_000312,SKU_0045,Latin_America,2027-M12,12348,0.93
FCT_000313,SKU_0047,Europe,2027-M02,5694,0.87
FCT_000314,SKU_0039,Asia_Pacific,2026-M07,1589,0.85
FCT_000315,SKU_0024,Latin_America,2027-M07,1728,0.84
FCT_000316,SKU_0045,North_America,2027-M06,11974,0.83
FCT_000317,SKU_0023,Europe,2027-M12,12051,0.83
FCT_000318,SKU_0008,North_America,2027-M10,11107,0.88
FCT_000319,SKU_0050,Latin_America,2026-M04,8541,0.81
FCT_000320,SKU_0008,Latin_America,2026-M07,13019,0.91
FCT_000321,SKU_0011,Asia_Pacific,2027-M06,3745,0.83
FCT_000322,SKU_0036,North_America,2027-M10,3610,0.94
FCT_000323,SKU_0036,North_America,2026-M03,4407,0.93
FCT_000324,SKU_0006,Asia_Pacific,2026-M04,7252,0.88
FCT_000325,SKU_0026,North_America,2027-M02,5800,0.82
FCT_000326,SKU_0020,Europe,2026-M12,8250,0.94
FCT_000327,SKU_0038,Asia_Pacific,2026-M02,13271,0.87
FCT_000328,SKU_0048,Latin_America,2026-M05,7376,0.82
FCT_000329,SKU_0032,Asia_Pacific,2026-M04,9873,0.91
FCT_000330,SKU_0026,Latin_America,2026-M06,13743,0.85
FCT_000331,SKU_0037,Europe,2026-M04,8720,0.82
FCT_000332,SKU_0011,Europe,2026-M06,8581,0.91
FCT_000333,SKU_0018,Latin_America,2026-M06,1476,0.91
FCT_000334,SKU_0003,Latin_America,2026-M09,3450,0.8
FCT_000335,SKU_0040,Latin_America,2027-M05,8915,0.87
FCT_000336,SKU_0003,North_America,2026-M08,4710,0.92
FCT_000337,SKU_0046,Latin_America,2026-M11,8170,0.95
FCT_000338,SKU_0040,Latin_America,2027-M10,13179,0.8
FCT_000339,SKU_0016,Latin_America,2027-M11,3981,0.9
FCT_000340,SKU_0004,North_America,2027-M11,4728,0.92
FCT_000341,SKU_0040,Asia_Pacific,2026-M05,5357,0.9
FCT_000342,SKU_0005,North_America,2026-M02,6684,0.92
FCT_000343,SKU_0047,North_America,2027-M09,13359,0.91
FCT_000344,SKU_0024,Latin_America,2026-M01,11430,0.91
FCT_000345,SKU_0037,North_America,2026-M05,8869,0.84
FCT_000346,SKU_0034,North_America,2026-M02,7967,0.83
FCT_000347,SKU_0034,Europe,2027-M12,11655,0.82
FCT_000348,SKU_0043,Asia_Pacific,2027-M02,14176,0.93
FCT_000349,SKU_0042,Latin_America,2027-M12,8420,0.87
FCT_000350,SKU_0023,Europe,2027-M01,12695,0.92
FCT_000351,SKU_0050,Latin_America,2027-M11,1916,0.84
FCT_000352,SKU_0002,Europe,2026-M12,4489,0.85
FCT_000353,SKU_0021,North_America,2027-M04,6840,0.91
FCT_000354,SKU_0041,North_America,2027-M01,8697,0.83
FCT_000355,SKU_0005,Asia_Pacific,2027-M08,3061,0.92
FCT_000356,SKU_0041,Asia_Pacific,2027-M02,4614,0.91
FCT_000357,SKU_0006,Asia_Pacific,2027-M11,11964,0.92
FCT_000358,SKU_0012,Latin_America,2027-M12,3788,0.88
FCT_000359,SKU_0012,North_America,2027-M06,14366,0.94
FCT_000360,SKU_0050,Europe,2027-M03,8342,0.94
FCT_000361,SKU_0038,North_America,2026-M04,1371,0.85
FCT_000362,SKU_0032,Asia_Pacific,2027-M11,3674,0.92
FCT_000363,SKU_0031,Europe,2027-M02,1684,0.91
FCT_000364,SKU_0037,Europe,2027-M11,3496,0.85
FCT_000365,SKU_0044,Latin_America,2027-M02,6533,0.84
FCT_000366,SKU_0043,Europe,2026-M07,7726,0.88
FCT_000367,SKU_0025,Europe,2026-M04,12902,0.92
FCT_000368,SKU_0046,Latin_America,2026-M08,12205,0.83
FCT_000369,SKU_0027,North_America,2027-M10,10483,0.92
FCT_000370,SKU_0004,Latin_America,2027-M10,8506,0.9
FCT_000371,SKU_0027,Latin_America,2026-M07,5803,0.82
FCT_000372,SKU_0003,North_America,2026-M01,7808,0.87
FCT_000373,SKU_0025,North_America,2026-M05,10140,0.88
FCT_000374,SKU_0042,Asia_Pacific,2027-M04,2132,0.85
FCT_000375,SKU_0013,North_America,2027-M09,10564,0.86
FCT_000376,SKU_0009,Asia_Pacific,2026-M04,13850,0.93
FCT_000377,SKU_0050,North_America,2027-M05,7549,0.93
FCT_000378,SKU_0008,Europe,2026-M05,8540,0.83
FCT_000379,SKU_0030,Europe,2026-M06,7405,0.93
FCT_000380,SKU_0010,Asia_Pacific,2026-M05,6624,0.86
FCT_000381,SKU_0042,Latin_America,2027-M01,1166,0.84
FCT_000382,SKU_0007,Asia_Pacific,2027-M01,5563,0.88
FCT_000383,SKU_0048,North_America,2026-M11,5334,0.91
FCT_000384,SKU_0038,North_America,2027-M11,8065,0.87
FCT_000385,SKU_0013,Asia_Pacific,2027-M05,4739,0.83
FCT_000386,SKU_0016,Asia_Pacific,2026-M07,12660,0.83
FCT_000387,SKU_0029,Europe,2026-M08,14895,0.81
FCT_000388,SKU_0025,Europe,2027-M11,12301,0.82
FCT_000389,SKU_0046,Asia_Pacific,2027-M07,9918,0.89
FCT_000390,SKU_0015,Asia_Pacific,2026-M09,6771,0.88
FCT_000391,SKU_0022,Latin_America,2027-M08,12296,0.87
FCT_000392,SKU_0023,Europe,2026-M11,1173,0.9
FCT_000393,SKU_0046,North_America,2027-M04,7934,0.93
FCT_000394,SKU_0004,North_America,2026-M02,4918,0.9
FCT_000395,SKU_0019,Latin_America,2027-M04,5288,0.94
FCT_000396,SKU_0050,Asia_Pacific,2026-M07,10546,0.93
FCT_000397,SKU_0044,North_America,2026-M03,12099,0.93
FCT_000398,SKU_0009,Asia_Pacific,2027-M11,3615,0.86
FCT_000399,SKU_0040,Asia_Pacific,2027-M04,1520,0.87
FCT_000400,SKU_0016,Europe,2027-M06,1393,0.9
FCT_000401,SKU_0021,North_America,2026-M12,10742,0.85
FCT_000402,SKU_0023,Asia_Pacific,2026-M12,1969,0.81
FCT_000403,SKU_0047,Europe,2026-M09,12770,0.81
FCT_000404,SKU_0020,Asia_Pacific,2027-M05,5013,0.89
FCT_000405,SKU_0014,Latin_America,2026-M06,1474,0.9
FCT_000406,SKU_0039,Latin_America,2027-M01,4953,0.91
FCT_000407,SKU_0050,Latin_America,2026-M02,9266,0.87
FCT_000408,SKU_0024,North_America,2027-M06,13438,0.86
FCT_000409,SKU_0035,Europe,2026-M07,9917,0.83
FCT_000410,SKU_0046,Europe,2026-M02,6830,0.86
FCT_000411,SKU_0006,Asia_Pacific,2026-M02,11232,0.81
FCT_000412,SKU_0016,Asia_Pacific,2026-M02,9980,0.92
FCT_000413,SKU_0008,North_America,2027-M02,2240,0.81
FCT_000414,SKU_0035,Asia_Pacific,2027-M07,12037,0.8
FCT_000415,SKU_0021,Asia_Pacific,2026-M04,2916,0.85
FCT_000416,SKU_0036,North_America,2027-M02,4579,0.83
FCT_000417,SKU_0026,North_America,2026-M09,5590,0.93
FCT_000418,SKU_0045,Latin_America,2026-M08,4239,0.85
FCT_000419,SKU_0025,Asia_Pacific,2026-M08,8510,0.8
FCT_000420,SKU_0003,North_America,2027-M08,11418,0.9
FCT_000421,SKU_0006,North_America,2026-M03,9044,0.82
FCT_000422,SKU_0006,North_America,2027-M10,13565,0.87
FCT_000423,SKU_0001,North_America,2026-M02,6222,0.94
FCT_000424,SKU_0007,Latin_America,2026-M07,6993,0.89
FCT_000425,SKU_0024,Asia_Pacific,2027-M05,11814,0.89
