material_demand_id,plant_id,fabric_id,period,required_meters,urgency_level
MD_00033,PLANT_01,FAB_012,2027-M09,23223,Critical
MD_00034,PLANT_05,FAB_018,2026-M11,5292,Normal
MD_00035,PLANT_01,FAB_021,2026-M04,19502,High
MD_00036,PLANT_02,FAB_012,2027-M09,8051,High
MD_00037,PLANT_03,FAB_001,2026-M11,4390,High
MD_00038,PLANT_05,FAB_011,2027-M05,20460,Normal
MD_00039,PLANT_01,FAB_020,2026-M04,22680,High
MD_00040,PLANT_03,FAB_019,2026-M12,6862,Normal
MD_00041,PLANT_03,FAB_030,2027-M01,6950,Normal
MD_00042,PLANT_05,FAB_016,2026-M11,22703,Critical
MD_00043,PLANT_01,FAB_029,2027-M03,17614,High
MD_00044,PLANT_04,FAB_010,2027-M11,3235,Normal
MD_00045,PLANT_04,FAB_005,2026-M01,8853,Normal
MD_00046,PLANT_02,FAB_011,2027-M06,14132,High
MD_00047,PLANT_02,FAB_023,2027-M06,7137,Critical
MD_00048,PLANT_03,FAB_021,2027-M08,17920,Normal
MD_00049,PLANT_02,FAB_004,2026-M11,17375,Critical
MD_00050,PLANT_03,FAB_012,2026-M02,22914,High
MD_00051,PLANT_05,FAB_013,2027-M06,3725,High
MD_00052,PLANT_05,FAB_018,2027-M03,13153,Normal
MD_00053,PLANT_05,FAB_026,2026-M10,6305,Critical
MD_00054,PLANT_01,FAB_013,2027-M11,20973,Normal
MD_00055,PLANT_01,FAB_015,2027-M04,14634,High
MD_00056,PLANT_05,FAB_015,2027-M04,4734,High
MD_00057,PLANT_03,FAB_020,2026-M08,3071,Critical
MD_00058,PLANT_01,FAB_013,2026-M04,22842,High
MD_00059,PLANT_04,FAB_018,2027-M09,21977,High
MD_00060,PLANT_03,FAB_009,2026-M12,4859,Critical
MD_00061,PLANT_04,FAB_025,2026-M02,9195,Normal
MD_00062,PLANT_02,FAB_013,2027-M12,18718,High
MD_00063,PLANT_02,FAB_027,2026-M08,21550,Normal
MD_00064,PLANT_01,FAB_011,2027-M06,10274,Normal
MD_00065,PLANT_01,FAB_004,2026-M08,4060,Normal
MD_00066,PLANT_03,FAB_018,2027-M04,11350,Normal
MD_00067,PLANT_02,FAB_016,2026-M09,21129,Critical
MD_00068,PLANT_02,FAB_011,2026-M05,11857,Critical
MD_00069,PLANT_01,FAB_010,2026-M08,21309,Critical
MD_00070,PLANT_03,FAB_001,2026-M04,2803,High
MD_00071,PLANT_05,FAB_017,2026-M01,16816,High
MD_00072,PLANT_03,FAB_017,2027-M05,3806,Normal
MD_00073,PLANT_05,FAB_006,2027-M03,15852,Normal
MD_00074,PLANT_04,FAB_023,2027-M09,18476,High
MD_00075,PLANT_02,FAB_029,2027-M06,7120,High
MD_00076,PLANT_01,FAB_021,2027-M08,22562,Critical
MD_00077,PLANT_03,FAB_005,2026-M09,24309,Normal
MD_00078,PLANT_03,FAB_012,2026-M06,21106,Critical
MD_00079,PLANT_05,FAB_022,2027-M09,21123,Normal
MD_00080,PLANT_03,FAB_007,2026-M01,3981,High
MD_00081,PLANT_01,FAB_014,2026-M07,19107,Critical
MD_00082,PLANT_05,FAB_014,2027-M12,23417,Critical
MD_00083,PLANT_05,FAB_010,2027-M03,12506,Critical
MD_00084,PLANT_03,FAB_003,2027-M05,14905,High
MD_00085,PLANT_04,FAB_004,2026-M09,2709,Normal
MD_00086,PLANT_03,FAB_009,2027-M09,10623,Normal
MD_00087,PLANT_04,FAB_028,2026-M01,2674,High
MD_00088,PLANT_02,FAB_006,2026-M12,20268,Critical
MD_00089,PLANT_04,FAB_027,2026-M10,19578,High
MD_00090,PLANT_05,FAB_016,2026-M03,7308,Normal
MD_00091,PLANT_01,FAB_014,2027-M08,19331,Normal
MD_00092,PLANT_03,FAB_015,2027-M03,10016,Critical
MD_00093,PLANT_04,FAB_029,2027-M06,8898,Critical
MD_00094,PLANT_03,FAB_003,2026-M06,22679,High
MD_00095,PLANT_01,FAB_017,2027-M09,9947,High
MD_00096,PLANT_03,FAB_016,2026-M07,2234,High
MD_00097,PLANT_01,FAB_004,2026-M02,7140,High
MD_00098,PLANT_02,FAB_022,2027-M08,14792,High
MD_00099,PLANT_04,FAB_022,2026-M08,20396,High
MD_00100,PLANT_02,FAB_022,2026-M07,11738,Normal
MD_00101,PLANT_04,FAB_024,2027-M10,7097,Critical
MD_00102,PLANT_01,FAB_012,2026-M02,10346,Critical
MD_00103,PLANT_04,FAB_012,2027-M03,19902,High
MD_00104,PLANT_04,FAB_013,2027-M12,14402,Normal
MD_00105,PLANT_04,FAB_004,2026-M07,4087,Normal
MD_00106,PLANT_03,FAB_002,2026-M04,9515,Critical
MD_00107,PLANT_02,FAB_013,2026-M12,10036,High
MD_00108,PLANT_02,FAB_030,2026-M08,20520,High
MD_00109,PLANT_05,FAB_012,2026-M02,10129,High
MD_00110,PLANT_03,FAB_006,2026-M08,9996,High
MD_00111,PLANT_03,FAB_026,2027-M09,10584,Critical
MD_00112,PLANT_05,FAB_022,2026-M06,3361,Critical
MD_00113,PLANT_04,FAB_015,2027-M11,12740,Normal
MD_00114,PLANT_01,FAB_020,2026-M08,8412,Critical
MD_00115,PLANT_03,FAB_010,2026-M07,24043,High
MD_00116,PLANT_03,FAB_023,2027-M07,5651,High
MD_00117,PLANT_02,FAB_006,2027-M04,15807,Normal
MD_00118,PLANT_05,FAB_011,2027-M02,24377,Critical
MD_00119,PLANT_03,FAB_030,2026-M03,10928,Critical
MD_00120,PLANT_02,FAB_030,2026-M07,17815,Normal
MD_00121,PLANT_03,FAB_024,2027-M05,13105,High
MD_00122,PLANT_01,FAB_007,2026-M04,9264,Critical
MD_00123,PLANT_03,FAB_008,2027-M11,15392,High
MD_00124,PLANT_01,FAB_028,2026-M03,8369,High
MD_00125,PLANT_05,FAB_028,2027-M11,22664,Critical
MD_00126,PLANT_05,FAB_009,2026-M12,18165,High
MD_00127,PLANT_03,FAB_001,2026-M06,22633,Critical
MD_00128,PLANT_04,FAB_027,2026-M12,23902,Critical
MD_00129,PLANT_05,FAB_018,2027-M08,2241,Normal
MD_00130,PLANT_01,FAB_004,2026-M03,19580,Normal
MD_00131,PLANT_05,FAB_011,2026-M01,13862,Normal
MD_00132,PLANT_05,FAB_011,2027-M06,21238,Normal
MD_00133,PLANT_01,FAB_018,2026-M05,5315,Normal
MD_00134,PLANT_04,FAB_019,2026-M03,24429,Normal
MD_00135,PLANT_05,FAB_030,2027-M04,18183,Critical
MD_00136,PLANT_05,FAB_030,2026-M02,20367,High
MD_00137,PLANT_03,FAB_011,2027-M02,9975,High
MD_00138,PLANT_04,FAB_021,2027-M09,9811,High
MD_00139,PLANT_02,FAB_024,2027-M06,9850,Normal
MD_00140,PLANT_01,FAB_019,2026-M07,3233,High
MD_00141,PLANT_02,FAB_008,2027-M06,14289,Critical
MD_00142,PLANT_01,FAB_014,2026-M02,7062,Normal
MD_00143,PLANT_02,FAB_015,2026-M09,23830,Normal
MD_00144,PLANT_01,FAB_016,2027-M06,23814,Normal
MD_00145,PLANT_04,FAB_015,2026-M03,3881,High
MD_00146,PLANT_01,FAB_027,2027-M10,4601,Critical
MD_00147,PLANT_05,FAB_025,2026-M08,7536,High
MD_00148,PLANT_03,FAB_003,2026-M05,4665,Normal
MD_00149,PLANT_05,FAB_007,2026-M02,18637,Normal
MD_00150,PLANT_02,FAB_020,2026-M07,9034,High
MD_00151,PLANT_04,FAB_005,2026-M06,15398,High
MD_00152,PLANT_02,FAB_009,2026-M01,3110,Critical
MD_00153,PLANT_01,FAB_027,2027-M04,11144,Normal
MD_00154,PLANT_03,FAB_020,2026-M04,11225,Critical
MD_00155,PLANT_03,FAB_016,2026-M08,19994,Normal
MD_00156,PLANT_02,FAB_029,2026-M07,15101,High
MD_00157,PLANT_01,FAB_015,2027-M02,7313,Critical
MD_00158,PLANT_05,FAB_001,2027-M10,21477,Critical
MD_00159,PLANT_05,FAB_012,2027-M02,2623,High
MD_00160,PLANT_02,FAB_028,2026-M10,22780,High
MD_00161,PLANT_01,FAB_018,2027-M09,11669,High
MD_00162,PLANT_04,FAB_025,2027-M11,5565,Normal
MD_00163,PLANT_01,FAB_005,2027-M03,13158,Critical
MD_00164,PLANT_04,FAB_018,2027-M08,19567,High
MD_00165,PLANT_05,FAB_016,2027-M10,18287,Critical
MD_00166,PLANT_01,FAB_004,2027-M02,11211,Critical
MD_00167,PLANT_01,FAB_005,2026-M10,19753,Normal
MD_00168,PLANT_05,FAB_030,2027-M07,16285,High
MD_00169,PLANT_03,FAB_007,2027-M09,14930,Critical
MD_00170,PLANT_04,FAB_030,2027-M01,9055,Normal
MD_00171,PLANT_04,FAB_006,2027-M11,19767,High
MD_00172,PLANT_02,FAB_015,2026-M12,16906,Critical
MD_00173,PLANT_02,FAB_004,2027-M06,7829,Critical
MD_00174,PLANT_05,FAB_004,2026-M07,4432,Normal
MD_00175,PLANT_02,FAB_018,2027-M01,3955,High
MD_00176,PLANT_05,FAB_006,2027-M04,11284,High
MD_00177,PLANT_02,FAB_006,2026-M06,6434,High
MD_00178,PLANT_03,FAB_010,2027-M01,23305,Normal
MD_00179,PLANT_05,FAB_013,2027-M10,8405,Critical
MD_00180,PLANT_05,FAB_023,2026-M05,14426,High
MD_00181,PLANT_05,FAB_004,2027-M08,17805,High
MD_00182,PLANT_05,FAB_013,2026-M07,8430,Normal
MD_00183,PLANT_02,FAB_026,2026-M10,5017,High
MD_00184,PLANT_05,FAB_018,2026-M09,10852,Critical
MD_00185,PLANT_04,FAB_015,2027-M11,21260,High
MD_00186,PLANT_05,FAB_022,2026-M10,16821,Normal
MD_00187,PLANT_04,FAB_016,2026-M12,14689,Critical
MD_00188,PLANT_03,FAB_025,2027-M05,13880,Critical
MD_00189,PLANT_04,FAB_010,2027-M09,20379,Normal
MD_00190,PLANT_01,FAB_020,2027-M05,18500,Critical
MD_00191,PLANT_01,FAB_018,2026-M03,12689,High
MD_00192,PLANT_01,FAB_022,2027-M01,11616,Normal
MD_00193,PLANT_02,FAB_007,2027-M10,13621,Critical
MD_00194,PLANT_04,FAB_022,2026-M06,16012,High
MD_00195,PLANT_01,FAB_018,2026-M12,20657,High
MD_00196,PLANT_03,FAB_003,2026-M10,21678,High
MD_00197,PLANT_04,FAB_005,2027-M09,24466,Normal
MD_00198,PLANT_05,FAB_004,2027-M01,3134,Critical
MD_00199,PLANT_03,FAB_020,2027-M02,3499,High
MD_00200,PLANT_02,FAB_013,2027-M03,4606,High
MD_00201,PLANT_05,FAB_015,2027-M03,20082,Critical
MD_00202,PLANT_01,FAB_020,2027-M04,14780,High
MD_00203,PLANT_02,FAB_004,2026-M10,19980,Normal
MD_00204,PLANT_02,FAB_009,2027-M04,21362,High
MD_00205,PLANT_04,FAB_002,2026-M11,23983,Normal
MD_00206,PLANT_02,FAB_027,2026-M02,14986,High
MD_00207,PLANT_01,FAB_011,2027-M03,6571,Normal
MD_00208,PLANT_02,FAB_009,2027-M09,24135,Normal
MD_00209,PLANT_05,FAB_025,2026-M01,13489,Normal
MD_00210,PLANT_04,FAB_005,2027-M02,8652,Critical
MD_00211,PLANT_04,FAB_008,2027-M06,12668,Critical
MD_00212,PLANT_04,FAB_020,2026-M02,13877,Critical
MD_00213,PLANT_02,FAB_013,2026-M05,13325,High
MD_00214,PLANT_04,FAB_012,2026-M10,19099,Normal
MD_00215,PLANT_05,FAB_027,2026-M02,5572,Critical
MD_00216,PLANT_01,FAB_016,2026-M02,17510,Critical
MD_00217,PLANT_02,FAB_022,2026-M04,5504,High
MD_00218,PLANT_04,FAB_009,2026-M08,23715,Critical
MD_00219,PLANT_05,FAB_019,2027-M02,3067,High
MD_00220,PLANT_04,FAB_012,2026-M05,10653,High
MD_00221,PLANT_03,FAB_001,2027-M04,23315,Normal
MD_00222,PLANT_02,FAB_020,2027-M03,23550,Normal
MD_00223,PLANT_03,FAB_018,2027-M12,19891,High
MD_00224,PLANT_01,FAB_008,2026-M05,23339,Normal
MD_00225,PLANT_05,FAB_016,2026-M12,10197,Normal
MD_00226,PLANT_05,FAB_029,2027-M07,2870,Normal
MD_00227,PLANT_03,FAB_013,2027-M03,11924,Normal
MD_00228,PLANT_05,FAB_005,2027-M09,20439,High
MD_00229,PLANT_02,FAB_002,2026-M11,3221,High
MD_00230,PLANT_03,FAB_018,2026-M07,20544,Normal
MD_00231,PLANT_04,FAB_029,2026-M07,3461,Normal
MD_00232,PLANT_05,FAB_013,2027-M12,12609,Critical
MD_00233,PLANT_04,FAB_018,2027-M03,20917,High
MD_00234,PLANT_01,FAB_009,2026-M04,12353,High
MD_00235,PLANT_03,FAB_005,2027-M08,20873,High
MD_00236,PLANT_02,FAB_005,2026-M03,13717,Critical
MD_00237,PLANT_05,FAB_014,2027-M02,22987,Critical
MD_00238,PLANT_02,FAB_019,2026-M06,17844,Normal
MD_00239,PLANT_01,FAB_021,2027-M04,10165,Critical
MD_00240,PLANT_05,FAB_027,2026-M08,16688,Normal
MD_00241,PLANT_04,FAB_007,2026-M10,20333,High
MD_00242,PLANT_04,FAB_016,2026-M11,19550,High
MD_00243,PLANT_05,FAB_020,2026-M01,22931,Normal
MD_00244,PLANT_05,FAB_016,2026-M09,21366,Critical
MD_00245,PLANT_02,FAB_015,2026-M12,16656,Critical
MD_00246,PLANT_02,FAB_016,2026-M02,18573,High
MD_00247,PLANT_03,FAB_007,2027-M12,4482,High
MD_00248,PLANT_04,FAB_026,2026-M12,3850,High
MD_00249,PLANT_02,FAB_010,2026-M09,19674,High
MD_00250,PLANT_04,FAB_014,2027-M12,5626,Critical
MD_00251,PLANT_01,FAB_015,2027-M03,4920,High
MD_00252,PLANT_02,FAB_008,2026-M02,8010,High
MD_00253,PLANT_05,FAB_005,2027-M07,18455,Normal
MD_00254,PLANT_02,FAB_023,2026-M06,3447,Normal
MD_00255,PLANT_04,FAB_005,2027-M12,13708,High
MD_00256,PLANT_03,FAB_006,2026-M06,15378,Normal
MD_00257,PLANT_03,FAB_011,2026-M10,19405,Normal
MD_00258,PLANT_01,FAB_011,2026-M06,6576,Critical
MD_00259,PLANT_02,FAB_002,2026-M04,5140,High
MD_00260,PLANT_05,FAB_013,2027-M06,13857,Normal
MD_00261,PLANT_03,FAB_012,2026-M02,19933,High
MD_00262,PLANT_03,FAB_020,2027-M09,4549,Normal
MD_00263,PLANT_03,FAB_024,2027-M06,16111,High
MD_00264,PLANT_05,FAB_029,2026-M02,24540,Normal
MD_00265,PLANT_01,FAB_011,2027-M01,9750,Normal
MD_00266,PLANT_03,FAB_007,2027-M03,17129,Normal
MD_00267,PLANT_01,FAB_010,2026-M07,18801,Critical
MD_00268,PLANT_02,FAB_024,2026-M01,11924,High
MD_00269,PLANT_04,FAB_007,2026-M11,19554,High
MD_00270,PLANT_02,FAB_003,2026-M03,3709,Normal
MD_00271,PLANT_04,FAB_028,2027-M08,21208,Normal
MD_00272,PLANT_01,FAB_015,2027-M04,3261,High
MD_00273,PLANT_04,FAB_016,2027-M12,6839,Critical
MD_00274,PLANT_04,FAB_012,2026-M07,9186,Normal
MD_00275,PLANT_03,FAB_014,2026-M12,16785,Normal
MD_00276,PLANT_02,FAB_019,2026-M10,14782,Normal
MD_00277,PLANT_01,FAB_005,2027-M12,18800,Critical
MD_00278,PLANT_03,FAB_011,2026-M06,21342,High
MD_00279,PLANT_05,FAB_028,2027-M09,9568,Normal
MD_00280,PLANT_05,FAB_020,2026-M09,18339,Critical
MD_00281,PLANT_02,FAB_014,2027-M07,17693,Normal
MD_00282,PLANT_04,FAB_027,2027-M11,7953,High
MD_00283,PLANT_05,FAB_001,2027-M06,17901,Normal
MD_00284,PLANT_02,FAB_021,2027-M11,8146,Critical
MD_00285,PLANT_01,FAB_023,2027-M01,21893,High
MD_00286,PLANT_03,FAB_002,2027-M03,20381,Normal
MD_00287,PLANT_05,FAB_017,2027-M02,13310,High
MD_00288,PLANT_05,FAB_020,2027-M08,5759,Critical
MD_00289,PLANT_02,FAB_027,2026-M11,11812,High
MD_00290,PLANT_04,FAB_021,2026-M12,6835,Normal
MD_00291,PLANT_05,FAB_019,2027-M03,13201,Normal
MD_00292,PLANT_02,FAB_020,2027-M10,15244,Critical
MD_00293,PLANT_05,FAB_014,2026-M02,4185,Normal
MD_00294,PLANT_02,FAB_029,2026-M11,15044,Critical
MD_00295,PLANT_05,FAB_017,2026-M06,22346,Critical
MD_00296,PLANT_04,FAB_023,2027-M02,20724,Critical
MD_00297,PLANT_04,FAB_025,2026-M03,11281,High
MD_00298,PLANT_05,FAB_029,2027-M07,19527,Critical
MD_00299,PLANT_04,FAB_028,2027-M09,8441,Normal
MD_00300,PLANT_04,FAB_015,2026-M11,10882,Normal
MD_00301,PLANT_03,FAB_012,2026-M12,3308,Critical
MD_00302,PLANT_02,FAB_025,2026-M09,20012,High
MD_00303,PLANT_01,FAB_007,2027-M01,6160,Critical
MD_00304,PLANT_05,FAB_020,2026-M11,12600,High
MD_00305,PLANT_03,FAB_029,2026-M09,17812,Critical
MD_00306,PLANT_02,FAB_018,2027-M12,21607,High
MD_00307,PLANT_01,FAB_019,2026-M06,15226,Critical
MD_00308,PLANT_05,FAB_030,2027-M05,6087,Normal
MD_00309,PLANT_01,FAB_004,2027-M11,19685,High
MD_00310,PLANT_05,FAB_028,2027-M06,12920,Normal
MD_00311,PLANT_02,FAB_020,2027-M09,24658,Normal
MD_00312,PLANT_05,FAB_012,2027-M03,24526,Critical
MD_00313,PLANT_04,FAB_027,2027-M11,13363,Normal
MD_00314,PLANT_05,FAB_012,2027-M10,23171,Normal
MD_00315,PLANT_03,FAB_029,2027-M01,8970,Normal
MD_00316,PLANT_05,FAB_001,2026-M02,3161,Normal
MD_00317,PLANT_02,FAB_023,2027-M06,5596,Normal
MD_00318,PLANT_04,FAB_009,2026-M04,7696,High
MD_00319,PLANT_01,FAB_001,2027-M08,4933,Normal
MD_00320,PLANT_02,FAB_003,2026-M05,19249,Normal
MD_00321,PLANT_04,FAB_022,2027-M09,6658,Critical
MD_00322,PLANT_05,FAB_022,2026-M10,23379,Critical
MD_00323,PLANT_03,FAB_025,2027-M03,10350,High
MD_00324,PLANT_02,FAB_006,2027-M01,22347,High
MD_00325,PLANT_03,FAB_002,2027-M04,14637,Normal
MD_00326,PLANT_05,FAB_013,2026-M08,22630,Normal
MD_00327,PLANT_05,FAB_013,2026-M08,10365,High
MD_00328,PLANT_03,FAB_011,2026-M10,17450,Normal
MD_00329,PLANT_04,FAB_029,2026-M02,22707,High
MD_00330,PLANT_05,FAB_002,2026-M12,12184,Normal
MD_00331,PLANT_04,FAB_004,2026-M06,21381,Critical
MD_00332,PLANT_05,FAB_020,2027-M04,20565,Normal
MD_00333,PLANT_01,FAB_003,2027-M04,15971,Normal
MD_00334,PLANT_01,FAB_029,2026-M11,18442,Critical
MD_00335,PLANT_04,FAB_008,2026-M03,11046,High
MD_00336,PLANT_01,FAB_022,2026-M08,10144,Normal
MD_00337,PLANT_03,FAB_005,2026-M07,13939,Normal
MD_00338,PLANT_03,FAB_007,2026-M06,6848,Normal
MD_00339,PLANT_05,FAB_021,2027-M10,4995,Normal
MD_00340,PLANT_04,FAB_030,2027-M12,12220,Critical
MD_00341,PLANT_05,FAB_008,2027-M08,4572,Critical
MD_00342,PLANT_01,FAB_001,2027-M12,5171,Normal
MD_00343,PLANT_02,FAB_017,2026-M09,3772,Normal
MD_00344,PLANT_04,FAB_005,2026-M08,10528,Critical
MD_00345,PLANT_03,FAB_013,2027-M12,18341,High
MD_00346,PLANT_05,FAB_021,2026-M12,7366,High
MD_00347,PLANT_05,FAB_027,2027-M07,3411,Critical
MD_00348,PLANT_02,FAB_029,2027-M01,18760,Normal
MD_00349,PLANT_03,FAB_009,2026-M05,9779,Critical
MD_00350,PLANT_02,FAB_019,2026-M03,21389,High
MD_00351,PLANT_05,FAB_030,2027-M05,19959,Normal
MD_00352,PLANT_03,FAB_019,2027-M11,4328,Critical
MD_00353,PLANT_05,FAB_021,2026-M03,17850,Normal
MD_00354,PLANT_01,FAB_004,2026-M12,21827,Normal
MD_00355,PLANT_05,FAB_024,2027-M03,16672,Normal
MD_00356,PLANT_04,FAB_010,2027-M12,10883,Normal
MD_00357,PLANT_03,FAB_016,2027-M09,18609,Normal
MD_00358,PLANT_01,FAB_027,2027-M03,24120,Critical
MD_00359,PLANT_02,FAB_018,2027-M07,5777,High
MD_00360,PLANT_03,FAB_012,2026-M01,13568,High
MD_00361,PLANT_03,FAB_021,2027-M10,23915,Critical
MD_00362,PLANT_02,FAB_001,2026-M05,11166,High
MD_00363,PLANT_04,FAB_010,2026-M05,19136,Critical
MD_00364,PLANT_03,FAB_019,2026-M12,6725,Critical
MD_00365,PLANT_03,FAB_006,2027-M10,20907,Normal
MD_00366,PLANT_03,FAB_005,2027-M11,3696,Critical
MD_00367,PLANT_05,FAB_001,2026-M10,7020,Critical
MD_00368,PLANT_03,FAB_018,2027-M11,11560,Normal
MD_00369,PLANT_02,FAB_021,2027-M08,20693,Normal
MD_00370,PLANT_02,FAB_024,2027-M04,20177,Normal
MD_00371,PLANT_04,FAB_016,2026-M05,7101,High
MD_00372,PLANT_03,FAB_004,2026-M09,15068,Normal
MD_00373,PLANT_02,FAB_006,2027-M03,19006,Critical
MD_00374,PLANT_03,FAB_011,2027-M08,9179,Normal
MD_00375,PLANT_03,FAB_001,2027-M02,22036,Critical
MD_00376,PLANT_05,FAB_018,2027-M04,14266,Critical
MD_00377,PLANT_03,FAB_005,2026-M12,18001,Normal
MD_00378,PLANT_03,FAB_026,2027-M08,7092,High
MD_00379,PLANT_05,FAB_017,2027-M04,15685,High
MD_00380,PLANT_01,FAB_025,2026-M02,14935,Critical
MD_00381,PLANT_04,FAB_009,2027-M02,22114,Normal
MD_00382,PLANT_01,FAB_027,2027-M02,11647,High
MD_00383,PLANT_02,FAB_024,2026-M08,16835,Normal
MD_00384,PLANT_01,FAB_025,2027-M09,11524,Normal
MD_00385,PLANT_03,FAB_028,2026-M12,4158,Critical
MD_00386,PLANT_01,FAB_025,2026-M12,5617,High
MD_00387,PLANT_04,FAB_011,2027-M04,18879,High
MD_00388,PLANT_01,FAB_021,2026-M05,9785,High
MD_00389,PLANT_05,FAB_027,2027-M03,14408,High
MD_00390,PLANT_02,FAB_013,2027-M08,3639,Critical
MD_00391,PLANT_01,FAB_003,2027-M08,16132,Normal
MD_00392,PLANT_02,FAB_008,2027-M01,7195,High
MD_00393,PLANT_02,FAB_015,2027-M05,16231,Normal
MD_00394,PLANT_01,FAB_029,2027-M03,3992,Normal
MD_00395,PLANT_02,FAB_025,2027-M10,6063,Critical
MD_00396,PLANT_04,FAB_024,2027-M06,20139,Critical
MD_00397,PLANT_04,FAB_017,2026-M02,10026,Normal
MD_00398,PLANT_02,FAB_008,2026-M04,15895,High
MD_00399,PLANT_05,FAB_030,2026-M11,19498,High
MD_00400,PLANT_03,FAB_029,2027-M07,4549,High
MD_00401,PLANT_01,FAB_011,2027-M06,2494,Normal
MD_00402,PLANT_01,FAB_016,2026-M04,11528,High
MD_00403,PLANT_01,FAB_004,2026-M02,22297,Critical
MD_00404,PLANT_03,FAB_017,2027-M04,7500,High
MD_00405,PLANT_03,FAB_003,2026-M03,22592,Normal
MD_00406,PLANT_02,FAB_019,2027-M04,9614,Normal
MD_00407,PLANT_02,FAB_027,2026-M03,4042,High
MD_00408,PLANT_01,FAB_026,2027-M07,14630,Critical
MD_00409,PLANT_01,FAB_025,2026-M10,16068,Critical
MD_00410,PLANT_01,FAB_001,2027-M03,14556,High
MD_00411,PLANT_02,FAB_026,2027-M12,6844,High
MD_00412,PLANT_02,FAB_004,2026-M10,8087,High
MD_00413,PLANT_02,FAB_029,2027-M06,6678,Critical
MD_00414,PLANT_02,FAB_009,2027-M11,11053,Normal
MD_00415,PLANT_05,FAB_030,2026-M11,5446,High
MD_00416,PLANT_02,FAB_018,2026-M10,5129,Normal
MD_00417,PLANT_02,FAB_010,2026-M01,21697,High
MD_00418,PLANT_03,FAB_006,2027-M12,14943,Normal
MD_00419,PLANT_04,FAB_014,2026-M12,24651,High
MD_00420,PLANT_02,FAB_004,2026-M04,9305,Critical
MD_00421,PLANT_01,FAB_020,2027-M02,9829,High
MD_00422,PLANT_04,FAB_010,2026-M02,23850,Critical
MD_00423,PLANT_01,FAB_020,2026-M09,7653,Normal
MD_00424,PLANT_05,FAB_012,2026-M05,7698,Normal
MD_00425,PLANT_03,FAB_026,2026-M07,9655,Critical
MD_00426,PLANT_01,FAB_021,2026-M01,14712,Normal
MD_00427,PLANT_02,FAB_002,2026-M11,2981,High
MD_00428,PLANT_04,FAB_018,2026-M05,17389,High
MD_00429,PLANT_02,FAB_010,2027-M12,13319,High
MD_00430,PLANT_02,FAB_024,2027-M09,11285,High
MD_00431,PLANT_03,FAB_005,2027-M12,16179,High
MD_00432,PLANT_03,FAB_020,2027-M08,20100,Critical
MD_00433,PLANT_02,FAB_030,2026-M11,4958,Critical
MD_00434,PLANT_05,FAB_004,2027-M03,16491,Normal
MD_00435,PLANT_04,FAB_027,2027-M02,15288,Normal
MD_00436,PLANT_04,FAB_006,2026-M12,21553,Normal
MD_00437,PLANT_04,FAB_016,2026-M06,11376,High
MD_00438,PLANT_04,FAB_027,2026-M10,10664,Normal
MD_00439,PLANT_03,FAB_007,2027-M08,14306,High
MD_00440,PLANT_01,FAB_017,2027-M02,3447,High
MD_00441,PLANT_05,FAB_020,2027-M07,10322,Normal
MD_00442,PLANT_01,FAB_018,2026-M12,4883,High
MD_00443,PLANT_05,FAB_014,2027-M06,17064,Normal
MD_00444,PLANT_04,FAB_018,2027-M12,21870,High
MD_00445,PLANT_03,FAB_013,2026-M03,18917,Critical
