inventory_id,sku_id,location_id,opening_stock_units,allocated_units,available_stock_units,safety_stock_threshold
INV_00075,SKU_0044,PLANT_01,4421,3878,543,733
INV_00076,SKU_0015,DC_02,1899,678,1221,693
INV_00077,SKU_0009,PLANT_01,3355,2575,780,594
INV_00078,SKU_0046,DC_03,1543,1140,403,352
INV_00079,SKU_0050,PLANT_03,3823,3448,375,665
INV_00080,SKU_0037,PLANT_05,1376,767,609,584
INV_00081,SKU_0047,DC_01,1081,911,170,454
INV_00082,SKU_0034,DC_02,4864,3876,988,505
INV_00083,SKU_0036,PLANT_05,3886,1077,2809,617
INV_00084,SKU_0043,DC_01,2496,2344,152,381
INV_00085,SKU_0002,DC_04,4451,3244,1207,333
INV_00086,SKU_0021,PLANT_02,3291,952,2339,716
INV_00087,SKU_0049,DC_03,4031,3312,719,522
INV_00088,SKU_0023,DC_02,3303,2330,973,655
INV_00089,SKU_0001,PLANT_05,2434,808,1626,639
INV_00090,SKU_0037,PLANT_03,1138,1096,42,358
INV_00091,SKU_0018,PLANT_03,4292,2765,1527,584
INV_00092,SKU_0044,PLANT_05,1299,1011,288,390
INV_00093,SKU_0009,PLANT_05,3023,1762,1261,335
INV_00094,SKU_0001,PLANT_03,1390,1321,69,694
INV_00095,SKU_0008,PLANT_01,3604,1441,2163,553
INV_00096,SKU_0044,PLANT_03,1003,192,811,411
INV_00097,SKU_0009,PLANT_03,1638,1289,349,762
INV_00098,SKU_0015,DC_05,501,487,14,375
INV_00099,SKU_0002,DC_02,1722,1027,695,572
INV_00100,SKU_0028,PLANT_04,2887,1697,1190,615
INV_00101,SKU_0040,PLANT_04,4163,901,3262,405
INV_00102,SKU_0034,DC_05,3093,1327,1766,591
INV_00103,SKU_0007,DC_03,2994,1880,1114,667
INV_00104,SKU_0038,PLANT_02,3320,465,2855,598
INV_00105,SKU_0027,PLANT_02,566,413,153,561
INV_00106,SKU_0039,DC_04,3811,3571,240,365
INV_00107,SKU_0008,PLANT_05,2909,355,2554,489
INV_00108,SKU_0006,PLANT_04,4996,535,4461,300
INV_00109,SKU_0031,DC_04,3442,549,2893,740
INV_00110,SKU_0015,DC_03,2811,227,2584,420
INV_00111,SKU_0008,PLANT_03,4036,2976,1060,602
INV_00112,SKU_0036,DC_01,3729,2660,1069,462
INV_00113,SKU_0001,DC_01,3635,1763,1872,495
INV_00114,SKU_0019,PLANT_01,4065,2332,1733,408
INV_00115,SKU_0011,PLANT_01,1920,1072,848,371
INV_00116,SKU_0046,PLANT_01,2041,1237,804,496
INV_00117,SKU_0042,DC_05,3451,1808,1643,378
INV_00118,SKU_0002,DC_05,2863,2844,19,364
INV_00119,SKU_0005,DC_02,1600,123,1477,336
INV_00120,SKU_0023,DC_03,628,247,381,669
INV_00121,SKU_0016,PLANT_04,4487,3677,810,799
INV_00122,SKU_0039,DC_02,1612,273,1339,370
INV_00123,SKU_0041,PLANT_01,3906,3623,283,533
INV_00124,SKU_0031,DC_02,3987,2652,1335,392
INV_00125,SKU_0003,PLANT_02,4222,3574,648,582
INV_00126,SKU_0047,DC_04,4186,1675,2511,481
INV_00127,SKU_0028,PLANT_02,2349,861,1488,517
INV_00128,SKU_0019,PLANT_05,560,395,165,555
INV_00129,SKU_0011,PLANT_05,2439,2155,284,437
INV_00130,SKU_0046,PLANT_05,3865,2337,1528,595
INV_00131,SKU_0040,PLANT_02,3506,237,3269,800
INV_00132,SKU_0002,DC_03,810,681,129,547
INV_00133,SKU_0011,PLANT_03,3519,563,2956,597
INV_00134,SKU_0046,PLANT_03,4444,755,3689,372
INV_00135,SKU_0041,PLANT_05,4812,2389,2423,538
INV_00136,SKU_0008,DC_01,4734,740,3994,567
INV_00137,SKU_0005,DC_05,1224,602,622,541
INV_00138,SKU_0006,PLANT_02,1139,739,400,613
INV_00139,SKU_0039,DC_05,932,451,481,573
INV_00140,SKU_0049,PLANT_03,588,340,248,532
INV_00141,SKU_0047,DC_02,4699,3943,756,593
INV_00142,SKU_0041,PLANT_03,3215,1824,1391,480
INV_00143,SKU_0022,DC_01,2913,1284,1629,385
INV_00144,SKU_0026,PLANT_04,789,711,78,683
INV_00145,SKU_0031,DC_05,2990,2408,582,433
INV_00146,SKU_0021,DC_05,1003,744,259,542
INV_00147,SKU_0012,PLANT_01,1885,1273,612,326
INV_00148,SKU_0024,PLANT_04,2890,2657,233,313
INV_00149,SKU_0050,DC_04,2849,2085,764,342
INV_00150,SKU_0016,PLANT_02,1538,1135,403,339
INV_00151,SKU_0049,PLANT_04,2776,1132,1644,367
INV_00152,SKU_0010,DC_01,2801,1227,1574,739
INV_00153,SKU_0037,DC_04,2604,158,2446,679
INV_00154,SKU_0031,DC_03,1413,1336,77,389
INV_00155,SKU_0036,DC_04,1738,1449,289,528
INV_00156,SKU_0007,PLANT_03,3529,3408,121,389
INV_00157,SKU_0019,DC_01,2640,1067,1573,548
INV_00158,SKU_0012,PLANT_05,1981,1737,244,570
INV_00159,SKU_0001,DC_04,771,451,320,343
INV_00160,SKU_0050,DC_02,1688,1319,369,778
INV_00161,SKU_0048,PLANT_01,1762,1115,647,685
INV_00162,SKU_0021,DC_03,3882,3255,627,496
INV_00163,SKU_0044,DC_04,2449,1902,547,671
INV_00164,SKU_0009,DC_04,1870,531,1339,595
INV_00165,SKU_0007,PLANT_04,3326,322,3004,628
INV_00166,SKU_0037,DC_02,2665,575,2090,326
INV_00167,SKU_0018,DC_02,1872,1050,822,504
INV_00168,SKU_0047,DC_03,4401,2568,1833,543
INV_00169,SKU_0035,DC_05,4862,2014,2848,494
INV_00170,SKU_0023,PLANT_03,3695,2043,1652,434
INV_00171,SKU_0033,DC_01,1689,1186,503,745
INV_00172,SKU_0026,PLANT_02,4061,148,3913,447
INV_00173,SKU_0043,DC_03,4176,1664,2512,647
INV_00174,SKU_0001,DC_02,3086,2271,815,649
INV_00175,SKU_0015,PLANT_04,836,199,637,769
INV_00176,SKU_0024,PLANT_02,4852,2998,1854,789
INV_00177,SKU_0048,PLANT_05,4037,2600,1437,770
INV_00178,SKU_0034,PLANT_04,2733,1472,1261,438
INV_00179,SKU_0044,DC_02,2687,502,2185,430
INV_00180,SKU_0049,PLANT_02,3704,1988,1716,695
INV_00181,SKU_0009,DC_02,2480,898,1582,566
INV_00182,SKU_0008,DC_04,3264,2875,389,653
INV_00183,SKU_0050,DC_05,1973,741,1232,580
INV_00184,SKU_0032,PLANT_01,586,444,142,304
INV_00185,SKU_0020,PLANT_01,1056,112,944,510
INV_00186,SKU_0004,PLANT_01,1300,1175,125,353
INV_00187,SKU_0012,DC_01,4153,1539,2614,412
INV_00188,SKU_0037,DC_05,2820,1131,1689,398
INV_00189,SKU_0018,DC_05,778,124,654,617
INV_00190,SKU_0028,DC_05,1253,216,1037,780
INV_00191,SKU_0008,DC_02,2276,598,1678,662
INV_00192,SKU_0050,DC_03,1482,276,1206,738
INV_00193,SKU_0032,PLANT_05,1564,869,695,636
INV_00194,SKU_0020,PLANT_05,2013,1935,78,356
INV_00195,SKU_0002,PLANT_04,2009,618,1391,450
INV_00196,SKU_0004,PLANT_05,4325,720,3605,627
INV_00197,SKU_0044,DC_05,4214,2364,1850,693
INV_00198,SKU_0009,DC_05,3997,2935,1062,762
INV_00199,SKU_0025,PLANT_01,3149,1154,1995,382
INV_00200,SKU_0029,PLANT_01,1106,383,723,697
INV_00201,SKU_0019,DC_04,1011,491,520,498
INV_00202,SKU_0011,DC_04,3225,346,2879,432
INV_00203,SKU_0036,DC_03,2668,828,1840,525
INV_00204,SKU_0046,DC_04,1068,603,465,775
INV_00205,SKU_0015,PLANT_02,2143,1349,794,501
INV_00206,SKU_0001,DC_03,1961,1421,540,551
INV_00207,SKU_0048,DC_01,1388,394,994,576
INV_00208,SKU_0041,DC_04,4032,994,3038,614
INV_00209,SKU_0034,PLANT_02,1370,1004,366,666
INV_00210,SKU_0043,PLANT_01,2621,523,2098,317
INV_00211,SKU_0044,DC_03,1097,172,925,592
INV_00212,SKU_0009,DC_03,2552,1926,626,309
INV_00213,SKU_0014,PLANT_05,4577,1319,3258,634
INV_00214,SKU_0025,PLANT_05,507,119,388,640
INV_00215,SKU_0029,PLANT_05,3698,1191,2507,377
INV_00216,SKU_0005,PLANT_04,3201,1702,1499,594
INV_00217,SKU_0017,PLANT_05,530,363,167,662
INV_00218,SKU_0011,DC_02,4519,4016,503,523
INV_00219,SKU_0046,DC_02,3808,3557,251,672
INV_00220,SKU_0039,PLANT_04,1074,653,421,415
INV_00221,SKU_0029,PLANT_03,527,296,231,788
INV_00222,SKU_0031,PLANT_04,4449,1092,3357,590
INV_00223,SKU_0013,PLANT_01,4885,3040,1845,470
INV_00224,SKU_0041,DC_02,2980,1740,1240,328
INV_00225,SKU_0043,PLANT_05,1242,848,394,573
INV_00226,SKU_0042,PLANT_02,3285,429,2856,730
INV_00227,SKU_0002,PLANT_02,4265,2475,1790,631
INV_00228,SKU_0020,DC_01,2163,823,1340,583
INV_00229,SKU_0032,DC_01,822,493,329,638
INV_00230,SKU_0008,DC_03,2064,712,1352,656
INV_00231,SKU_0004,DC_01,3695,537,3158,622
INV_00232,SKU_0047,PLANT_03,3443,2092,1351,343
INV_00233,SKU_0043,PLANT_03,4087,3111,976,397
INV_00234,SKU_0030,PLANT_05,1646,173,1473,398
INV_00235,SKU_0012,DC_04,707,707,0,422
INV_00236,SKU_0013,PLANT_05,4507,3284,1223,332
INV_00237,SKU_0011,DC_05,4928,2620,2308,555
INV_00238,SKU_0046,DC_05,4874,3780,1094,794
INV_00239,SKU_0013,PLANT_03,634,137,497,473
INV_00240,SKU_0049,DC_05,959,445,514,703
INV_00241,SKU_0025,DC_01,850,515,335,360
INV_00242,SKU_0041,DC_05,2234,1977,257,781
INV_00243,SKU_0014,DC_01,4895,1320,3575,679
INV_00244,SKU_0029,DC_01,2408,395,2013,318
INV_00245,SKU_0005,PLANT_02,1659,1101,558,634
INV_00246,SKU_0017,DC_01,656,582,74,764
INV_00247,SKU_0012,DC_02,875,348,527,659
INV_00248,SKU_0039,PLANT_02,1569,129,1440,388
INV_00249,SKU_0019,DC_03,909,414,495,720
INV_00250,SKU_0011,DC_03,1297,1034,263,612
INV_00251,SKU_0035,PLANT_04,1898,1810,88,602
INV_00252,SKU_0048,DC_04,1023,937,86,718
INV_00253,SKU_0031,PLANT_02,1371,333,1038,554
INV_00254,SKU_0041,DC_03,2306,358,1948,711
INV_00255,SKU_0036,PLANT_03,2160,1845,315,472
INV_00256,SKU_0045,DC_01,3793,1428,2365,361
INV_00257,SKU_0007,DC_05,4971,1225,3746,464
INV_00258,SKU_0030,DC_01,2246,286,1960,603
INV_00259,SKU_0050,PLANT_04,1920,787,1133,332
INV_00260,SKU_0033,DC_03,1489,660,829,372
INV_00261,SKU_0013,DC_01,3900,788,3112,656
INV_00262,SKU_0003,PLANT_01,3530,2366,1164,384
INV_00263,SKU_0037,PLANT_04,4093,1097,2996,773
INV_00264,SKU_0018,PLANT_04,833,236,597,351
INV_00265,SKU_0020,DC_04,3581,3285,296,380
INV_00266,SKU_0032,DC_04,628,598,30,341
INV_00267,SKU_0022,PLANT_01,552,103,449,391
INV_00268,SKU_0004,DC_04,1230,681,549,513
INV_00269,SKU_0001,PLANT_04,4399,1139,3260,405
INV_00270,SKU_0023,DC_05,1672,1410,262,438
INV_00271,SKU_0044,PLANT_04,4785,3789,996,510
INV_00272,SKU_0003,PLANT_05,2459,814,1645,612
INV_00273,SKU_0009,PLANT_04,808,710,98,392
INV_00274,SKU_0006,PLANT_01,4595,821,3774,621
INV_00275,SKU_0012,DC_03,2967,1524,1443,514
INV_00276,SKU_0035,PLANT_02,537,385,152,420
INV_00277,SKU_0010,PLANT_01,2072,340,1732,571
INV_00278,SKU_0040,PLANT_05,1283,841,442,741
INV_00279,SKU_0022,PLANT_05,4921,4257,664,412
INV_00280,SKU_0032,DC_02,4302,1804,2498,441
INV_00281,SKU_0020,DC_02,934,298,636,357
INV_00282,SKU_0004,DC_02,1722,1503,219,732
INV_00283,SKU_0038,DC_01,4386,4175,211,390
INV_00284,SKU_0025,DC_04,1808,1472,336,772
INV_00285,SKU_0027,DC_01,853,155,698,630
INV_00286,SKU_0014,DC_04,3483,1267,2216,407
INV_00287,SKU_0029,DC_04,4060,1129,2931,471
INV_00288,SKU_0022,PLANT_03,4212,454,3758,353
INV_00289,SKU_0050,PLANT_02,929,650,279,390
INV_00290,SKU_0006,PLANT_05,1794,1708,86,314
INV_00291,SKU_0008,PLANT_04,4473,4318,155,359
INV_00292,SKU_0010,PLANT_05,1080,1016,64,420
INV_00293,SKU_0037,PLANT_02,4143,2527,1616,596
INV_00294,SKU_0048,DC_03,3170,1816,1354,401
INV_00295,SKU_0018,PLANT_02,3168,1042,2126,698
INV_00296,SKU_0043,DC_04,1402,767,635,416
INV_00297,SKU_0010,PLANT_03,1303,585,718,677
INV_00298,SKU_0033,PLANT_01,3879,3663,216,402
INV_00299,SKU_0001,PLANT_02,3576,1003,2573,337
INV_00300,SKU_0029,DC_02,4358,4068,290,327
INV_00301,SKU_0030,DC_04,4070,693,3377,410
INV_00302,SKU_0019,PLANT_03,4227,1558,2669,498
INV_00303,SKU_0003,DC_01,3559,658,2901,534
INV_00304,SKU_0044,PLANT_02,2090,1394,696,483
INV_00305,SKU_0009,PLANT_02,2709,928,1781,471
INV_00306,SKU_0013,DC_04,1542,165,1377,654
INV_00307,SKU_0040,DC_01,988,387,601,369
INV_00308,SKU_0043,DC_02,1410,1053,357,534
INV_00309,SKU_0026,PLANT_01,3926,801,3125,689
INV_00310,SKU_0033,PLANT_05,3314,1000,2314,753
INV_00311,SKU_0011,PLANT_04,2917,2572,345,380
INV_00312,SKU_0046,PLANT_04,1892,1283,609,796
INV_00313,SKU_0020,DC_03,2381,454,1927,510
INV_00314,SKU_0032,DC_03,4774,4107,667,741
INV_00315,SKU_0024,PLANT_01,2273,2039,234,728
INV_00316,SKU_0004,DC_03,4290,2386,1904,307
INV_00317,SKU_0033,PLANT_03,4007,3115,892,746
INV_00318,SKU_0006,DC_01,2520,1115,1405,467
INV_00319,SKU_0041,PLANT_04,4057,2473,1584,413
INV_00320,SKU_0008,PLANT_02,1720,1274,446,759
INV_00321,SKU_0013,DC_02,541,313,228,322
INV_00322,SKU_0026,PLANT_05,828,581,247,675
INV_00323,SKU_0047,DC_05,4630,375,4255,517
INV_00324,SKU_0024,PLANT_05,4850,3330,1520,545
INV_00325,SKU_0043,DC_05,1302,1026,276,553
INV_00326,SKU_0016,DC_01,2470,440,2030,585
INV_00327,SKU_0025,DC_03,601,454,147,674
INV_00328,SKU_0014,DC_03,3831,992,2839,367
INV_00329,SKU_0012,PLANT_03,3436,1311,2125,422
INV_00330,SKU_0029,DC_03,1243,132,1111,545
INV_00331,SKU_0017,DC_03,2997,762,2235,660
INV_00332,SKU_0036,DC_02,4262,299,3963,799
INV_00333,SKU_0012,PLANT_04,4226,3899,327,695
INV_00334,SKU_0011,PLANT_02,1635,1540,95,507
INV_00335,SKU_0046,PLANT_02,2015,1717,298,746
INV_00336,SKU_0034,PLANT_01,3534,2667,867,537
INV_00337,SKU_0030,DC_03,511,421,90,336
INV_00338,SKU_0041,PLANT_02,3652,2929,723,470
INV_00339,SKU_0003,DC_04,4849,367,4482,451
INV_00340,SKU_0048,PLANT_03,3988,3183,805,438
INV_00341,SKU_0023,PLANT_04,4943,4812,131,706
INV_00342,SKU_0026,DC_01,2196,431,1765,617
INV_00343,SKU_0013,DC_03,3250,3113,137,777
INV_00344,SKU_0040,DC_04,949,627,322,784
INV_00345,SKU_0022,DC_04,3481,311,3170,356
INV_00346,SKU_0024,DC_01,3637,1597,2040,538
INV_00347,SKU_0036,DC_05,834,474,360,487
INV_00348,SKU_0034,PLANT_05,1935,1427,508,586
INV_00349,SKU_0001,DC_05,1048,674,374,663
INV_00350,SKU_0042,PLANT_01,2177,666,1511,471
INV_00351,SKU_0006,DC_04,2454,2310,144,358
INV_00352,SKU_0003,DC_02,4419,1818,2601,685
INV_00353,SKU_0007,PLANT_02,2346,1412,934,480
INV_00354,SKU_0010,DC_04,2690,2162,528,648
INV_00355,SKU_0014,PLANT_01,3964,1235,2729,327
INV_00356,SKU_0020,PLANT_03,1019,481,538,476
INV_00357,SKU_0032,PLANT_03,4206,4083,123,556
INV_00358,SKU_0022,DC_02,4814,1105,3709,540
INV_00359,SKU_0004,PLANT_03,4857,4465,392,760
INV_00360,SKU_0017,PLANT_01,2894,1951,943,617
INV_00361,SKU_0042,PLANT_05,3515,3376,139,644
INV_00362,SKU_0027,DC_03,1037,292,745,756
INV_00363,SKU_0020,PLANT_04,4250,815,3435,341
INV_00364,SKU_0032,PLANT_04,3700,832,2868,447
INV_00365,SKU_0010,DC_02,1130,323,807,384
INV_00366,SKU_0023,PLANT_02,2760,558,2202,656
INV_00367,SKU_0008,DC_05,1712,1116,596,377
INV_00368,SKU_0045,PLANT_01,2173,192,1981,450
INV_00369,SKU_0019,DC_02,3912,2895,1017,577
INV_00370,SKU_0030,PLANT_01,1581,1070,511,477
INV_00371,SKU_0033,DC_04,3941,1918,2023,677
INV_00372,SKU_0025,PLANT_03,675,398,277,396
INV_00373,SKU_0014,PLANT_03,1015,122,893,746
INV_00374,SKU_0015,DC_01,2403,2228,175,630
INV_00375,SKU_0022,DC_05,3251,1786,1465,596
INV_00376,SKU_0034,DC_01,3308,2785,523,630
INV_00377,SKU_0017,PLANT_03,3173,2091,1082,603
INV_00378,SKU_0021,PLANT_01,4843,4593,250,527
INV_00379,SKU_0005,PLANT_05,4251,2591,1660,590
INV_00380,SKU_0003,DC_03,1580,727,853,387
INV_00381,SKU_0045,PLANT_05,2629,1028,1601,547
INV_00382,SKU_0039,PLANT_05,3546,1280,2266,694
INV_00383,SKU_0026,DC_04,887,251,636,480
INV_00384,SKU_0029,PLANT_04,2829,1967,862,789
INV_00385,SKU_0010,DC_05,1862,1366,496,773
INV_00386,SKU_0040,DC_03,1817,1557,260,574
INV_00387,SKU_0033,DC_02,2836,846,1990,798
INV_00388,SKU_0024,DC_04,1936,1818,118,662
INV_00389,SKU_0022,DC_03,1757,430,1327,421
INV_00390,SKU_0045,PLANT_03,1457,184,1273,462
INV_00391,SKU_0030,PLANT_03,1536,1002,534,433
INV_00392,SKU_0019,DC_05,3528,855,2673,405
INV_00393,SKU_0021,PLANT_05,784,781,3,462
INV_00394,SKU_0042,DC_01,3316,705,2611,490
INV_00395,SKU_0047,PLANT_04,4173,2311,1862,799
INV_00396,SKU_0002,DC_01,1831,1192,639,454
INV_00397,SKU_0043,PLANT_04,1495,151,1344,507
INV_00398,SKU_0006,DC_03,4591,1290,3301,785
INV_00399,SKU_0021,PLANT_03,4252,2723,1529,379
INV_00400,SKU_0026,DC_02,535,478,57,579
INV_00401,SKU_0038,PLANT_01,4656,2813,1843,631
INV_00402,SKU_0010,DC_03,2921,2041,880,758
INV_00403,SKU_0027,PLANT_01,2874,2449,425,641
INV_00404,SKU_0035,PLANT_01,1704,1257,447,673
INV_00405,SKU_0013,PLANT_04,4121,1487,2634,652
INV_00406,SKU_0033,DC_05,1420,1080,340,760
INV_00407,SKU_0038,PLANT_05,828,242,586,647
INV_00408,SKU_0005,DC_01,1457,730,727,312
INV_00409,SKU_0027,PLANT_05,3790,2629,1161,730
INV_00410,SKU_0039,DC_01,2305,1926,379,482
INV_00411,SKU_0029,PLANT_02,1257,768,489,328
INV_00412,SKU_0038,PLANT_03,2098,1294,804,569
INV_00413,SKU_0027,PLANT_03,2319,1238,1081,400
INV_00414,SKU_0035,PLANT_05,684,185,499,575
INV_00415,SKU_0031,DC_01,4149,2873,1276,643
INV_00416,SKU_0034,DC_04,1215,1148,67,501
INV_00417,SKU_0021,DC_01,2092,1104,988,462
INV_00418,SKU_0012,DC_05,4690,559,4131,765
INV_00419,SKU_0048,DC_02,3457,1728,1729,375
INV_00420,SKU_0018,PLANT_01,4003,1614,2389,497
INV_00421,SKU_0047,PLANT_02,3554,149,3405,445
INV_00422,SKU_0028,PLANT_01,3325,1539,1786,457
INV_00423,SKU_0036,PLANT_04,4150,3681,469,587
INV_00424,SKU_0040,PLANT_01,1217,541,676,672
INV_00425,SKU_0043,PLANT_02,4139,3137,1002,512
INV_00426,SKU_0026,DC_03,4124,1282,2842,383
INV_00427,SKU_0024,DC_03,3972,3084,888,758
INV_00428,SKU_0018,PLANT_05,3893,671,3222,727
INV_00429,SKU_0028,PLANT_05,1205,394,811,406
INV_00430,SKU_0013,PLANT_02,2984,2044,940,744
INV_00431,SKU_0042,DC_04,4803,2847,1956,333
INV_00432,SKU_0003,PLANT_03,3578,462,3116,303
INV_00433,SKU_0048,DC_05,3854,2716,1138,768
INV_00434,SKU_0028,PLANT_03,2739,1797,942,389
INV_00435,SKU_0040,PLANT_03,4285,1221,3064,402
INV_00436,SKU_0016,PLANT_01,2023,1804,219,495
INV_00437,SKU_0017,DC_04,2871,2368,503,551
INV_00438,SKU_0035,DC_01,845,409,436,727
INV_00439,SKU_0003,PLANT_04,2989,2123,866,586
INV_00440,SKU_0042,DC_02,4296,1939,2357,313
INV_00441,SKU_0006,PLANT_03,520,178,342,434
INV_00442,SKU_0036,PLANT_02,2958,2723,235,727
INV_00443,SKU_0022,PLANT_04,4371,1117,3254,634
INV_00444,SKU_0014,DC_02,2856,1808,1048,391
INV_00445,SKU_0005,DC_04,4529,2104,2425,314
INV_00446,SKU_0025,DC_02,1477,667,810,552
INV_00447,SKU_0016,PLANT_05,1046,713,333,681
INV_00448,SKU_0050,DC_01,3463,2480,983,546
INV_00449,SKU_0045,DC_04,4072,3656,416,432
INV_00450,SKU_0032,DC_05,4399,1079,3320,491
INV_00451,SKU_0020,DC_05,4698,243,4455,732
INV_00452,SKU_0004,DC_05,2626,767,1859,597
INV_00453,SKU_0017,DC_02,979,249,730,463
INV_00454,SKU_0016,PLANT_03,4276,1209,3067,482
INV_00455,SKU_0037,DC_01,1837,208,1629,439
INV_00456,SKU_0018,DC_01,3458,1818,1640,625
INV_00457,SKU_0010,PLANT_04,3416,299,3117,448
INV_00458,SKU_0028,DC_01,2889,2269,620,627
INV_00459,SKU_0021,DC_04,1129,496,633,692
INV_00460,SKU_0034,DC_03,2001,1666,335,348
INV_00461,SKU_0019,PLANT_04,1869,1213,656,465
INV_00462,SKU_0045,DC_02,3090,2905,185,709
INV_00463,SKU_0030,DC_02,2966,1211,1755,650
INV_00464,SKU_0044,DC_01,3469,492,2977,573
INV_00465,SKU_0009,DC_01,3380,688,2692,306
INV_00466,SKU_0049,PLANT_01,1621,1161,460,444
INV_00467,SKU_0025,DC_05,3555,3289,266,548
INV_00468,SKU_0014,DC_05,3875,1493,2382,771
INV_00469,SKU_0029,DC_05,1835,309,1526,411
INV_00470,SKU_0017,DC_05,1766,1130,636,413
INV_00471,SKU_0021,DC_02,2043,1728,315,759
INV_00472,SKU_0042,DC_03,4806,4458,348,664
INV_00473,SKU_0022,PLANT_02,1433,954,479,535
INV_00474,SKU_0033,PLANT_04,1125,338,787,719
INV_00475,SKU_0026,PLANT_03,1575,135,1440,545
INV_00476,SKU_0038,DC_04,3352,1376,1976,653
INV_00477,SKU_0027,DC_04,3470,669,2801,718
INV_00478,SKU_0049,PLANT_05,4120,3744,376,605
INV_00479,SKU_0024,PLANT_03,4785,2902,1883,388
INV_00480,SKU_0045,DC_05,2995,217,2778,681
