bom_id,sku_id,fabric_id,fabric_per_unit_meters
BOM_00096,SKU_0024,FAB_025,1.86
BOM_00097,SKU_0024,FAB_021,1.27
BOM_00098,SKU_0024,FAB_002,1.7
BOM_00099,SKU_0024,FAB_001,1.62
BOM_00100,SKU_0025,FAB_004,2.05
BOM_00101,SKU_0025,FAB_019,2.42
BOM_00102,SKU_0025,FAB_007,3.2
BOM_00103,SKU_0025,FAB_015,4.38
BOM_00104,SKU_0025,FAB_023,3.57
BOM_00105,SKU_0026,FAB_010,1.28
BOM_00106,SKU_0026,FAB_004,2.23
BOM_00107,SKU_0026,FAB_019,3.44
BOM_00108,SKU_0027,FAB_013,3.15
BOM_00109,SKU_0027,FAB_023,3.94
BOM_00110,SKU_0027,FAB_007,2.0
BOM_00111,SKU_0027,FAB_003,3.5
BOM_00112,SKU_0028,FAB_028,1.6
BOM_00113,SKU_0028,FAB_022,4.45
BOM_00114,SKU_0028,FAB_020,3.78
BOM_00115,SKU_0028,FAB_026,2.35
BOM_00116,SKU_0029,FAB_022,3.34
BOM_00117,SKU_0029,FAB_012,1.24
BOM_00118,SKU_0029,FAB_003,2.59
BOM_00119,SKU_0029,FAB_017,2.82
BOM_00120,SKU_0030,FAB_012,2.72
BOM_00121,SKU_0030,FAB_021,1.7
BOM_00122,SKU_0030,FAB_029,1.78
BOM_00123,SKU_0030,FAB_027,2.92
BOM_00124,SKU_0031,FAB_009,3.76
BOM_00125,SKU_0031,FAB_020,2.73
BOM_00126,SKU_0031,FAB_026,3.92
BOM_00127,SKU_0031,FAB_030,3.16
BOM_00128,SKU_0031,FAB_018,2.26
BOM_00129,SKU_0032,FAB_027,2.12
BOM_00130,SKU_0032,FAB_030,2.69
BOM_00131,SKU_0032,FAB_003,3.68
BOM_00132,SKU_0033,FAB_020,2.83
BOM_00133,SKU_0033,FAB_022,2.27
BOM_00134,SKU_0033,FAB_013,2.81
BOM_00135,SKU_0033,FAB_011,2.37
BOM_00136,SKU_0033,FAB_001,2.05
BOM_00137,SKU_0034,FAB_029,3.03
BOM_00138,SKU_0034,FAB_020,2.9
BOM_00139,SKU_0034,FAB_023,1.83
BOM_00140,SKU_0034,FAB_009,2.0
BOM_00141,SKU_0035,FAB_016,3.48
BOM_00142,SKU_0035,FAB_018,3.33
BOM_00143,SKU_0035,FAB_025,2.82
BOM_00144,SKU_0035,FAB_008,3.82
BOM_00145,SKU_0036,FAB_010,3.48
BOM_00146,SKU_0036,FAB_008,2.21
BOM_00147,SKU_0036,FAB_013,3.12
BOM_00148,SKU_0037,FAB_018,4.49
BOM_00149,SKU_0037,FAB_017,3.02
BOM_00150,SKU_0037,FAB_012,2.36
BOM_00151,SKU_0037,FAB_014,2.7
BOM_00152,SKU_0038,FAB_009,1.84
BOM_00153,SKU_0038,FAB_008,1.59
BOM_00154,SKU_0038,FAB_004,2.97
BOM_00155,SKU_0038,FAB_024,3.72
BOM_00156,SKU_0039,FAB_007,2.11
BOM_00157,SKU_0039,FAB_024,3.15
BOM_00158,SKU_0039,FAB_016,3.71
BOM_00159,SKU_0040,FAB_010,2.39
BOM_00160,SKU_0040,FAB_004,2.2
BOM_00161,SKU_0040,FAB_027,3.54
BOM_00162,SKU_0040,FAB_007,1.62
BOM_00163,SKU_0040,FAB_008,1.35
BOM_00164,SKU_0041,FAB_018,4.32
BOM_00165,SKU_0041,FAB_010,3.3
BOM_00166,SKU_0041,FAB_023,3.68
BOM_00167,SKU_0042,FAB_028,2.14
BOM_00168,SKU_0042,FAB_001,2.78
BOM_00169,SKU_0042,FAB_019,2.32
BOM_00170,SKU_0043,FAB_009,1.58
BOM_00171,SKU_0043,FAB_028,1.42
BOM_00172,SKU_0043,FAB_016,2.82
BOM_00173,SKU_0044,FAB_021,3.06
BOM_00174,SKU_0044,FAB_022,2.2
BOM_00175,SKU_0044,FAB_002,4.48
BOM_00176,SKU_0044,FAB_005,1.59
BOM_00177,SKU_0044,FAB_026,3.72
BOM_00178,SKU_0045,FAB_020,2.46
BOM_00179,SKU_0045,FAB_026,4.2
BOM_00180,SKU_0045,FAB_008,2.18
BOM_00181,SKU_0045,FAB_025,3.14
BOM_00182,SKU_0045,FAB_017,2.62
BOM_00183,SKU_0046,FAB_020,1.89
BOM_00184,SKU_0046,FAB_002,1.9
BOM_00185,SKU_0046,FAB_024,3.38
BOM_00186,SKU_0046,FAB_004,1.72
BOM_00187,SKU_0046,FAB_025,1.77
BOM_00188,SKU_0047,FAB_006,2.69
BOM_00189,SKU_0047,FAB_001,3.16
BOM_00190,SKU_0047,FAB_014,2.16
BOM_00191,SKU_0048,FAB_010,2.7
BOM_00192,SKU_0048,FAB_023,3.47
BOM_00193,SKU_0048,FAB_028,4.25
BOM_00194,SKU_0049,FAB_019,2.6
BOM_00195,SKU_0049,FAB_022,3.0
BOM_00196,SKU_0049,FAB_026,3.34
BOM_00197,SKU_0049,FAB_030,4.2
BOM_00198,SKU_0049,FAB_007,3.93
BOM_00199,SKU_0050,FAB_002,2.22
BOM_00200,SKU_0050,FAB_006,3.67
BOM_00201,SKU_0050,FAB_026,3.08
